Term,NES,FDR q-val,minus_log10_q,NOM p-val,minus_log10_p
"Platelet Activation, Signaling And Aggregation R-HSA-76002",3.6508444379577716,0.0,inf,0.0,inf
Common Pathway Of Fibrin Clot Formation R-HSA-140875,3.1808792452947388,0.0,inf,0.0,inf
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,4.215942508047793,0.0,inf,0.0,inf
Platelet Degranulation R-HSA-114608,4.215942508047793,0.0,inf,0.0,inf
Hemostasis R-HSA-109582,3.6570415637175016,0.0,inf,0.0,inf
Post-translational Protein Phosphorylation R-HSA-8957275,3.100947216381962,0.0,inf,0.0,inf
Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,3.1291914381692822,0.0,inf,0.0,inf
Innate Immune System R-HSA-168249,3.0878423743002754,0.0,inf,0.0,inf
Complement Cascade R-HSA-166658,3.0716557771202293,0.0,inf,0.0,inf
Regulation Of Complement Cascade R-HSA-977606,2.9638348532201624,0.0,inf,0.0,inf
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,3.0209983595896737,0.0,inf,0.0,inf
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,2.7807538616292082,0.0005035402185291039,3.2979658359590305,0.0,inf
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,2.755381296228744,0.0005639650447525964,3.2487478132888485,0.0,inf
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,2.755381296228744,0.0005639650447525964,3.2487478132888485,0.0,inf
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,2.7673829762571027,0.0006507288977914574,3.186599906540004,0.0,inf
Immune System R-HSA-168256,2.705663565314488,0.0006797792950142903,3.1676320674640244,0.0,inf
Amyloid Fiber Formation R-HSA-977225,2.6518791265214965,0.0009241444010651789,3.0342601633188617,0.0,inf
Signaling By ROBO Receptors R-HSA-376176,2.648979902074864,0.0010070804370582076,2.9969358402950492,0.0,inf
Initial Triggering Of Complement R-HSA-166663,2.6363448328317025,0.001144891444234594,2.9412356900969474,0.0,inf
Neutrophil Degranulation R-HSA-6798695,2.4628213697545323,0.004117840009304672,2.3853305310608564,0.0,inf
