,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Platelet Degranulation R-HSA-114608,0.46945444029908906,4.215942508047793,0.0,0.0,0.0,46/65,27.35%,ALB;LGALS3BP;FN1;AHSG;FGB;FGA;APOA1;CLU;QSOX1;PFN1;PLG;ITIH3;F5;F13A1;ITIH4;TLN1;PROS1;TF;APOH;TUBA4A;PPIA;TGFB1;FLNA;HSPA5;THBS1;A1BG;FGG;SERPINF2;CAP1;SERPINA1;WDR1;IGF2;CLEC3B;VWF;RARRES2;ACTN1;APP;FERMT3;SERPINE1;TAGLN2;APLP2;OLA1;SERPING1;ANXA5;CALM1;ACTN4
1,prerank,Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,0.46945444029908906,4.215942508047793,0.0,0.0,0.0,46/65,27.35%,ALB;LGALS3BP;FN1;AHSG;FGB;FGA;APOA1;CLU;QSOX1;PFN1;PLG;ITIH3;F5;F13A1;ITIH4;TLN1;PROS1;TF;APOH;TUBA4A;PPIA;TGFB1;FLNA;HSPA5;THBS1;A1BG;FGG;SERPINF2;CAP1;SERPINA1;WDR1;IGF2;CLEC3B;VWF;RARRES2;ACTN1;APP;FERMT3;SERPINE1;TAGLN2;APLP2;OLA1;SERPING1;ANXA5;CALM1;ACTN4
2,prerank,Hemostasis R-HSA-109582,0.3073381204829149,3.6570415637175016,0.0,0.0,0.0,66/125,26.24%,ALB;LGALS3BP;APOB;FN1;AHSG;FGB;FGA;APOA1;CLU;QSOX1;PFN1;PLG;TFPI;ITIH3;F5;SERPIND1;F13A1;ITIH4;TLN1;PROS1;TF;SDC1;IGLL5;APOH;TUBA4A;PPIA;TGFB1;FLNA;HSPA5;RAP1B;THBS1;A1BG;FGG;SERPINC1;SERPINF2;CAP1;SERPINA1;F9;SDC4;GRB7;HBE1;WDR1;PPP2CA;F13B;IGF2;CLEC3B;YWHAZ;VWF;JCHAIN;RARRES2;ACTN1;EHD3;SERPINA5;APP;FERMT3;SERPINE1;TAGLN2;APLP2;CD74;OLA1;SERPING1;C1QBP;ANXA5;CAPZA1;CALM1;PPP2R1A
3,prerank,"Platelet Activation, Signaling And Aggregation R-HSA-76002",0.37162402797951644,3.6508444379577716,0.0,0.0,0.0,48/79,27.35%,ALB;LGALS3BP;FN1;AHSG;FGB;FGA;APOA1;CLU;QSOX1;PFN1;PLG;ITIH3;F5;F13A1;ITIH4;TLN1;PROS1;TF;APOH;TUBA4A;PPIA;TGFB1;FLNA;HSPA5;RAP1B;THBS1;A1BG;FGG;SERPINF2;CAP1;SERPINA1;WDR1;IGF2;CLEC3B;YWHAZ;VWF;RARRES2;ACTN1;APP;FERMT3;SERPINE1;TAGLN2;APLP2;OLA1;SERPING1;ANXA5;CALM1;ACTN4
4,prerank,Common Pathway Of Fibrin Clot Formation R-HSA-140875,0.8336272780717227,3.1808792452947388,0.0,0.0,0.0,10/10,17.12%,FGB;FGA;F5;SERPIND1;F13A1;PROS1;FGG;SERPINC1;F13B;SERPINA5
5,prerank,Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,0.6510698915912877,3.1291914381692822,0.0,0.0,0.0,15/17,24.43%,FGB;FGA;TFPI;F5;SERPIND1;F13A1;PROS1;FGG;SERPINC1;F9;F13B;VWF;SERPINA5;SERPING1;C1QBP
6,prerank,Post-translational Protein Phosphorylation R-HSA-8957275,0.37505372352289196,3.100947216381962,0.0,0.0,0.0,24/56,8.77%,ALB;C3;APOB;FN1;AHSG;ITIH2;APOE;FGA;MATN3;C4A;APOA1;QSOX1;GPC3;F5;SERPIND1;TF;LAMB1;PDIA6;LAMC1;HSP90B1;NOTUM;FGG;SERPINC1;SERPINA1
7,prerank,Innate Immune System R-HSA-168249,0.1989491000080246,3.0878423743002754,0.0,0.0,0.0,137/251,38.98%,C3;APOB;VTN;AHSG;FGB;FGA;C4A;C5;CLU;LTF;C4BPA;POLR3B;PKM;GSN;QSOX1;HSPA1A;IGF2R;VCP;HSP90AB1;PROS1;HSP90AA1;IGLL5;KRT1;TUBB4B;PPIA;CFI;EEF1A1;RAP1B;EEF2;HSP90B1;RPS27A;A1BG;C1R;FGG;CAP1;LYZ;SERPINA1;PSMD14;CTSB;PPP2CA;PYGB;CFHR5;XRCC5;C4B;TUBB;COLEC10;C8B;XRCC6;CTSD;MASP1;ACLY;HSPA8;DHX9;ALDOC;C1S;MYH9;HNRNPC;PIGR;PSMC5;HEXB;CCT8;PA2G4;DYNC1H1;PSMC3;CST3;SPTAN1;APP;BPIFB2;CCT2;PSMC4;CAND1;CFH;IDH1;PPIE;PSMD13;PLA2G2A;PSMC1;HLA-A;GDI2;APRT;CPB2;FTH1;PSMC2;PSMC6;MAN2B1;KPNB1;PYGL;LBP;ACTR3;PSME2;B4GALT1;SERPING1;PSMB2;PSMA6;COPB1;VAT1;CAPZA1;DCD;GLB1;CALM1;PPP2R1A;COTL1;CYB5R3;REG3A;RAB14;PSMA7;PGM1;IQGAP1;CTSH;PSMD12;PRKDC;HUWE1;GSTP1;ARPC2;PSMD11;S100P;CFB;DIAPH1;PSMA1;RAB18;PSMA4;PSMD8;RAB7A;RAB5C;UBE2V1;ARPC5;PSMB3;TKFC;C4BPB;PSMA3;CTSZ;PSMA2;PSMD3;GGH;ILF2;DNM2;PSMB1
8,prerank,Complement Cascade R-HSA-166658,0.5218397538538094,3.0716557771202293,0.0,0.0,0.0,20/27,24.14%,C3;VTN;C4A;C5;CLU;C4BPA;PROS1;IGLL5;CFI;C1R;CFHR5;C4B;COLEC10;C8B;MASP1;C1S;HNRNPC;CFH;CPB2;SERPING1
9,prerank,Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,0.3561068926281106,3.0209983595896737,0.0,0.0,0.0,25/61,8.77%,ALB;C3;APOB;FN1;AHSG;ITIH2;APOE;FGA;MATN3;C4A;APOA1;QSOX1;GPC3;PLG;F5;SERPIND1;TF;LAMB1;PDIA6;LAMC1;HSP90B1;NOTUM;FGG;SERPINC1;SERPINA1
