Term,NES,FDR q-val,minus_log10_q,NOM p-val
Collagen-Containing Extracellular Matrix (GO:0062023),4.033933374771611,0.0,inf,0.0
Secretory Granule Lumen (GO:0034774),3.702263822894402,0.0,inf,0.0
Platelet Alpha Granule Lumen (GO:0031093),3.5010989146635194,0.0,inf,0.0
Platelet Alpha Granule (GO:0031091),3.4478350470337453,0.0,inf,0.0
Intracellular Organelle Lumen (GO:0070013),3.3181332701567827,0.0,inf,0.0
Ficolin-1-Rich Granule Lumen (GO:1904813),3.10407058289489,0.0,inf,0.0
Cytoplasmic Vesicle Lumen (GO:0060205),3.00459770772101,0.0,inf,0.0
Ficolin-1-Rich Granule (GO:0101002),2.6777800389170108,0.0001293754545624,3.8881481112968217,0.0
Endoplasmic Reticulum Lumen (GO:0005788),2.51553273941514,0.0005750020202773,3.2403306294082097,0.0
Golgi Lumen (GO:0005796),2.4539147287400263,0.0014490050910989,2.8389300886266344,0.0052356020942408
Cortical Actin Cytoskeleton (GO:0030864),2.3489488292819423,0.003010919669816,2.5213008311431766,0.0
Cortical Cytoskeleton (GO:0030863),2.3395504140357963,0.0030187606064561,2.520171326002213,0.0
Actin Cytoskeleton (GO:0015629),2.2793490448528044,0.0042139433771755,2.375311304310606,0.0015898251192368
Basement Membrane (GO:0005604),2.2827864108933063,0.0043788615390353,2.358638787117449,0.0
Tertiary Granule Lumen (GO:1904724),2.210322084831058,0.0064687727281203,2.189178106960783,0.0
Endocytic Vesicle Lumen (GO:0071682),2.215729701331896,0.0068310240008951,2.1655141887629856,0.0051993067590987
Cytoskeleton (GO:0005856),2.175587607181217,0.0079756162577296,2.0982357500273623,0.0
Vesicle (GO:0031982),2.13060336776934,0.0105800371731035,1.9755128063986247,0.0016181229773462
Heterochromatin (GO:0000792),2.0820073023695134,0.0140542599061478,1.8521920192944534,0.001926782273603
Cell-Substrate Junction (GO:0030055),2.003801193735004,0.0216000758921585,1.6655447229468583,0.003003003003003
