"","Genes","ProtDesc","ENTREZID"
"1","VNN1","Pantetheise","8876"
"2","SDC4","Syndecan-4","6385"
"3","ANPEP","Aminopeptidase N","290"
"4","NCEH1","Neutral cholesterol ester hydrolase 1","57552"
"5","DERA","Deoxyribose-phosphate aldolase","51071"
"6","GALNT2","Polypeptide N-acetylgalactosaminyltransferase 2","2590"
"7","GSDME","Gasdermin-E","1687"
"8","TFRC","Transferrin receptor protein 1","7037"
"9","LGALS3","Galectin-3","3958"
"10","SERPI3","Alpha-1-antichymotrypsin",NA
"11","LBP","Lipopolysaccharide-binding protein","3929"
"12","SAA1","Serum amyloid A-1 protein","6288"
"13","CCL20","C-C motif chemokine 20","6364"
"14","PTTG1IP","Pituitary tumor-transforming gene 1 protein-interacting protein","754"
"15","STS","Steryl-sulfatase","412"
"16","CA12","Carbonic anhydrase 12","771"
"17","LRRC8A","Volume-regulated anion channel subunit LRRC8A","56262"
"18","APCS","Serum amyloid P-component","325"
"19","TMEM106B","Transmembrane protein 106B","54664"
"20","GDF15","Growth/differentiation factor 15","9518"
"21","SLC38A2","Sodium-coupled neutral amino acid transporter 2","54407"
"22","SAA2","Serum amyloid A-2 protein","6289"
"23","AKR1B1","Aldo-keto reductase family 1 member B1","231"
"24","BMP1","Bone morphogenetic protein 1","649"
"25","HABP2","Hyaluron-binding protein 2","3026"
"26","RCN2","Reticulocalbin-2","5955"
"27","ANXA3","Annexin A3","306"
"28","MAP1LC3B","Microtubule-associated proteins 1A/1B light chain 3B","81631"
"29","RSL1D1","Ribosomal L1 domain-containing protein 1","26156"
"30","SLC35C1","GDP-fucose transporter 1","55343"
"31","HELLS","Helicase, lymphoid-specific, isoform CRA_d","3070"
"32","CXCL6","C-X-C motif chemokine 6","6372"
"33","FSCN1","Fascin","6624"
"34","GRN","Progranulin","2896"
"35","SLC2A6","Solute carrier family 2, facilitated glucose transporter member 6","11182"
"36","ADAM9","Disintegrin and metalloproteise domain-containing protein 9","8754"
"37","XPO5","Exportin-5","57510"
"38","EEF1AKNMT","eEF1A lysine and N-termil methyltransferase",NA
"39","NIP7","60S ribosome subunit biogenesis protein NIP7 homolog","51388"
"40","UTP14A","U3 small nucleolar R-associated protein 14 homolog A","10813"
"41","IFITM3","Interferon-induced transmembrane protein 3","10410"
"42","VIM","Vimentin","7431"
"43","PLPP1","Phospholipid phosphatase 1","8611"
"44","ATP6AP2","Renin receptor","10159"
"45","TMEM45B","Transmembrane protein 45B","120224"
"46","SERPINB3","Serpin B3","6317"
"47","ITGA5","Integrin alpha-5","3678"
"48","GPC1","Glypican-1","2817"
"49","TAGLN","Transgelin","6876"
"50","ATRN","Attractin","8455"
"51","HK1","Hexokise-1","3098"
"52","H2AC21","Histone H2A type 2-B","317772"
"53","ZNF622","Zinc finger protein 622","90441"
"54","S100P","Protein S100-P","6286"
"55","SIRPA","Tyrosine-protein phosphatase non-receptor type substrate 1","140885"
"56","ADCK5","Uncharacterized aarF domain-containing protein kise 5","203054"
"57","TIMP3","Metalloproteise inhibitor 3","7078"
"58","DHX16","Pre-mR-splicing factor ATP-dependent R helicase DHX16","8449"
"59","SLC1A4","Neutral amino acid transporter A","6509"
"60","TMEM45A","Transmembrane protein 45A","55076"
"61","SMAP","Small acidic protein",NA
"62","GPR108","Protein GPR108","56927"
"63","FBLIM1","Filamin-binding LIM protein 1","54751"
"64","ATP6AP1","V-type proton ATPase subunit S1","537"
"65","MYBBP1A","Myb-binding protein 1A","10514"
"66","MPZL1","Myelin protein zero-like protein 1","9019"
"67","CLN3","Battenin","1201"
"68","SLC29A3","Equilibrative nucleoside transporter 3","55315"
"69","AKAP12","A-kise anchor protein 12","9590"
"70","S100A11","Protein S100-A11","6282"
"71","RGS22","Regulator of G-protein sigling 22","26166"
"72","TMBIM6","Bax inhibitor 1","7009"
"73","ECM1","Extracellular matrix protein 1","1893"
"74","UTP15","U3 small nucleolar R-associated protein 15 homolog","84135"
"75","MFSD10","Major facilitator superfamily domain-containing protein 10","10227"
"76","KDM5B","Lysine-specific demethylase 5B","10765"
