"","Genes","ProtDesc","ENTREZID"
"1","ANPEP","Aminopeptidase N","290"
"2","DERA","Deoxyribose-phosphate aldolase","51071"
"3","GALNT2","Polypeptide N-acetylgalactosaminyltransferase 2","2590"
"4","GSDME","Gasdermin-E","1687"
"5","SERPI3","Alpha-1-antichymotrypsin",NA
"6","PTTG1IP","Pituitary tumor-transforming gene 1 protein-interacting protein","754"
"7","STS","Steryl-sulfatase","412"
"8","CA12","Carbonic anhydrase 12","771"
"9","LRRC8A","Volume-regulated anion channel subunit LRRC8A","56262"
"10","TMEM106B","Transmembrane protein 106B","54664"
"11","RCN2","Reticulocalbin-2","5955"
"12","MAP1LC3B","Microtubule-associated proteins 1A/1B light chain 3B","81631"
"13","RSL1D1","Ribosomal L1 domain-containing protein 1","26156"
"14","SLC35C1","GDP-fucose transporter 1","55343"
"15","GRN","Progranulin","2896"
"16","SLC2A6","Solute carrier family 2, facilitated glucose transporter member 6","11182"
"17","XPO5","Exportin-5","57510"
"18","EEF1AKNMT","eEF1A lysine and N-termil methyltransferase",NA
"19","NIP7","60S ribosome subunit biogenesis protein NIP7 homolog","51388"
"20","UTP14A","U3 small nucleolar R-associated protein 14 homolog A","10813"
"21","ATP6AP2","Renin receptor","10159"
"22","SERPINB3","Serpin B3","6317"
"23","ITGA5","Integrin alpha-5","3678"
"24","TAGLN","Transgelin","6876"
"25","ATRN","Attractin","8455"
"26","HK1","Hexokise-1","3098"
"27","H2AC21","Histone H2A type 2-B","317772"
"28","ZNF622","Zinc finger protein 622","90441"
"29","S100P","Protein S100-P","6286"
"30","SIRPA","Tyrosine-protein phosphatase non-receptor type substrate 1","140885"
"31","ADCK5","Uncharacterized aarF domain-containing protein kise 5","203054"
"32","TIMP3","Metalloproteise inhibitor 3","7078"
"33","DHX16","Pre-mR-splicing factor ATP-dependent R helicase DHX16","8449"
"34","SLC1A4","Neutral amino acid transporter A","6509"
"35","TMEM45A","Transmembrane protein 45A","55076"
"36","SMAP","Small acidic protein",NA
"37","GPR108","Protein GPR108","56927"
"38","FBLIM1","Filamin-binding LIM protein 1","54751"
"39","ATP6AP1","V-type proton ATPase subunit S1","537"
"40","MYBBP1A","Myb-binding protein 1A","10514"
"41","MPZL1","Myelin protein zero-like protein 1","9019"
"42","CLN3","Battenin","1201"
"43","SLC29A3","Equilibrative nucleoside transporter 3","55315"
"44","S100A11","Protein S100-A11","6282"
"45","RGS22","Regulator of G-protein sigling 22","26166"
"46","TMBIM6","Bax inhibitor 1","7009"
"47","ECM1","Extracellular matrix protein 1","1893"
"48","UTP15","U3 small nucleolar R-associated protein 15 homolog","84135"
"49","MFSD10","Major facilitator superfamily domain-containing protein 10","10227"
"50","KDM5B","Lysine-specific demethylase 5B","10765"
