"","Genes","ProtDesc","ENTREZID"
"1","LUM","Lumican","4060"
"2","ACACB","Acetyl-CoA carboxylase 2","32"
"3","CYP2C8","Cytochrome P450 2C8","1558"
"4","PAH","Phenylalanine-4-hydroxylase","5053"
"5","CABIN1","Calcineurin-binding protein cabin-1","23523"
"6","GPC3","Glypican-3","2719"
"7","HMGCS2","Hydroxymethylglutaryl-CoA synthase, mitochondrial","3158"
"8","NDRG2","Protein NDRG2","57447"
"9","FMO5","Flavin-containing monooxygese 5","2330"
"10","FMO3","Dimethylaniline monooxygese [N-oxide-forming] 3","2328"
"11","IDI1","Isopentenyl-diphosphate Delta-isomerase 1","3422"
"12","MATN3","Matrilin-3","4148"
"13","GA","Alpha-N-acetylgalactosaminidase",NA
"14","CYP4F2","Cytochrome P450 4F2","8529"
"15","PCK1","Phosphoenolpyruvate carboxykise, cytosolic [GTP]","5105"
"16","AMY1A;AMY1B;AMY1C;AMY2A;AMY2B","Pancreatic alpha-amylase",NA
"17","GNMT","Glycine N-methyltransferase","27232"
"18","SERPI7","Thyroxine-binding globulin",NA
"19","FERMT3","Fermitin family homolog 3","83706"
"20","PALMD","Palmdelphin","54873"
"21","FMO4","Dimethylaniline monooxygese [N-oxide-forming] 4","2329"
"22","MASP1","Mann-binding lectin serine protease 1","5648"
"23","TTC36","Tetratricopeptide repeat protein 36","143941"
"24","IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","3434"
"25","MARF1","Meiosis regulator and mR stability factor 1 (Fragment)","9665"
"26","HBG1;HBG2","Hemoglobin subunit gamma-1",NA
"27","BCAM","Basal cell adhesion molecule","4059"
"28","CUSTOS","Protein CUSTOS",NA
"29","DCUN1D4","DCN1-like protein 4","23142"
"30","FMOD","Fibromodulin","2331"
"31","FAM120B","Constitutive coactivator of peroxisome proliferator-activated receptor gamma","84498"
"32","ABHD4","(Lyso)-N-acylphosphatidylethanolamine lipase","63874"
"33","PARD3","Partitioning defective 3 homolog","56288"
"34","LIPG","Endothelial lipase","9388"
"35","PGK2","Phosphoglycerate kise 2","5232"
"36","IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","3433"
"37","IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","3437"
"38","GFER","FAD-linked sulfhydryl oxidase ALR","2671"
