"","Genes","ProtDesc","ENTREZID"
"1","VNN1","Pantetheise","8876"
"2","SDC4","Syndecan-4","6385"
"3","NCEH1","Neutral cholesterol ester hydrolase 1","57552"
"4","TFRC","Transferrin receptor protein 1","7037"
"5","LGALS3","Galectin-3","3958"
"6","LBP","Lipopolysaccharide-binding protein","3929"
"7","SAA1","Serum amyloid A-1 protein","6288"
"8","CCL20","C-C motif chemokine 20","6364"
"9","APCS","Serum amyloid P-component","325"
"10","GDF15","Growth/differentiation factor 15","9518"
"11","SLC38A2","Sodium-coupled neutral amino acid transporter 2","54407"
"12","SAA2","Serum amyloid A-2 protein","6289"
"13","AKR1B1","Aldo-keto reductase family 1 member B1","231"
"14","BMP1","Bone morphogenetic protein 1","649"
"15","HABP2","Hyaluron-binding protein 2","3026"
"16","ANXA3","Annexin A3","306"
"17","HELLS","Helicase, lymphoid-specific, isoform CRA_d","3070"
"18","CXCL6","C-X-C motif chemokine 6","6372"
"19","FSCN1","Fascin","6624"
"20","ADAM9","Disintegrin and metalloproteise domain-containing protein 9","8754"
"21","IFITM3","Interferon-induced transmembrane protein 3","10410"
"22","VIM","Vimentin","7431"
"23","PLPP1","Phospholipid phosphatase 1","8611"
"24","TMEM45B","Transmembrane protein 45B","120224"
"25","GPC1","Glypican-1","2817"
"26","AKAP12","A-kise anchor protein 12","9590"
