Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0043202~lysosomal lumen	3	15.0	0.0036611694527196753	1520, 5476, 338	20	98	20521	31.409693877551017	0.24327811435068547	0.2674456459785995	0.2604076026633732
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	13	65.0	0.005424901157389092	84617, 4082, 570, 6282, 231, 80201, 63929, 1687, 26353, 284119, 338, 6732, 3606	20	5769	17910	2.017940717628705	0.09819206864177699	0.10307312199039276	0.10307312199039276
DISGENET	C0011616~Contact Dermatitis	3	15.0	0.00593356425212506	960, 1520, 3606	17	71	9699	24.10687655343828	0.5904456528341113	0.33177368119789663	0.33177368119789663
DISGENET	C0162351~Contact hypersensitivity	3	15.0	0.00593356425212506	960, 1520, 3606	17	71	9699	24.10687655343828	0.5904456528341113	0.33177368119789663	0.33177368119789663
DISGENET	C0023893~Liver Cirrhosis, Experimental	6	30.0	0.0066354736239579324	231, 1520, 55830, 84617, 3606, 6282	17	774	9699	4.422708618331054	0.6316191427370139	0.33177368119789663	0.33177368119789663
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	5	25.0	0.008802233848212503	284119, 1520, 5476, 338, 570	20	912	20521	5.625274122807017	0.48927877144395726	0.2674456459785995	0.2604076026633732
REACTOME_PATHWAY	R-HSA-168249~Innate Immune System	6	30.0	0.011018895430761476	960, 1687, 1520, 5476, 338, 6282	16	1068	11044	3.8778089887640452	0.8933465763783889	0.8161882212033745	0.8161882212033745
REACTOME_PATHWAY	R-HSA-2132295~MHC class II antigen presentation	3	15.0	0.011750546051917906	1520, 5476, 84617	16	123	11044	16.835365853658537	0.9081562144838643	0.8161882212033745	0.8161882212033745
REACTOME_PATHWAY	R-HSA-168256~Immune System	8	40.0	0.012121607245594673	960, 1687, 1520, 5476, 338, 84617, 3606, 6282	16	2054	11044	2.688412852969815	0.9148657587461203	0.8161882212033745	0.8161882212033745
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	7	35.0	0.013024018841955025	231, 960, 5476, 338, 84617, 4082, 6282	20	2241	20521	3.2049754573850957	0.6307671127889654	0.2674456459785995	0.2604076026633732
GOTERM_CC_DIRECT	GO:0005829~cytosol	11	55.00000000000001	0.015501861190380797	231, 80201, 63929, 960, 1687, 26353, 284119, 338, 6732, 3606, 570	20	5537	20521	2.038387213292397	0.6949771619209315	0.2674456459785995	0.2604076026633732
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	11	55.00000000000001	0.017595108288065757	80201, 63929, 1687, 26353, 284119, 338, 6732, 84617, 4082, 3606, 6282	20	5636	20521	2.002581618168914	0.7405347278238164	0.2674456459785995	0.2604076026633732
GOTERM_BP_DIRECT	GO:0010744~positive regulation of macrophage derived foam cell differentiation	2	10.0	0.018539443802663348	338, 3606	19	20	19256	101.34736842105264	0.9719641039473378	1.0	1.0
GOTERM_BP_DIRECT	GO:0003094~glomerular filtration	2	10.0	0.018539443802663348	4162, 63929	19	20	19256	101.34736842105264	0.9719641039473378	1.0	1.0
