Term,NES,FDR q-val,minus_log10_q,NOM p-val,minus_log10_p
Collagen-Containing Extracellular Matrix (GO:0062023),4.033933374771611,0.0,inf,0.0,inf
Secretory Granule Lumen (GO:0034774),3.702263822894402,0.0,inf,0.0,inf
Platelet Alpha Granule Lumen (GO:0031093),3.5010989146635194,0.0,inf,0.0,inf
Platelet Alpha Granule (GO:0031091),3.4478350470337453,0.0,inf,0.0,inf
Intracellular Organelle Lumen (GO:0070013),3.3181332701567827,0.0,inf,0.0,inf
Ficolin-1-Rich Granule Lumen (GO:1904813),3.10407058289489,0.0,inf,0.0,inf
Cytoplasmic Vesicle Lumen (GO:0060205),3.0045977077210106,0.0,inf,0.0,inf
Ficolin-1-Rich Granule (GO:0101002),2.6777800389170108,0.00012937545456240794,3.888148111296795,0.0,inf
Endoplasmic Reticulum Lumen (GO:0005788),2.51553273941514,0.0005750020202773685,3.2403306294081577,0.0,inf
Golgi Lumen (GO:0005796),2.4539147287400263,0.0014490050910989688,2.8389300886266136,0.005235602094240838,2.2810333672477277
Cortical Actin Cytoskeleton (GO:0030864),2.3489488292819423,0.003010919669816039,2.521300831143171,0.0,inf
Cortical Cytoskeleton (GO:0030863),2.3395504140357963,0.0030187606064561844,2.520171326002201,0.0,inf
Actin Cytoskeleton (GO:0015629),2.2793490448528044,0.004213943377175573,2.3753113043105984,0.001589825119236884,2.798650645445269
Basement Membrane (GO:0005604),2.2827864108933063,0.004378861539035345,2.3586387871174446,0.0,inf
Tertiary Granule Lumen (GO:1904724),2.210322084831058,0.006468772728120396,2.1891781069607767,0.0,inf
Endocytic Vesicle Lumen (GO:0071682),2.2157297013318957,0.006831024000895138,2.165514188762983,0.005199306759098787,2.2840545584360687
Cytoskeleton (GO:0005856),2.1755876071812166,0.007975616257729619,2.0982357500273614,0.0,inf
Vesicle (GO:0031982),2.13060336776934,0.01058003717310358,1.9755128063986214,0.0016181229773462784,2.790988475088816
Heterochromatin (GO:0000792),2.0820073023695134,0.014054259906147892,1.8521920192944505,0.0019267822736030828,2.7151673578484576
Cell-Substrate Junction (GO:0030055),2.0038011937350038,0.021600075892158538,1.6655447229468574,0.003003003003003003,2.5224442335063197
