"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04610","hsa04610","Complement and coagulation cascades","36/88","86/8773",4.40349703286835e-52,6.91349034160331e-50,6.53571664878356e-50,"3827/1191/718/2244/716/2266/715/3053/710/720/2243/721/3080/2147/3818/729/7448/462/5345/722/10747/2/3426/629/2162/5340/730/2153/717/3075/1361/727/2159/2161/2165/2158",36
"hsa05150","hsa05150","Staphylococcus aureus infection","14/88","96/8773",4.41966073670862e-13,3.46943367831626e-11,3.27985349408376e-11,"718/716/2266/715/720/721/10747/3426/629/5340/717/3075/727/3872",14
"hsa04979","hsa04979","Cholesterol metabolism","10/88","51/8773",5.58109884993292e-11,2.92077506479823e-09,2.76117522049313e-09,"348/341/350/335/338/255738/55908/3949/336/27329",10
"hsa05171","hsa05171","Coronavirus disease - COVID-19","17/88","233/8773",1.04346552488745e-10,4.09560218518323e-09,3.87180628971395e-09,"718/2244/716/2266/715/720/2243/721/2147/729/10747/629/2162/730/717/727/2165",17
"hsa05133","hsa05133","Pertussis","10/88","76/8773",3.40158653586738e-09,1.06809817226236e-07,1.00973410854169e-07,"718/716/715/710/720/721/722/929/717/727",10
"hsa05322","hsa05322","Systemic lupus erythematosus","9/88","137/8773",8.53124032643743e-06,0.000223234121875113,0.000211035944917137,"718/716/715/720/721/729/730/717/727",9
"hsa05143","hsa05143","African trypanosomiasis","4/88","37/8773",0.000484870672789964,0.0108749565182892,0.0102807165208098,"3827/3250/335/8542",4
"hsa04810","hsa04810","Regulation of actin cytoskeleton","8/88","229/8773",0.0020349636071707,0.0374356680652161,0.0353900717210558,"3827/2335/2147/729/2934/730/727/2260",8
"hsa04977","hsa04977","Vitamin digestion and absorption","3/88","26/8773",0.00214599371074487,0.0374356680652161,0.0353900717210558,"335/686/338",3
"hsa04936","hsa04936","Alcoholic liver disease","6/88","142/8773",0.00295342796765052,0.0463688190921132,0.0438350887830235,"718/720/721/929/717/727",6
