"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa01200","hsa01200","Carbon metabolism","30/179","115/8773",1.48036938120003e-25,3.09397200670806e-23,2.38417384551163e-23,"38/189/2806/1892/1373/2653/226/54363/48/7086/2023/50/7167/2821/4199/2271/6888/2203/39/29968/2805/2597/5223/4191/2098/3418/847/6470/5230/25796",30
"hsa03050","hsa03050","Proteasome","17/179","46/8773",8.95159116011316e-18,9.35441276231825e-16,7.20838656577533e-16,"5690/5696/5687/5689/5698/5685/5683/5693/5686/5682/5720/5688/5694/5721/5691/5684/5705",17
"hsa01230","hsa01230","Biosynthesis of amino acids","19/179","75/8773",3.11748510197503e-16,2.17184795437594e-14,1.6735972652708e-14,"5009/2806/1373/226/48/7086/2023/50/7167/6888/29968/2805/2597/5223/3418/435/6470/5230/95",19
"hsa00620","hsa00620","Pyruvate metabolism","15/179","47/8773",1.04367744701573e-14,5.45321466065717e-13,4.202174984037e-13,"38/5106/217/3939/2739/126/4199/2271/39/125/124/127/4191/3029/9380",15
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","15/179","67/8773",3.36754512323476e-12,1.40763386151213e-10,1.08470400811562e-10,"5106/226/217/3939/2023/126/7167/2821/2203/2597/125/5223/124/127/5230",15
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism","11/179","30/8773",7.31925533896804e-12,2.54954060974053e-10,1.96464222256511e-10,"38/189/2653/54363/48/50/39/4191/847/6470/9380",11
"hsa00071","hsa00071","Fatty acid degradation","12/179","43/8773",3.18313192107277e-11,9.50392245006013e-10,7.32359675073886e-10,"38/1892/3033/10449/217/126/36/39/1632/125/124/127",12
"hsa05012","hsa05012","Parkinson disease","24/179","266/8773",7.33250812172994e-10,1.91561774680195e-08,1.47614966134826e-08,"506/4729/5690/5687/5689/7317/5685/5683/4706/5693/5686/5682/7295/11315/5688/6263/5694/6647/5691/54205/5684/5705/25828/7332",24
"hsa00350","hsa00350","Tyrosine metabolism","10/179","36/8773",1.56192707540741e-09,3.62714176400165e-08,2.79502739809747e-08,"2806/126/2184/2805/125/124/127/3081/3242/4282",10
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","11/179","48/8773",2.2006490754858e-09,4.59935656776532e-08,3.54420324788766e-08,"38/1892/18/3033/10449/217/36/11112/39/3158/3155",11
"hsa00270","hsa00270","Cysteine and methionine metabolism","10/179","52/8773",7.32860779191035e-08,1.39243548046297e-06,1.0729923369974e-06,"2806/7263/3939/2937/29968/2805/4357/4191/2729/55256",10
"hsa05020","hsa05020","Prion disease","21/179","272/8773",1.4013678516772e-07,2.44071567500446e-06,1.88078316935625e-06,"506/4729/5690/5687/10488/5689/5685/5683/4706/5693/5686/5682/5688/6263/5694/6647/5691/54205/5684/5705/3312",21
"hsa00650","hsa00650","Butanoate metabolism","7/179","27/8773",8.23503846934119e-07,1.32394080007101e-05,1.0202112435702e-05,"38/1892/18/3033/39/3158/3155",7
"hsa05016","hsa05016","Huntington disease","21/179","306/8773",9.97194938106189e-07,1.48866958617281e-05,1.1471490641372e-05,"6648/506/4729/7052/5690/5687/10488/5689/5685/5683/4706/5693/5686/5682/5688/5694/6647/5691/54205/5684/5705",21
"hsa05017","hsa05017","Spinocerebellar ataxia","14/179","143/8773",1.16858445705185e-06,1.62822767682557e-05,1.25469068020304e-05,"5690/5687/5689/5685/5683/5693/5686/5682/5688/5694/5691/54205/5684/5705",14
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","7/179","33/8773",3.57223087788864e-06,4.63888270537879e-05,3.57466156596804e-05,"189/2806/48/50/2805/3418/95",7
