"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-140342","R-HSA-140342","Apoptosis induced DNA fragmentation","1/2","13/10955",0.0023720455159274,0.0153214633836187,NA,"3008",1
"R-HSA-2559584","R-HSA-2559584","Formation of Senescence-Associated Heterochromatin Foci (SAHF)","1/2","16/10955",0.00291904063855453,0.0153214633836187,NA,"3008",1
"R-HSA-5423646","R-HSA-5423646","Aflatoxin activation and detoxification","1/2","19/10955",0.00346588576251861,0.0153214633836187,NA,"1800",1
"R-HSA-2142691","R-HSA-2142691","Synthesis of Leukotrienes (LT) and Eoxins (EX)","1/2","21/10955",0.00383036584590468,0.0153214633836187,NA,"1800",1
"R-HSA-75153","R-HSA-75153","Apoptotic execution phase","1/2","52/10955",0.00947128221440052,0.025548957373649,NA,"3008",1
"R-HSA-2142753","R-HSA-2142753","Arachidonic acid metabolism","1/2","59/10955",0.0107428208765139,0.025548957373649,NA,"1800",1
"R-HSA-2559586","R-HSA-2559586","DNA Damage/Telomere Stress Induced Senescence","1/2","79/10955",0.0143712885226775,0.025548957373649,NA,"3008",1
"R-HSA-9662851","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection","1/2","79/10955",0.0143712885226775,0.025548957373649,NA,"1800",1
"R-HSA-9664433","R-HSA-9664433","Leishmania parasite growth and survival","1/2","79/10955",0.0143712885226775,0.025548957373649,NA,"1800",1
"R-HSA-9658195","R-HSA-9658195","Leishmania infection","1/2","164/10955",0.0297179016820434,0.0401147192334969,NA,"1800",1
"R-HSA-9824443","R-HSA-9824443","Parasitic Infection Pathways","1/2","164/10955",0.0297179016820434,0.0401147192334969,NA,"1800",1
"R-HSA-8978868","R-HSA-8978868","Fatty acid metabolism","1/2","177/10955",0.0320544141814737,0.0401147192334969,NA,"1800",1
"R-HSA-109581","R-HSA-109581","Apoptosis","1/2","180/10955",0.0325932093772162,0.0401147192334969,NA,"3008",1
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","1/2","196/10955",0.0354642504437672,0.0401205922580522,NA,"3008",1
"R-HSA-5357801","R-HSA-5357801","Programmed Cell Death","1/2","213/10955",0.0385100566186618,0.0401205922580522,NA,"3008",1
"R-HSA-211859","R-HSA-211859","Biological oxidations","1/2","222/10955",0.0401205922580522,0.0401205922580522,NA,"1800",1
