"First.Protein.Description","CTRL_2","CTRL_3","CTRL_4","CTRL.myr_1","CTRL.myr_2","CTRL.myr_3","CTRL.myr_4","HBV_1","HBV_2","HBV_3","HBV_4","HBV.myr_1","HBV.myr_2","HBV.myr_3","HBV.myr_4","Pval","adjPval","negLog10_sca_adjPval","HBV.myr_vs_HBV","Diff_Abund","Protein_Names","Genes","ProtDesc"
"Protein Z-dependent protease inhibitor",15.9126462936401,16.2818050384521,16.1352214813232,16.6148681640625,16.4029235839844,16.129373550415,16.2050228118896,16.2163505554199,16.0280532836914,16.4443969726563,16.4920387268066,16.5223083496094,16.4598789215088,16.2628421783447,16.1300239562988,0.741442610768141,0.993555423949802,0.00280790143369389,-0.048553466796875,"Non-significant","ZPI_HUMAN","SERPINA10","Protein Z-dependent protease inhibitor"
"Zinc finger protein 536",17.8803615570068,18.0709648132324,17.8588428497314,17.8154582977295,17.893253326416,17.559398651123,17.9408302307129,18.0155563354492,17.5454616546631,17.9434700012207,18.0279541015625,17.8324203491211,18.1022682189941,17.9790573120117,17.7139091491699,0.872915276743002,0.993555423949802,0.00280790143369389,-0.023803234100324,"Non-significant","ZN536_HUMAN","ZNF536","Zinc finger protein 536"
"Zinc-alpha-2-glycoprotein",21.0404872894287,21.1025581359863,20.9258728027344,21.7742099761963,21.6790676116943,21.2506313323975,21.3227424621582,21.7949829101563,21.6658382415771,21.7381725311279,21.7448272705078,22.0203037261963,21.9365158081055,21.9578590393066,21.9366226196289,0.000667421935004856,0.0564881655899565,1.24804252841635,-0.226870059967052,"Non-significant","ZA2G_HUMAN","AZGP1","Zinc-alpha-2-glycoprotein"
"Zinc finger protein 324A",17.5155220031738,16.9909229278564,17.7020778656006,15.5481109619141,16.71702003479,17.5222282409668,16.7357940673828,16.4216079711914,16.2502403259277,17.230676651001,17.2620849609375,12.6737785339355,16.2167377471924,13.5668163299561,16.767240524292,0.13848232459767,0.751941469628192,0.123815963140785,1.9850091934204,"Non-significant","Z324A_HUMAN;Z324B_HUMAN","ZNF324;ZNF324B","Zinc finger protein 324A"
"Synaptobrevin homolog YKT6",15.8943634033203,15.0675687789917,14.3515119552612,16.7335720062256,16.6167068481445,16.7200832366943,16.6451930999756,13.9799880981445,14.2041969299316,14.2661466598511,13.4831275939941,16.4393844604492,16.5234527587891,16.1807098388672,17.5473690032959,0.000662267697785526,0.0564881655899565,1.24804252841635,-2.68936419487002,"Non-significant","YKT6_HUMAN","YKT6","Synaptobrevin homolog YKT6"
"X-ray repair cross-complementing protein 6",13.5525960922241,14.4409790039063,13.9138431549072,12.7453899383545,13.669638633728,12.2627897262573,14.3885822296143,14.6197271347046,12.4395895004272,13.231273651123,13.4151000976563,11.9959812164307,12.7223472595215,12.5209703445435,14.1498222351074,0.403275766829375,0.986278956908265,0.00600023281587292,0.579142332077001,"Non-significant","XRCC6_HUMAN","XRCC6","X-ray repair cross-complementing protein 6"
"Xaa-Pro aminopeptidase 3",13.7485666275024,13.7860593795776,13.6345081329346,13.4404134750366,14.5977926254272,14.5330848693848,12.6752300262451,18.0686950683594,17.8900032043457,18.5143280029297,13.0353050231934,12.0572204589844,13.1272687911987,13.3847608566284,14.4051465988159,0.0600866562414067,0.60090783386077,0.221192134178927,3.6334836483002,"Non-significant","XPP3_HUMAN","XPNPEP3","Xaa-Pro aminopeptidase 3"
"Serine/threonine-protein kinase WNK1",17.3802585601807,17.4090766906738,17.0210342407227,17.5540866851807,17.4126930236816,16.9894714355469,17.1176433563232,17.2029457092285,17.1966114044189,17.3648529052734,17.5982494354248,17.2864322662354,17.3435153961182,17.1772632598877,17.3414840698242,0.627739077687858,0.986278956908265,0.00600023281587292,0.0534911155700257,"Non-significant","WNK1_HUMAN","WNK1","Serine/threonine-protein kinase WNK1"
"WD repeat-containing protein 1",17.9897384643555,17.7804317474365,18.0315723419189,16.9445743560791,17.3724575042725,18.1093254089355,17.9075126647949,16.6378421783447,16.2098178863525,17.3076992034912,17.2059841156006,16.5488739013672,16.8493194580078,16.8453426361084,17.4220237731934,0.8181107286512,0.993555423949802,0.00280790143369389,-0.0760540962219487,"Non-significant","WDR1_HUMAN","WDR1","WD repeat-containing protein 1"
"Vitronectin",21.4851608276367,21.5600757598877,21.4303035736084,22.2407855987549,22.116283416748,21.8521976470947,22.0675468444824,22.388671875,22.3725605010986,22.1460437774658,22.2966289520264,22.2862567901611,22.0516147613525,22.3514556884766,22.5530643463135,0.938045559178749,0.993555423949802,0.00280790143369389,-0.00962162017822976,"Non-significant","VTNC_HUMAN","VTN","Vitronectin"
"Vitamin D-binding protein",22.9629993438721,23.0169792175293,22.8516120910645,23.8653392791748,23.7622299194336,23.3638191223145,23.2946968078613,23.8581943511963,23.7063865661621,23.7016887664795,23.9742221832275,23.9536876678467,23.9127178192139,23.9009685516357,24.0675868988037,0.109773058512065,0.709713315796753,0.148917046366434,-0.14861726760865,"Non-significant","VTDB_HUMAN","GC","Vitamin D-binding protein"
"Vacuolar protein sorting-associated protein 35",15.5100040435791,14.7379388809204,15.4047861099243,15.3224601745605,13.7471408843994,15.5736742019653,15.0018434524536,14.0884237289429,13.8926563262939,14.7300081253052,14.5050859451294,12.7247533798218,14.3998718261719,13.0944881439209,15.1287517547607,0.478036555444711,0.986278956908265,0.00600023281587292,0.467077255249025,"Non-significant","VPS35_HUMAN","VPS35","Vacuolar protein sorting-associated protein 35"
"Vascular non-inflammatory molecule 2",18.1052799224854,18.1336898803711,17.7814617156982,18.3119125366211,18.0353145599365,18.0107688903809,17.9671859741211,17.8613166809082,17.8498077392578,18.1431293487549,18.1887874603271,18.0374126434326,18.0154304504395,17.8652267456055,17.8068523406982,0.487852425767053,0.986278956908265,0.00600023281587292,0.0795297622680486,"Non-significant","VNN2_HUMAN","VNN2","Vascular non-inflammatory molecule 2"
"Pantetheinase",19.6856555938721,20.1552753448486,19.762186050415,19.7002906799316,20.0153465270996,19.8947219848633,19.6618938446045,19.6270198822021,19.3931331634521,19.7303466796875,19.8001899719238,19.3892993927002,19.4703330993652,19.361759185791,19.5556163787842,0.116677341648386,0.738956497106442,0.131381128077072,0.193420410156225,"Non-significant","VNN1_HUMAN","VNN1","Pantetheinase"
"Vinculin",17.9426174163818,18.058256149292,17.8999061584473,17.9162578582764,18.0418834686279,17.9454898834229,18.0286445617676,17.5815601348877,17.6318798065186,17.8333587646484,17.6521453857422,17.7003993988037,17.8350448608398,17.8198051452637,17.7445125579834,0.177414239388237,0.837622624928722,0.076951600492307,-0.100204467773423,"Non-significant","VINC_HUMAN","VCL","Vinculin"
"Vimentin",14.8084812164307,15.4685792922974,15.3198766708374,15.4867725372314,14.2008905410767,14.1739654541016,15.7509737014771,15.3858289718628,12.9559926986694,15.4686050415039,15.3685989379883,15.3416891098022,15.6835289001465,14.6341867446899,14.7302150726318,0.671638501730492,0.993555423949802,0.00280790143369389,-0.3026485443115,"Non-significant","VIME_HUMAN","VIM","Vimentin"
"Vascular endothelial growth factor receptor 3",15.5163984298706,15.8533725738525,15.9107856750488,15.5688819885254,15.7977809906006,15.4201374053955,15.4965257644653,15.9304714202881,16.0763397216797,15.8022060394287,14.7943248748779,15.6135501861572,15.964243888855,15.5050172805786,15.5648612976074,0.973193865762325,0.995579334537958,0.00192412671719819,-0.0110826492309499,"Non-significant","VGFR3_HUMAN","FLT4","Vascular endothelial growth factor receptor 3"
"Voltage-dependent anion-selective channel protein 3",16.0591945648193,13.5535135269165,13.5959434509277,14.6939554214478,15.5896015167236,14.7312183380127,13.8242797851563,16.5220718383789,14.8565864562988,12.2008419036865,13.7201471328735,14.9034910202026,16.6552505493164,15.5067138671875,14.0294504165649,0.414711149952029,0.986278956908265,0.00600023281587292,-0.948814630508425,"Non-significant","VDAC3_HUMAN","VDAC3","Voltage-dependent anion-selective channel protein 3"
"Vascular cell adhesion protein 1",17.4447231292725,17.7117538452148,17.3664417266846,17.5793609619141,17.6277751922607,17.3035221099854,17.6270427703857,17.4768733978271,17.4778842926025,17.4881458282471,17.611722946167,17.6184215545654,17.3962364196777,17.3932647705078,17.4852561950684,0.545075532522178,0.986278956908265,0.00600023281587292,0.0403618812561,"Non-significant","VCAM1_HUMAN","VCAM1","Vascular cell adhesion protein 1"
"Vasodilator-stimulated phosphoprotein",14.7333068847656,14.5714263916016,14.364462852478,15.0970325469971,14.2792539596558,14.6412725448608,13.8303365707397,14.9333629608154,13.0244112014771,15.2850008010864,14.626932144165,14.634334564209,14.6378755569458,12.8882617950439,14.3407678604126,0.618837503595751,0.986278956908265,0.00600023281587292,0.342116832733151,"Non-significant","VASP_HUMAN","VASP","Vasodilator-stimulated phosphoprotein"
"V-type proton ATPase subunit S1",15.9751110076904,16.3504180908203,16.1232681274414,16.0994033813477,16.0896186828613,15.9858245849609,16.1739959716797,16.2585182189941,16.1362705230713,16.3230743408203,16.2484397888184,15.8885097503662,16.2152194976807,16.2316284179688,16.2715797424316,0.403960902049544,0.986278956908265,0.00600023281587292,0.0898413658142019,"Non-significant","VAS1_HUMAN","ATP6AP1","V-type proton ATPase subunit S1"
"Vesicle-associated membrane protein-associated protein B/C",14.6781816482544,13.4017457962036,13.8136606216431,13.8799486160278,13.4117698669434,15.3888988494873,14.1954231262207,13.5204629898071,13.3047456741333,13.1481323242188,14.1683387756348,13.5440406799316,12.4252443313599,11.7156295776367,13.7603006362915,0.269225829272895,0.931781587557862,0.030685875666103,0.674116134643576,"Non-significant","VAPA_HUMAN;VAPB_HUMAN","VAPA;VAPB","Vesicle-associated membrane protein-associated protein B/C"
"General vesicular transport factor p115",15.9760894775391,13.6379270553589,12.8991451263428,13.8679189682007,13.7610845565796,16.1611042022705,13.9552812576294,11.8868618011475,13.5464363098145,15.8181800842285,14.1788301467896,13.8184976577759,12.4941396713257,13.2310647964478,13.706503868103,0.56521381309508,0.986278956908265,0.00600023281587292,0.545025587081925,"Non-significant","USO1_HUMAN","USO1","General vesicular transport factor p115"
"Protein unc-80 homolog",18.7411632537842,18.9677600860596,18.5942325592041,17.1411590576172,18.7715473175049,16.3025569915771,19.1589698791504,18.4745941162109,18.5851974487305,18.6860389709473,19.0097255706787,18.1949729919434,18.3160514831543,16.5993995666504,18.7480297088623,0.22209321618306,0.900262159648071,0.0456310039945608,0.724275588989247,"Non-significant","UNC80_HUMAN","UNC80","Protein unc-80 homolog"
"UTP--glucose-1-phosphate uridylyltransferase",19.4501609802246,19.1124095916748,19.3798027038574,18.314432144165,18.6915111541748,19.5916767120361,19.3907928466797,17.7857265472412,17.4108238220215,18.3501358032227,18.7722091674805,17.9411964416504,18.0405731201172,18.6572303771973,19.2722949981689,0.391308604436537,0.986278956908265,0.00600023281587292,-0.398099899291974,"Non-significant","UGPA_HUMAN","UGP2","UTP--glucose-1-phosphate uridylyltransferase"
"UDP-glucose:glycoprotein glucosyltransferase 1",13.6505308151245,15.5699739456177,15.0521688461304,15.7947206497192,15.9434509277344,15.8567390441895,15.6030616760254,15.3769092559814,12.6344919204712,15.3896989822388,16.1704044342041,15.9117994308472,15.259669303894,15.212815284729,15.9273700714111,0.44819168317837,0.986278956908265,0.00600023281587292,-0.685037374496451,"Non-significant","UGGG1_HUMAN","UGGT1","UDP-glucose:glycoprotein glucosyltransferase 1"
"UDP-glucose 6-dehydrogenase",19.4425487518311,19.153678894043,19.3883247375488,18.998405456543,18.9779205322266,19.5735492706299,19.5154628753662,18.4736270904541,18.221851348877,18.5005416870117,18.9476261138916,18.4564914703369,18.6069660186768,18.7095241546631,19.3678779602051,0.362472013056385,0.986278956908265,0.00600023281587292,-0.249303340911872,"Non-significant","UGDH_HUMAN","UGDH","UDP-glucose 6-dehydrogenase"
"Tyrosine-protein kinase receptor UFO",15.6188840866089,14.7740144729614,14.7757234573364,14.8900079727173,15.0985994338989,14.2261714935303,15.2278003692627,15.4469051361084,15.2014694213867,15.4142160415649,14.8321475982666,15.3976516723633,14.5393886566162,14.8036422729492,15.0761098861694,0.292385260632019,0.95109345172468,0.0217768084312751,0.269486427307125,"Non-significant","UFO_HUMAN","AXL","Tyrosine-protein kinase receptor UFO"
"Ubiquitin-fold modifier 1",17.2188186645508,17.150182723999,17.1102695465088,16.4827175140381,16.3730907440186,17.1579399108887,16.9681606292725,16.0551891326904,15.8661508560181,16.3099822998047,17.0976524353027,16.0923290252686,16.2573585510254,16.5878162384033,17.1207752227783,0.624787091110852,0.986278956908265,0.00600023281587292,-0.182326078414924,"Non-significant","UFM1_HUMAN","UFM1","Ubiquitin-fold modifier 1"
"Ubiquitin carboxyl-terminal hydrolase 5",17.3581447601318,17.3242950439453,17.3528022766113,16.2008094787598,17.0431976318359,17.4958477020264,17.0403213500977,16.4750328063965,13.2473745346069,16.9986019134521,17.3513450622559,15.5217723846436,16.1271419525146,16.7775249481201,17.0256690979004,0.748538782145439,0.993555423949802,0.00280790143369389,-0.344938516616825,"Non-significant","UBP5_HUMAN","USP5","Ubiquitin carboxyl-terminal hydrolase 5"
