CTRL_1;CTRL_2;CTRL_3;CTRL_4;CTRL.myr_1;CTRL.myr_2;CTRL.myr_3;CTRL.myr_4;HBV_1;HBV_2;HBV_3;HBV_4;HBV.myr_1;HBV.myr_2;HBV.myr_3;HBV.myr_4;Protein_Names;Peptides;Genes;Protein.Ids;First.Protein.Description
18.4810228598174;18.432545978188216;17.74644215309069;18.440354174990112;18.413272566078703;18.320994408577263;18.438073021965337;17.974913074201343;18.374029096069304;18.533900017097267;18.36127129345877;18.433776946727818;18.280104681868615;18.518891311001873;18.47995389728459;18.471484705109788;X5CMH5_HUMAN;1;TAP2;X5CMH5;Antigen peptide transporter 2
17.709279056563613;17.11505381338561;18.203649106613476;17.512640169300298;17.702145623755182;17.925084977660497;17.458743023414318;17.526086544880823;17.71735512206491;17.698073838069632;16.844276677307636;17.5019382322015;17.536247215688128;17.56664869422868;17.37693084552425;17.444295065271113;X1WI27_HUMAN;1;PIGV;X1WI27;GPI mannosyltransferase 2
17.38356930346428;17.302576454196725;17.60787931195924;17.66950794247119;17.7425199716613;17.91312900162023;17.80581313395553;17.95104561216941;18.02854282174987;17.837861957954548;17.904969715840018;17.839302221900475;18.344625331910624;18.099573830263793;17.899463138379627;18.173076864356336;"A0A087WT39_HUMAN;V9GYI1_HUMAN";3;LIME1;V9GYI1;Lck-interacting transmembrane adapter 1
20.270443622205416;20.16975621926166;20.284327094364812;20.304810291221155;20.32892250118842;20.356565879896205;20.32396293378669;20.34098666181882;20.319978558792393;20.333875993581046;20.22915913011181;20.319956515077006;20.311145174201723;20.206134394679097;20.25850852736114;20.195360191302584;UBC9_HUMAN;6;UBE2I;UBE2I_HUMAN;SUMO-conjugating enzyme UBC9
17.638315703251468;17.608269262719226;17.62084267819379;17.745969691245616;17.62739851146868;17.62825328570732;17.613516113695905;17.665731460331276;17.61613958182712;17.69964022713133;17.71548614192797;17.607561496354204;17.50098188586893;17.45437962677178;17.633612559859397;17.539476910653732;UB2E2_HUMAN;4;UBE2E2;UB2E1_HUMAN;Ubiquitin-conjugating enzyme E2 E2
23.13283543747255;23.239842062301246;23.42121425736446;23.63896083469059;23.704151035667152;23.38833530011885;23.368849582550375;23.552237082035653;22.981627900176075;22.678820609257645;23.10017049380938;23.263474385012685;23.406873991312175;22.931431506784715;22.809059589349253;22.76326546236374;TRYP_PIG;1;TRYP_PIG;TRYP_PIG;TRYP_PIG
21.514432828160544;21.38755985192643;21.66912122091394;21.318208478712663;21.26942235420179;21.058363059400175;21.294745254576505;21.108976147097692;21.696279895930545;21.33143417754046;21.492239508702255;21.449302828071204;21.657867939711267;21.552713183024554;21.398941965391767;21.33169111781568;TRFL_HUMAN;11;LTF;TRFL_HUMAN;Lactotransferrin
20.746635686532645;20.573974410344512;20.62882641306825;20.50639669291162;20.92898383116957;21.226204020765504;21.074713789160562;21.56077129372484;21.566394137108794;21.58402294025754;21.35881536438342;21.644225973872523;21.94104115671432;21.89094183609379;21.77288961176935;21.856508356951405;TRFE_HUMAN;59;TF;TRFE_HUMAN;Serotransferrin
24.711153988881694;24.735255417356917;24.68768984953724;25.043171670068492;25.02084212903021;24.943296766742627;24.721266525457242;25.255360143537622;25.162290361503064;25.05085003640087;25.167670803608242;25.033063174214096;25.09831614522546;25.056562473567435;25.186933335276436;25.139867317011632;THIO_HUMAN;10;TXN;THIO_HUMAN;Thioredoxin
18.665113810335242;18.537590009266832;18.363848146786307;18.502233560656425;18.57570911512015;18.55007036353407;18.55267284952504;18.272684453568733;18.2886543321751;18.167266223613318;18.347426728625642;18.44439213528831;18.29283835497842;18.20952951939607;18.15282452386361;18.204690536078008;TAU_HUMAN;3;MAPT;TAU_HUMAN;Microtubule-associated protein tau
