"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9772572","R-HSA-9772572","Early SARS-CoV-2 Infection Events","4/26","38/10955",1.74193370520427e-06,0.000178331449515371,9.98179374898069e-05,"375790/6385/81631/2817",4
"R-HSA-3656237","R-HSA-3656237","Defective EXT2 causes exostoses 2","3/26","14/10955",4.24598689322313e-06,0.000178331449515371,9.98179374898069e-05,"375790/6385/2817",3
"R-HSA-3656253","R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","3/26","14/10955",4.24598689322313e-06,0.000178331449515371,9.98179374898069e-05,"375790/6385/2817",3
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","8/26","481/10955",1.01091249355229e-05,0.000184418505613181,0.000103225061621413,"3240/6282/197/684/8876/140885/4353/6317",8
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions","4/26","59/10955",1.03835052958797e-05,0.000184418505613181,0.000103225061621413,"3371/375790/6385/3673",4
"R-HSA-9694614","R-HSA-9694614","Attachment and Entry","3/26","19/10955",1.12144920563067e-05,0.000184418505613181,0.000103225061621413,"375790/6385/2817",3
"R-HSA-3560783","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","3/26","20/10955",1.31727504009415e-05,0.000184418505613181,0.000103225061621413,"375790/6385/2817",3
"R-HSA-3560801","R-HSA-3560801","Defective B3GAT3 causes JDSSDHD","3/26","20/10955",1.31727504009415e-05,0.000184418505613181,0.000103225061621413,"375790/6385/2817",3
"R-HSA-4420332","R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1","3/26","20/10955",1.31727504009415e-05,0.000184418505613181,0.000103225061621413,"375790/6385/2817",3
"R-HSA-2024096","R-HSA-2024096","HS-GAG degradation","3/26","22/10955",1.7738788775397e-05,0.000223508738570002,0.000125105141889642,"375790/6385/2817",3
"R-HSA-1971475","R-HSA-1971475","A tetrasaccharide linker sequence is required for GAG synthesis","3/26","26/10955",2.97604931792952e-05,0.000340892921871926,0.000190808903637586,"375790/6385/2817",3
"R-HSA-3000170","R-HSA-3000170","Syndecan interactions","3/26","27/10955",3.34278609781088e-05,0.000350992540270143,0.000196461989959061,"3371/6385/3673",3
"R-HSA-2022928","R-HSA-2022928","HS-GAG biosynthesis","3/26","31/10955",5.10477268596546e-05,0.000494770275716652,0.0002769390849876,"375790/6385/2817",3
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","6/26","300/10955",5.81485651004116e-05,0.000523337085903705,0.000292928861784029,"3371/375790/6385/3673/8754/649",6
"R-HSA-3560782","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","3/26","41/10955",0.000119169614832812,0.00100102476459562,0.000560306259213925,"375790/6385/2817",3
"R-HSA-975634","R-HSA-975634","Retinoid metabolism and transport","3/26","44/10955",0.000147358926274282,0.00116045154440997,0.000649542635551113,"375790/6385/2817",3
"R-HSA-6806667","R-HSA-6806667","Metabolism of fat-soluble vitamins","3/26","48/10955",0.000191235513739526,0.0014173926312459,0.000793360954832708,"375790/6385/2817",3
"R-HSA-1793185","R-HSA-1793185","Chondroitin sulfate/dermatan sulfate metabolism","3/26","50/10955",0.000216028913971176,0.00151220239779823,0.000846429078132677,"375790/6385/2817",3
"R-HSA-1638091","R-HSA-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","3/26","55/10955",0.000286892802863349,0.0019025522716201,0.00106492065328778,"375790/6385/2817",3
"R-HSA-1475029","R-HSA-1475029","Reversible hydration of carbon dioxide","2/26","12/10955",0.000352311401277742,0.00221956182804977,0.0012423612571373,"771/761",2
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","3/26","76/10955",0.000743786447661339,0.00446271868596803,0.00249792942322354,"3371/375790/3673",3
"R-HSA-196854","R-HSA-196854","Metabolism of vitamins and cofactors","4/26","191/10955",0.000991125179653247,0.00564437615451383,0.0031593417072049,"375790/6385/2817/8876",4
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","3/26","85/10955",0.00103032263137951,0.00564437615451383,0.0031593417072049,"3371/375790/3673",3
"R-HSA-2187338","R-HSA-2187338","Visual phototransduction","3/26","106/10955",0.00194713395973666,0.0102224532886175,0.00572184102203317,"375790/6385/2817",3
