"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-211859","R-HSA-211859","Biological oxidations","20/171","222/10955",2.30819289694112e-10,1.32259452994726e-07,1.10064356033087e-07,"1558/125/134147/2944/6822/55902/8529/1559/66002/216/1576/2328/57834/126/1595/2946/91703/2948/246181/1573",20
"R-HSA-211945","R-HSA-211945","Phase I - Functionalization of compounds","14/171","106/10955",9.08610888322616e-10,2.60317019504429e-07,2.16631964426392e-07,"1558/125/134147/55902/8529/1559/66002/216/1576/2328/57834/126/1595/1573",14
"R-HSA-8957322","R-HSA-8957322","Metabolism of steroids","16/171","154/10955",2.02858875592096e-09,3.78548206200094e-07,3.15022205214738e-07,"32/2194/10998/2224/11001/3422/5641/51478/6342/3157/1595/8647/1717/2222/2638/7108",16
"R-HSA-8963901","R-HSA-8963901","Chylomicron remodeling","6/171","10/10955",2.64257037486976e-09,3.78548206200094e-07,3.15022205214738e-07,"116519/348/335/345/344/336",6
"R-HSA-191273","R-HSA-191273","Cholesterol biosynthesis","8/171","27/10955",5.15842106642925e-09,5.91155054212792e-07,4.91950472229989e-07,"2224/3422/51478/3157/1595/1717/2222/7108",8
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","13/171","108/10955",1.17611093370089e-08,1.04515019946453e-06,8.69758501621073e-07,"2243/116519/7018/348/335/2335/2266/2719/6694/4148/336/3698/3827",13
"R-HSA-2426168","R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","9/171","42/10955",1.27679780039297e-08,1.04515019946453e-06,8.69758501621073e-07,"32/2194/2224/3422/3157/1595/1717/2222/7108",9
"R-HSA-8963899","R-HSA-8963899","Plasma lipoprotein remodeling","8/171","34/10955",3.84370174727277e-08,2.75305137648412e-06,2.29104854146653e-06,"116519/348/335/345/344/336/4018/9388",8
"R-HSA-6806667","R-HSA-6806667","Metabolism of fat-soluble vitamins","9/171","48/10955",4.43185257381753e-08,2.82161280533049e-06,2.34810434612788e-06,"348/335/345/5950/7274/344/2719/336/7276",9
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","13/171","125/10955",6.95050622824836e-08,3.98264006878631e-06,3.31429402252264e-06,"2243/116519/7018/348/335/2335/2266/2719/6694/4148/336/3698/3827",13
"R-HSA-8978868","R-HSA-8978868","Fatty acid metabolism","15/171","177/10955",1.04589785486152e-07,5.44817700759681e-06,4.53389213638533e-06,"32/51703/2194/1558/3248/5264/8529/1559/2053/11001/57834/6342/1962/1573/11000",15
"R-HSA-9018677","R-HSA-9018677","Biosynthesis of DHA-derived SPMs","6/171","17/10955",1.42205892561054e-07,6.74407289341494e-06,5.61231748087989e-06,"1558/3248/1559/2053/1576/2948",6
"R-HSA-1655829","R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","9/171","55/10955",1.53006889379396e-07,6.74407289341494e-06,5.61231748087989e-06,"32/2194/2224/3422/3157/1595/1717/2222/7108",9
"R-HSA-8963888","R-HSA-8963888","Chylomicron assembly","5/171","10/10955",2.06776550333858e-07,7.89886422275338e-06,6.57331770535002e-06,"348/335/345/344/336",5
"R-HSA-8964058","R-HSA-8964058","HDL remodeling","5/171","10/10955",2.06776550333858e-07,7.89886422275338e-06,6.57331770535002e-06,"348/335/345/344/9388",5
"R-HSA-8963898","R-HSA-8963898","Plasma lipoprotein assembly","6/171","19/10955",3.03775090095183e-07,1.02390074485024e-05,8.52075020514663e-06,"348/335/345/344/341/336",6
"R-HSA-9018678","R-HSA-9018678","Biosynthesis of specialized proresolving mediators (SPMs)","6/171","19/10955",3.03775090095183e-07,1.02390074485024e-05,8.52075020514663e-06,"1558/3248/1559/2053/1576/2948",6
"R-HSA-975634","R-HSA-975634","Retinoid metabolism and transport","8/171","44/10955",3.28523892498347e-07,1.0458010577864e-05,8.70300136267551e-06,"348/335/345/5950/344/2719/336/7276",8
"R-HSA-114608","R-HSA-114608","Platelet degranulation ","12/171","129/10955",7.64420806237615e-07,2.3053322209166e-05,1.91846329764897e-05,"2243/7057/7018/335/2335/2244/2266/6694/83706/2162/3827/10487",12
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","12/171","134/10955",1.15086368943646e-06,3.29722447023546e-05,2.74390132270903e-05,"2243/7057/7018/335/2335/2244/2266/6694/83706/2162/3827/10487",12
"R-HSA-196854","R-HSA-196854","Metabolism of vitamins and cofactors","14/171","191/10955",1.64994910915839e-06,4.50200399784646e-05,3.74650098470551e-05,"32/10840/2194/6470/348/335/345/5950/7274/344/2719/336/160428/7276",14
"R-HSA-174824","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","9/171","75/10955",2.31351781978458e-06,6.02566232152984e-05,5.01446685340869e-05,"116519/348/335/345/344/341/336/4018/9388",9
"R-HSA-71387","R-HSA-71387","Metabolism of carbohydrates","17/171","297/10955",3.82289853586806e-06,9.52400374370608e-05,7.92573472195987e-05,"4060/26007/5313/2548/229/5106/230/3795/2203/216/5105/2719/5207/2588/2331/2990/5232",17
"R-HSA-71291","R-HSA-71291","Metabolism of amino acids and derivatives","19/171","376/10955",6.22994258074746e-06,0.000148739879115346,0.000123779122328009,"383/2628/635/6470/5053/10841/9380/27232/130013/23498/1610/125061/1428/23743/23464/2593/501/2752/25873",19
"R-HSA-211897","R-HSA-211897","Cytochrome P450 - arranged by substrate type","8/171","66/10955",7.95194379141992e-06,0.000182258551699345,0.000151672864737399,"1558/8529/1559/66002/1576/57834/1595/1573",8
"R-HSA-70263","R-HSA-70263","Gluconeogenesis","6/171","35/10955",1.47728616983273e-05,0.000323116617214468,0.000268892858635353,"229/5106/230/2203/5105/5232",6
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","15/171","263/10955",1.52253903399488e-05,0.000323116617214468,0.000268892858635353,"2243/7057/7018/335/2335/2244/2266/6694/83706/2162/5880/3827/3708/10487/2787",15
"R-HSA-71384","R-HSA-71384","Ethanol oxidation","4/171","12/10955",2.57308310339647e-05,0.000526563077945063,0.000438197987157369,"125/55902/216/126",4
"R-HSA-2142753","R-HSA-2142753","Arachidonic acid metabolism","7/171","59/10955",3.4398576475857e-05,0.000679668424850554,0.000565609987062186,"1558/3248/8529/1559/2053/57834/1573",7
"R-HSA-2187338","R-HSA-2187338","Visual phototransduction","9/171","106/10955",4.0007723081772e-05,0.000764147510861845,0.000635912230036586,"348/335/345/5950/344/2719/336/8630/7276",9
