"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","10/28","108/10955",6.41988331538704e-14,1.27113689644663e-11,6.82534963004307e-12,"2243/3698/2335/2266/116519/2719/338/348/4148/174",10
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","10/28","125/10955",2.86617636570373e-13,2.83751460204669e-11,1.52359901545304e-11,"2243/3698/2335/2266/116519/2719/338/348/4148/174",10
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","8/28","85/10955",2.57107392814295e-11,1.69690879257435e-09,9.11152514885747e-10,"7057/2243/2335/2244/2266/375790/1291/4060",8
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","11/28","300/10955",7.67978065153357e-11,3.80149142250912e-09,2.04120485738129e-09,"7057/2243/2335/2244/2266/375790/1291/4148/2192/4060/2331",11
"R-HSA-114608","R-HSA-114608","Platelet degranulation ","8/28","129/10955",7.57793883444248e-10,3.00086377843922e-08,1.61130909953409e-08,"7057/2243/2335/2244/2266/3959/2162/83706",8
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","8/28","134/10955",1.02747855527302e-09,3.39067923240098e-08,1.82061989618553e-08,"7057/2243/2335/2244/2266/3959/2162/83706",8
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","6/28","76/10955",3.04438998737382e-08,8.61127453571451e-07,4.62381035676324e-07,"2335/375790/1291/4148/4060/2331",6
"R-HSA-354194","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins ","4/28","15/10955",4.57059701096639e-08,1.00553134241261e-06,5.39918477318836e-07,"2243/2335/2244/2266",4
"R-HSA-372708","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","4/28","15/10955",4.57059701096639e-08,1.00553134241261e-06,5.39918477318836e-07,"2243/2335/2244/2266",4
"R-HSA-975634","R-HSA-975634","Retinoid metabolism and transport","5/28","44/10955",7.58796410969436e-08,1.50241689371948e-06,8.06720394820137e-07,"375790/2719/338/348/55937",5
"R-HSA-6806667","R-HSA-6806667","Metabolism of fat-soluble vitamins","5/28","48/10955",1.18802701832214e-07,2.13844863297985e-06,1.14823663971805e-06,"375790/2719/338/348/55937",5
"R-HSA-5686938","R-HSA-5686938","Regulation of TLR by endogenous ligand","4/28","21/10955",1.98304087104944e-07,3.09730676666003e-06,1.66309401080629e-06,"2243/2244/2266/338",4
