Term,k,M,enrichment_ratio,Adjusted P-value,minus_log10_p
Collagen-Containing Extracellular Matrix (GO:0062023),79,373,0.21179624664879357,1.7587834113027411e-53,52.754787639262055
Secretory Granule Lumen (GO:0034774),72,316,0.22784810126582278,3.9503233779651974e-51,50.403367351078
Intracellular Organelle Lumen (GO:0070013),105,856,0.12266355140186916,1.471731140276419e-48,47.832171520813134
Endoplasmic Reticulum Lumen (GO:0005788),49,284,0.17253521126760563,2.054623258466357e-28,27.68726779995281
Cell-Substrate Junction (GO:0030055),54,395,0.13670886075949368,2.7235091442858e-26,25.56487116222812
Focal Adhesion (GO:0005925),53,387,0.13695090439276486,6.714104559263286e-26,25.173011899734195
Platelet Alpha Granule Lumen (GO:0031093),26,66,0.3939393939393939,4.629292943338241e-25,24.33448533603511
Ficolin-1-Rich Granule Lumen (GO:1904813),32,123,0.2601626016260163,1.9728282973060766e-24,23.704910711391214
Platelet Alpha Granule (GO:0031091),28,89,0.3146067415730337,6.209555210440054e-24,23.206939507161533
Ficolin-1-Rich Granule (GO:0101002),35,184,0.19021739130434784,6.603499359262727e-22,21.180225859962757
Cytoplasmic Vesicle Lumen (GO:0060205),28,115,0.24347826086956523,1.3058412612331791e-20,19.884109612923485
Vacuolar Lumen (GO:0005775),28,161,0.17391304347826086,1.793664878423136e-16,15.746258695654781
Vesicle (GO:0031982),30,235,0.1276595744680851,7.186842439906217e-14,13.143461876254895
Lysosomal Lumen (GO:0043202),17,86,0.19767441860465115,5.347234732426036e-11,10.271870750861362
Cytosolic Small Ribosomal Subunit (GO:0022627),12,41,0.2926829268292683,5.784663714877473e-10,9.237721883214931
Small Ribosomal Subunit (GO:0015935),12,42,0.2857142857142857,7.447227642171906e-10,9.128005370713085
Basement Membrane (GO:0005604),12,46,0.2608695652173913,2.2831106412888404e-09,8.64147304175685
High-Density Lipoprotein Particle (GO:0034364),8,18,0.4444444444444444,2.03790624789856e-08,7.690815799209308
Extracellular Membrane-Bounded Organelle (GO:0065010),12,57,0.21052631578947367,2.880806805709981e-08,7.540485865644408
Actin Cytoskeleton (GO:0015629),27,327,0.08256880733944955,2.880806805709981e-08,7.540485865644408
