Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	Collagen-Containing Extracellular Matrix (GO:0062023)	79/373	7.035134e-56	1.758783e-53	0	0	1.488624e+01	1.890461e+03	LGALS3BP;COL18A1;SERPINA1;SERPINE1;PZP;TNC;F13A1;LAMC1;CLU;SERPINA5;COMP;EFEMP1;MDK;EMILIN1;CCN2;CTSD;CTSB;FGB;FGA;VWF;AHSG;SERPINF1;KRT1;SERPINF2;FGG;APOA1;F2;NPNT;HSPG2;COL2A1;F9;PKM;COL6A1;SERPING1;COL6A3;ANG;MATN3;ITIH4;LAMA5;TNXB;ITIH2;SERPINC1;FGL1;SEMA3B;LTBP4;FBLN1;PLG;NID1;ITIH1;THBS1;FBLN5;COCH;THBS4;HSP90B1;THBS3;VTN;CLEC3B;APOH;PSAP;APOE;A2M;TGFB1;AMBP;GDF15;LAMB2;LUM;RARRES2;FN1;APOC3;LAMB1;AGT;COL1A1;FRAS1;SMOC1;OGN;CNTN1;TGFBI;AGRN;FMOD
GO_Cellular_Component_2023	Secretory Granule Lumen (GO:0034774)	72/316	3.160259e-53	3.950323e-51	0	0	1.606659e+01	1.942231e+03	LGALS3BP;APP;PYGB;SERPINA1;HSP90AB1;HEXB;PROS1;SERPINE1;GDI2;OLA1;F13A1;PYGL;CLU;QSOX1;CTSD;SPTAN1;FGB;CCT2;FGA;HSP90AA1;VWF;AHSG;ACTN1;PGAM1;SERPINF2;FGG;APOA1;APRT;F5;EEF1A1;ACLY;PKM;SERPING1;PPIE;ALDOC;ALDOA;PPIA;KPNB1;LTF;ITIH4;VCP;ITIH3;PSMD14;PSMD13;PLG;THBS1;C3;CLEC3B;CAND1;APOH;CCT8;A2M;DYNC1H1;HSPA8;XRCC6;GSN;TGFB1;XRCC5;IDH1;RARRES2;FN1;IGF2;PA2G4;LYZ;TUBB4B;EEF2;PRDX6;PSMC3;PSMC2;ALB;MAN2B1;FERMT3
GO_Cellular_Component_2023	Intracellular Organelle Lumen (GO:0070013)	105/856	1.766077e-50	1.471731e-48	0	0	8.172581e+00	9.362550e+02	APP;PROS1;TNC;C4A;FTH1;PDIA3;APLP2;KRT1;HSPG2;PDIA6;EEF1A1;ACLY;SERPING1;PPIE;PPIB;PPIA;KPNB1;VCP;SDC4;PSMD14;SHMT2;PSMD13;HSP90B1;C3;ADAMTS13;ESD;APOE;APOB;PCK2;HSPA9;HSPA8;XRCC6;TGFB1;HSPA5;IDH1;FN1;PYCR1;LYZ;EEF2;COL1A1;CS;GLUD1;BPIFB2;P4HA1;OGN;ALB;SDC1;HYOU1;COL18A1;SERPINA1;HSP90AB1;HBB;PYGL;ETFB;LAMC1;C1QBP;QSOX1;CTSD;SPTAN1;CTSB;FGA;HSP90AA1;AHSG;PGAM1;FGG;APOA1;F2;F5;COL2A1;F9;PKM;COL6A1;COL6A3;ALDOC;ALDOA;MATN3;LTF;OAT;ITIH2;SERPINC1;AFP;THBS1;HSPD1;CST3;GANAB;ATP5F1B;CAND1;RPS3;GPC3;CCT8;GSN;SERPIND1;F10;LUM;MDH2;LAMB2;LAMB1;HSPE1;PSMC3;PSMC2;NOTUM;P4HB;FMOD;AGRN;HSPA1A
GO_Cellular_Component_2023	Endoplasmic Reticulum Lumen (GO:0005788)	49/284	3.287397e-30	2.054623e-28	0	0	1.066714e+01	7.241650e+02	APP;COL18A1;SERPINA1;TNC;LAMC1;C4A;QSOX1;PDIA3;FGA;AHSG;APLP2;FGG;APOA1;F2;PDIA6;F5;COL2A1;F9;COL6A1;SERPING1;COL6A3;PPIB;MATN3;ITIH2;SERPINC1;AFP;THBS1;HSP90B1;C3;CST3;GANAB;ADAMTS13;ESD;GPC3;APOE;APOB;F10;SERPIND1;HSPA5;LAMB2;FN1;LAMB1;COL1A1;BPIFB2;P4HA1;ALB;HYOU1;NOTUM;P4HB
GO_Cellular_Component_2023	Cell-Substrate Junction (GO:0030055)	54/395	5.447018e-28	2.723509e-26	0	0	8.164978e+00	5.125754e+02	YWHAE;RPL30;ARF1;RPLP1;CLTC;RPLP0;GDI2;TNC;RPL10A;ACTB;RPS14;RPS16;YWHAQ;RPS18;CFL1;RAC1;RPS10;RPS13;ACTR3;PDIA3;RPS9;ACTN1;RPL22;HSPG2;YWHAZ;MYH9;EZR;PFN1;TLN1;PPIB;PPIA;GRB7;LRP1;RPL12;CORO1C;HSP90B1;RPS3;FLNA;FLNB;RPS2;HSPA9;HSPA8;NPM1;GSN;HSPA5;HMGA1;PARVB;IGF2R;EHD3;HNRNPK;HYOU1;P4HB;FERMT3;HSPA1A
GO_Cellular_Component_2023	Focal Adhesion (GO:0005925)	53/387	1.611385e-27	6.714105e-26	0	0	8.162821e+00	5.035865e+02	YWHAE;RPL30;ARF1;RPLP1;CLTC;RPLP0;GDI2;TNC;RPL10A;ACTB;RPS14;RPS16;YWHAQ;RPS18;CFL1;RAC1;RPS10;RPS13;ACTR3;PDIA3;RPS9;ACTN1;RPL22;HSPG2;YWHAZ;MYH9;EZR;PFN1;TLN1;PPIB;PPIA;GRB7;LRP1;RPL12;CORO1C;HSP90B1;RPS3;FLNA;FLNB;RPS2;HSPA9;HSPA8;NPM1;GSN;HSPA5;HMGA1;PARVB;IGF2R;EHD3;HNRNPK;HYOU1;P4HB;HSPA1A
GO_Cellular_Component_2023	Platelet Alpha Granule Lumen (GO:0031093)	26/66	1.296202e-26	4.629293e-25	0	0	3.166197e+01	1.887300e+03	APP;SERPINA1;PROS1;SERPINE1;OLA1;F13A1;PLG;CLU;THBS1;QSOX1;A2M;FGB;FGA;TGFB1;VWF;AHSG;ACTN1;FGG;SERPINF2;FN1;IGF2;F5;ALB;SERPING1;ALDOA;FERMT3
GO_Cellular_Component_2023	Ficolin-1-Rich Granule Lumen (GO:1904813)	32/123	6.313051e-26	1.972828e-24	0	0	1.734383e+01	1.006369e+03	VCP;HSP90AB1;SERPINA1;PSMD14;PSMD13;HBB;PYGL;CST3;CAND1;FTH1;CCT8;CTSD;CTSB;HSPA8;XRCC6;HSP90AA1;GSN;IDH1;PGAM1;KRT1;EEF2;EEF1A1;ACLY;PKM;PSMC3;PSMC2;PPIE;ALDOC;ALDOA;PPIA;KPNB1;HSPA1A
GO_Cellular_Component_2023	Platelet Alpha Granule (GO:0031091)	28/89	2.235440e-25	6.209555e-24	0	0	2.244694e+01	1.274092e+03	APP;SERPINA1;PROS1;SERPINE1;OLA1;F13A1;PLG;CLU;THBS1;SERPINA5;QSOX1;A2M;FGB;FGA;TGFB1;VWF;AHSG;ACTN1;APLP2;FGG;SERPINF2;FN1;IGF2;F5;ALB;SERPING1;ALDOA;FERMT3
GO_Cellular_Component_2023	Ficolin-1-Rich Granule (GO:0101002)	35/184	2.641400e-23	6.603499e-22	0	0	1.163950e+01	6.051161e+02	VCP;HSP90AB1;SERPINA1;PSMD14;PSMD13;COPB1;HBB;PYGL;CLU;CST3;CAND1;FTH1;RAC1;CCT8;CTSD;CTSB;HSPA8;XRCC6;HSP90AA1;GSN;IDH1;PGAM1;KRT1;EEF2;EEF1A1;ACLY;PKM;PSMC3;PSMC2;PPIE;ALDOC;ALDOA;PPIA;KPNB1;HSPA1A
