"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa01200","hsa01200","Carbon metabolism","31/173","115/8753",2.52017725797483e-27,5.67039883044337e-25,4.48326270102891e-25,"4594/8801/38/226/2731/84076/50/2653/6888/2023/7167/2271/1738/2806/847/7086/5223/2597/26275/2805/4191/25796/5230/5723/39/48/2875/2821/4199/4190/1892",31
"hsa01230","hsa01230","Biosynthesis of amino acids","17/173","75/8753",5.3374022159818e-14,6.00457749297952e-12,4.74747881316276e-12,"5009/226/84076/50/6888/2023/7167/2806/7086/5223/2597/2805/5230/5723/48/2875/95",17
"hsa03050","hsa03050","Proteasome","14/173","46/8753",1.13291512764984e-13,8.49686345737379e-12,6.71798794992361e-12,"5699/5692/5689/5685/5698/5687/5684/5688/5694/5686/5682/5720/5690/5691",14
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism","11/173","30/8753",5.15961727713294e-12,2.90228471838728e-10,2.29467189430386e-10,"4594/38/2731/50/2653/1738/847/4191/39/48/4190",11
"hsa04142","hsa04142","Lysosome","16/173","132/8753",5.82589823264675e-09,2.62165420469104e-07,2.07279326593116e-07,"3920/1508/5660/1509/1213/3073/3074/10577/5476/2760/4758/2517/1522/2519/1520/2548",16
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","10/173","48/8753",2.39764717892404e-08,8.99117692096516e-07,7.10881356558181e-07,"4594/38/10449/3033/3155/36/1738/26275/39/1892",10
"hsa05012","hsa05012","Parkinson disease","19/173","266/8753",1.15134719560569e-06,3.7007588430183e-05,2.92598009108815e-05,"203068/4729/7277/5692/11315/506/5689/25828/5685/5687/5684/5688/3309/5694/5686/5682/5690/5691/7317",19
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","7/173","30/8753",1.44760344716643e-06,3.98047552289846e-05,3.14713620289983e-05,"8801/50/2271/1738/4191/48/4190",7
"hsa00071","hsa00071","Fatty acid degradation","8/173","43/8753",1.59219020915938e-06,3.98047552289846e-05,3.14713620289983e-05,"38/10449/3033/1632/36/39/2180/1892",8
"hsa04612","hsa04612","Antigen processing and presentation","10/173","78/8753",2.76586109678876e-06,5.91036964682201e-05,4.67299401315986e-05,"1508/811/3308/1520/3309/5720/3312/3320/3326/3106",10
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","7/173","33/8753",2.88951404955743e-06,5.91036964682201e-05,4.67299401315986e-05,"50/1738/2806/2805/48/2875/95",7
"hsa00620","hsa00620","Pyruvate metabolism","8/173","47/8753",3.22785729751862e-06,6.05223243284741e-05,4.78515687088287e-05,"38/2271/1738/4191/39/98/4199/4190",8
