B_1;B_2;B_3;B_4;BM_1;BM_2;BM_3;BM_4;C_1;C_2;C_3;C_4;CM_1;CM_2;CM_3;CM_4;Protein.Names;Peptides;Genes;First.Protein.Description
17.578063054269933;17.458238378726296;17.364818623655427;17.724713680681095;16.570149219095356;17.042802913394556;17.183344611287506;17.167016252245613;17.397925264734884;17.1896122459894;17.459551688800538;17.444254617502914;17.50928016808786;17.446033247407403;16.880827076034066;17.737458618570457;ZZZ3_HUMAN;3;ZZZ3;ZZ-type zinc finger-containing protein 3
18.191199011263524;18.151962917738413;18.32552066962708;18.172481225845193;18.148034609685784;18.39835123887114;18.16128937384641;18.179661299854928;18.3229931685624;18.174569761863708;18.303981366140416;18.346955158564732;18.36691979792762;18.416343975687052;18.24679625695039;18.41396668195966;ZZEF1_HUMAN;23;ZZEF1;Zinc finger ZZ-type and EF-hand domain-containing protein 1
20.001957897215572;19.98815209769054;19.899677020778295;19.925376236096053;19.747706211806804;19.857859534680713;19.846488174050744;19.828776461274852;19.92928441852945;19.974212906732667;19.929415905808465;19.88015446653239;19.945923862301242;19.909390661073267;19.945923862301242;20.042599881712917;ZYX_HUMAN;18;ZYX;Zyxin
16.486190817470682;16.085659174194635;16.74534606723718;16.870978716906322;16.883705289453502;16.982314032905574;16.858454593187393;16.733333154264642;16.758886830905368;16.855853959554587;16.402718979681982;16.734021551404886;16.53996755526684;17.08688259674907;16.598855066869962;16.805731278739106;ZY11B_HUMAN;5;ZYG11B;Protein zyg-11 homolog B
19.272057918456355;19.24594491164923;19.290365399250216;19.180035398033127;19.245552706255683;19.292548564027435;19.18135853834389;19.251771323829743;19.195814330294354;19.328085399080614;19.364314228168023;19.270826839040225;19.321150799119454;19.324299230693583;19.324022285996254;19.33251738988634;ZW10_HUMAN;26;ZW10;Centromere/kinetochore protein zw10 homolog
18.385512770250248;18.44645736930053;18.39550484883058;18.45086891422505;18.430566891170777;18.378222875177432;18.229982896316304;18.398000445781175;18.420634638059106;18.462961508968334;18.4423117898304;18.376116908397215;18.419017873245966;18.224670620177907;18.352043425795433;18.336075004766002;ZTRF1_HUMAN;11;ZFTRAF1;Zinc finger TRAF-type-containing protein 1
17.31464519613212;16.953605367943588;16.62593709953846;16.710967824027577;17.352465920693003;16.807681946854455;16.641698988522013;17.116942928995677;16.995292385828474;16.805063670518454;16.983349927676457;17.143233722756833;16.901621158346114;17.025810045042867;16.926944542798726;17.043080699927962;ZSWM8_HUMAN;5;ZSWIM8;Zinc finger SWIM domain-containing protein 8
20.618629257664065;20.68002980232821;20.645264384167533;20.69710331568715;20.600595334833805;20.69710331568715;20.705564894435348;20.722340607186172;20.396236836327617;20.516531070045332;20.535639892993036;20.5451002222421;20.600595334833805;20.526117118874527;20.636440533780526;20.69710331568715;ZRAB2_HUMAN;15;ZRANB2;Zinc finger Ran-binding domain-containing protein 2
18.722787523240854;18.824340377611964;18.808294918620017;18.6964819743947;18.69184232491568;18.739998104965917;18.84846095576234;18.79766152585376;18.825433985125752;18.830821554033328;18.717719927076466;18.702081350396078;18.83308464918888;18.653765265582884;18.737333177448566;18.674047406432994;ZPR1_HUMAN;18;ZPR1;Zinc finger protein ZPR1
20.194602975157967;20.23022688488869;20.194602975157967;20.194602975157967;20.095067301607052;20.12060239371419;20.133202430493824;20.17035542891129;20.253496664211536;20.310080192577903;20.298939634972704;20.28771237954945;20.218449717112335;20.194602975157967;20.194602975157967;20.264992303049365;ZO2_HUMAN;54;TJP2;Tight junction protein ZO-2
