Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	40	46.51162790697674	1.86370555896378E-16	5641, 59342, 2194, 83706, 1514, 57447, 83758, 3959, 730, 2588, 335, 336, 2244, 2266, 338, 635, 7018, 3698, 2628, 5858, 7057, 5176, 5232, 5476, 2243, 26007, 1291, 4060, 81027, 10404, 1522, 2335, 3248, 348, 4059, 54504, 5105, 51733, 727, 4758	85	2241	20521	4.309210699005171	3.064215547965432E-14	2.5719136713700164E-14	2.1618984483979848E-14
GOTERM_CC_DIRECT	GO:0005576~extracellular region	38	44.18604651162791	3.8078466241840515E-15	9388, 6694, 5641, 2331, 83706, 10437, 1514, 3959, 730, 2588, 335, 336, 2267, 2244, 2266, 338, 7018, 4148, 3698, 5858, 7057, 5176, 5476, 2243, 1291, 4060, 116519, 383, 341, 344, 1522, 2335, 348, 4059, 4018, 727, 5648, 4758	85	2172	20521	4.223800238327375	5.209166431541234E-13	2.627414170686996E-13	2.2085510420267498E-13
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	16	18.6046511627907	2.0138832028099076E-12	6694, 7057, 2243, 116519, 1291, 1522, 2335, 335, 336, 2266, 348, 338, 7018, 4148, 3698, 2719	85	310	20521	12.46056925996205	2.7790902912272486E-10	9.263862732925575E-11	7.787015050864975E-11
REACTOME_PATHWAY	R-HSA-8957275~Post-translational protein phosphorylation	13	15.11627906976744	3.245236499333302E-12	6694, 2243, 116519, 2335, 335, 336, 2266, 348, 338, 7018, 4148, 3698, 2719	72	108	11044	18.463477366255145	1.395428217421113E-9	8.704631037992734E-10	7.773437950207465E-10
REACTOME_PATHWAY	R-HSA-1430728~Metabolism	41	47.674418604651166	4.048665599066388E-12	5264, 5641, 130013, 2331, 2194, 1558, 2328, 122622, 1610, 2588, 335, 11309, 336, 3158, 338, 55902, 635, 6822, 2628, 8529, 32, 5053, 5232, 5476, 63874, 26007, 4060, 116519, 383, 57733, 344, 3248, 3422, 27232, 348, 5424, 5105, 84498, 51733, 2719, 4758	72	2127	11044	2.956720472235282	1.74091963067724E-9	8.704631037992734E-10	7.773437950207465E-10
GOTERM_CC_DIRECT	GO:0042627~chylomicron	7	8.13953488372093	1.147394818195081E-11	341, 344, 335, 336, 348, 338, 116519	85	14	20521	120.71176470588236	1.5834027422556574E-9	3.95851212277303E-10	3.327444972765735E-10
REACTOME_PATHWAY	R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	13	15.11627906976744	1.8837162111548885E-11	6694, 2243, 116519, 2335, 335, 336, 2266, 348, 338, 7018, 4148, 3698, 2719	72	125	11044	15.952444444444444	8.099976245290463E-9	2.699993235988674E-9	2.4111567502782573E-9
GOTERM_CC_DIRECT	GO:0005577~fibrinogen complex	6	6.976744186046512	5.648931122540103E-11	7057, 2335, 2267, 2244, 2266, 2243	85	8	20521	181.06764705882352	7.795517564801457E-9	1.5591049898210684E-9	1.310552020429304E-9
GOTERM_CC_DIRECT	GO:0034361~very-low-density lipoprotein particle	7	8.13953488372093	2.0265187063052403E-10	341, 344, 335, 336, 348, 338, 116519	85	21	20521	80.47450980392156	2.7965961213460844E-8	4.660993024502052E-9	3.917936165523465E-9
GOTERM_CC_DIRECT	GO:0043202~lysosomal lumen	10	11.627906976744185	2.4333065842181107E-10	10437, 1514, 2588, 5476, 5641, 338, 2331, 2719, 4758, 4060	85	98	20521	24.635054021608642	3.357963451744439E-8	4.797090123172847E-9	4.032336625275727E-9
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	11	12.790697674418606	4.5879427495039537E-10	3959, 2335, 335, 336, 2244, 2266, 348, 2243, 7018, 3698, 5858	85	147	20521	18.065706282513005	6.331360102862504E-8	7.91420124289432E-9	6.652516986780733E-9
UP_KW_DOMAIN	KW-0732~Signal	44	51.162790697674424	5.132947023272669E-10	9388, 6694, 5641, 59342, 2331, 10437, 1558, 1514, 3959, 730, 2588, 335, 11309, 336, 2267, 23142, 2244, 2266, 338, 7018, 4148, 3698, 8529, 5858, 7057, 5176, 5476, 2243, 1291, 4060, 116519, 341, 10404, 344, 1522, 2335, 348, 4059, 54504, 2719, 4018, 727, 5648, 4758	64	4412	14600	2.275045330915684	8.21271584072747E-9	8.21271523723627E-9	8.21271523723627E-9
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	32	37.2093023255814	7.991450423139475E-10	9388, 6694, 59342, 2331, 2671, 10437, 1514, 3959, 730, 335, 336, 2267, 2244, 2266, 338, 7018, 4148, 3698, 5858, 7057, 5176, 2243, 1291, 4060, 116519, 341, 10404, 344, 2335, 348, 727, 5648	80	2174	17910	3.2953081876724934	2.397435217016408E-8	2.3974351269418426E-8	1.8380335973220793E-8
REACTOME_PATHWAY	R-HSA-8963899~Plasma lipoprotein remodeling	8	9.30232558139535	1.571421986779047E-9	9388, 344, 335, 336, 348, 338, 4018, 116519	72	34	11044	36.091503267973856	6.757112290811662E-7	1.6892786357874754E-7	1.508565107307885E-7
GOTERM_BP_DIRECT	GO:0033700~phospholipid efflux	6	6.976744186046512	1.75315561077099E-9	341, 344, 335, 336, 348, 116519	85	13	19256	104.55746606334841	1.4147955863519357E-6	1.2662773365263018E-6	1.2176347126944365E-6
REACTOME_PATHWAY	R-HSA-8963901~Chylomicron remodeling	6	6.976744186046512	2.3394104037335413E-9	344, 335, 336, 348, 338, 116519	72	10	11044	92.03333333333333	1.0059459857325592E-6	2.0118929472108454E-7	1.7966671900673598E-7
GOTERM_BP_DIRECT	GO:0033344~cholesterol efflux	7	8.13953488372093	3.1382337956042177E-9	341, 344, 335, 336, 348, 338, 116519	85	30	19256	52.859607843137255	2.532551460654453E-6	1.2662773365263018E-6	1.2176347126944365E-6
GOTERM_MF_DIRECT	GO:0060228~phosphatidylcholine-sterol O-acyltransferase activator activity	5	5.813953488372093	5.17011001362787E-9	341, 335, 336, 348, 116519	84	6	18883	187.33134920634922	1.3235472893224909E-6	1.3235481634887346E-6	1.2408264032706887E-6
GAD_DISEASE	atherosclerosis	15	17.441860465116278	8.563612668381978E-9	9388, 7057, 2243, 116519, 344, 335, 336, 2244, 2266, 348, 338, 635, 5105, 4018, 727	76	343	12924	7.436704004910235	1.1449484693559775E-5	7.979012069635145E-6	7.424002254768976E-6
GAD_DISEASE	Type 2 diabetes	15	17.441860465116278	1.3733303603348745E-8	9388, 2243, 116519, 341, 1558, 344, 335, 336, 2244, 348, 338, 55902, 54504, 727, 32	76	356	12924	7.1651389710230635	1.8361258476540243E-5	7.979012069635145E-6	7.424002254768976E-6
GAD_DISEASE	plasma HDL cholesterol (HDL-C) levels	13	15.11627906976744	1.7903542415037722E-8	2194, 116519, 344, 3248, 335, 336, 3158, 3422, 348, 338, 55902, 5105, 4018	76	249	12924	8.878249841471147	2.393674994971562E-5	7.979012069635145E-6	7.424002254768976E-6
