"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D2B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D2B_vs_D1C"
-3.57357311,12.5526020525,-152.584363593388,6.28955424028179e-14,5.30146526913353e-10,20.3248168812247,"TSP1_HUMAN",52,187.372586242113,2.27749235735525e-15,1.91969830801474e-11,3.57357311,"Up in D2B",10.7167670178899,"THBS1","TSP1_HUMAN",-3.57357311
-1.369122505,14.5386765,-79.2459260822621,7.08770945593941e-12,9.95705050068555e-09,17.722665795214,"APOB_HUMAN",250,146.001659035556,1.5542675834609e-14,6.55046073049597e-11,1.369122505,"Up in D2B",10.1837281525769,"APOB","APOB_HUMAN",-1.369122505
-2.80327582425,11.017012000375,-99.2974297681281,1.39394951467818e-12,3.91653348640747e-09,18.8134809130758,"CO6A1_HUMAN",24,105.864549518406,1.84507121030276e-13,5.18403507721398e-10,2.80327582425,"Up in D2B",9.28533206852077,"COL6A1","CO6A1_HUMAN",-2.80327582425
-2.2258379475,11.48543512625,-81.0594525766856,6.02104436567078e-12,9.95705050068555e-09,17.8410509637676,"AGRIN_HUMAN",69,95.7946610261383,3.98140644557822e-13,8.38981873244471e-10,2.2258379475,"Up in D2B",9.07624742228804,"AGRN","AGRIN_HUMAN",-2.2258379475
-4.44760274725,11.071520566375,-102.114016941887,1.13933913759815e-12,3.91653348640747e-09,18.9345327407835,"ANGL8_HUMAN",9,90.2481031794342,6.29987655396993e-13,9.68839362289128e-10,4.44760274725,"Up in D2B",9.01374822486326,"ANGPTL8","ANGL8_HUMAN",-4.44760274725
-2.55753875,11.677132965,-82.8253117273159,5.15469934141486e-12,9.95705050068555e-09,17.9519977532728,"APOA5_HUMAN",27,89.1929373653919,6.89647191094409e-13,9.68839362289128e-10,2.55753875,"Up in D2B",9.01374822486326,"APOA5","APOA5_HUMAN",-2.55753875
-1.3242538,10.9632481325,-66.7944854219077,2.4294458851174e-11,2.55972492070682e-08,16.7682327005355,"CDHR2_HUMAN",33,81.6052771993009,1.36665503208952e-12,1.64564789506894e-09,1.3242538,"Up in D2B",8.7836630813878,"CDHR2","CDHR2_HUMAN",-1.3242538
-1.735563515,11.7693694825,-67.2086458218648,2.32361722124949e-11,2.55972492070682e-08,16.804514149766,"T23O_HUMAN",22,70.767560117197,4.08879046673945e-12,4.30805185551835e-09,1.735563515,"Up in D2B",8.36571907779051,"TDO2","T23O_HUMAN",-1.735563515
1.245378495,12.433410645,57.4493084398008,7.1946942427744e-11,5.51309797930413e-08,15.8462503001274,"ABHD2_HUMAN",29,-66.0298562345849,6.96587158395957e-12,6.1724939371409e-09,-1.245378495,"Up in D1C",8.20953932797643,"ABHD2","ABHD2_HUMAN",1.245378495
-1.968953135,11.61033106,-61.6479713138113,4.32885346646247e-11,3.64879058688122e-08,16.2864289504669,"ATTY_HUMAN",25,65.6019103897737,7.32292553937703e-12,6.1724939371409e-09,1.968953135,"Up in D2B",8.20953932797643,"TAT","ATTY_HUMAN",-1.968953135
-1.777682062,10.322181819,-55.8178598160918,8.85339072932597e-11,5.74040234288374e-08,15.6623489466909,"PTPRF_HUMAN",72,63.5766232885308,9.31918175857512e-12,7.14103482209361e-09,1.777682062,"Up in D2B",8.14623884915374,"PTPRF","PTPRF_HUMAN",-1.777682062
1.717136855,11.1984312525,62.5379095080182,3.90421846084634e-11,3.64879058688122e-08,16.3740440813143,"TRAF1_HUMAN",18,-62.7720377559037,1.02776705131567e-11,7.2192070629498e-09,-1.717136855,"Up in D1C",8.14151050147425,"TRAF1","TRAF1_HUMAN",1.717136855
-1.6403095725,15.85724294125,-53.1157123523374,1.26551950594665e-10,6.274743479779e-08,15.3403012138963,"TRFE_HUMAN",55,60.3139770894805,1.39711787679073e-11,9.0586973718993e-09,1.6403095725,"Up in D2B",8.04293424877676,"TF","TRFE_HUMAN",-1.6403095725
2.252105715,13.5261244775,56.1760921252451,8.45480198138826e-11,5.74040234288374e-08,15.7033856246229,"PLIN2_HUMAN",27,-59.4555882760948,1.55982410707939e-11,9.39125528469439e-09,-2.252105715,"Up in D1C",8.02727635376374,"PLIN2","PLIN2_HUMAN",2.252105715
-1.0832960625,11.76064503125,-51.2274028826192,1.64223123516559e-10,7.33704449014358e-08,15.1013365699878,"KNG1_HUMAN",26,57.4574437792273,2.02843974998556e-11,1.03162280079624e-08,1.0832960625,"Up in D2B",7.98647906770649,"KNG1","KNG1_HUMAN",-1.0832960625
-0.541032789999997,11.3578934675,-31.432700274746,5.49121134814038e-09,6.84359184323253e-07,11.6199818954853,"FAT1_HUMAN",154,57.405722269904,2.04252513059319e-11,1.03162280079624e-08,0.541032789999997,"Up in D2B",7.98647906770649,"FAT1","FAT1_HUMAN",-0.541032789999997
-1.7617530835,10.51334810325,-54.691934129537,1.0252554704937e-10,5.99594358360563e-08,15.5308900262735,"MFGM_HUMAN",22,57.1914013133305,2.10208079643752e-11,1.03162280079624e-08,1.7617530835,"Up in D2B",7.98647906770649,"MFGE8","MFGM_HUMAN",-1.7617530835
-1.7566528275,11.95097088875,-51.1772096494734,1.65385983287137e-10,7.33704449014358e-08,15.0948194899046,"PCSK6_HUMAN",46,56.6009612918211,2.2765589684079e-11,1.03162280079624e-08,1.7566528275,"Up in D2B",7.98647906770649,"PCSK6","PCSK6_HUMAN",-1.7566528275
-2.59076178075,8.355827271875,-54.1895523630995,1.09568898654498e-10,5.99594358360563e-08,15.4709908982936,"ANGL2_HUMAN",23,56.4447913466985,2.32540434394692e-11,1.03162280079624e-08,2.59076178075,"Up in D2B",7.98647906770649,"ANGPTL2","ANGL2_HUMAN",-2.59076178075
3.313344837,8.9115453365,53.9041033848392,1.13815514696512e-10,5.99594358360563e-08,15.4366072486836,"CP1A1_HUMAN",18,-55.3583430795641,2.69990972826664e-11,1.13787695497797e-08,-3.313344837,"Up in D1C",7.94390469810198,"CYP1A1","CP1A1_HUMAN",3.313344837
1.047820805,12.592586875,47.3494715988782,2.89374439315551e-10,1.18539560876354e-07,14.5707224590107,"4F2_HUMAN",25,-52.1422143704854,4.27584692594106e-11,1.71624351136939e-08,-1.047820805,"Up in D1C",7.76542109169651,"SLC3A2","4F2_HUMAN",1.047820805
-0.920203927500001,15.88019812125,-43.6182389644476,5.22243443433705e-10,1.6930730710395e-07,14.0028541482423,"CLUS_HUMAN",30,50.9146999936068,5.1343071309486e-11,1.9671397639439e-08,0.920203927500001,"Up in D2B",7.70616478265654,"CLU","CLUS_HUMAN",-0.920203927500001
-1.5131149325,12.42658042875,-47.2156083554852,2.95329312896361e-10,1.18539560876354e-07,14.551373954842,"FA10_HUMAN",25,50.2335357962699,5.69378777303599e-11,2.08664944082262e-08,1.5131149325,"Up in D2B",7.68055050671046,"F10","FA10_HUMAN",-1.5131149325
-1.5875532625,12.22610366375,-46.1891321599389,3.45925006400537e-10,1.26773994736962e-07,14.400562693315,"HEP2_HUMAN",25,48.947736473551,6.94814999342213e-11,2.4402481789398e-08,1.5875532625,"Up in D2B",7.61256600265184,"SERPIND1","HEP2_HUMAN",-1.5875532625
-0.760974885,16.472212315,-35.4679505177379,2.30864432964923e-09,4.05407563637779e-07,12.5167395890866,"CO3_HUMAN",118,48.4174295873575,7.55424681565314e-11,2.54698985636561e-08,0.760974885,"Up in D2B",7.59397278465288,"C3","CO3_HUMAN",-0.760974885
-4.8955316545,10.77075314525,-45.5128317137546,3.84647828361383e-10,1.35091522719087e-07,14.2987759437979,"PGBM_HUMAN",175,47.4338042954257,8.84344509297161e-11,2.86697687264068e-08,4.8955316545,"Up in D2B",7.5425758104107,"HSPG2","PGBM_HUMAN",-4.8955316545
-0.576483965,13.19054377,-30.2993405543365,7.14452691498103e-09,7.82093732030845e-07,11.3439704254334,"MPRI_HUMAN",109,46.0560478983798,1.10887051186475e-10,3.46172946092889e-08,0.576483965,"Up in D2B",7.46070687586465,"IGF2R","MPRI_HUMAN",-0.576483965
-1.273108243,9.7497106785,-40.650866294296,8.66677857482968e-10,2.44297141215758e-07,13.5048019093535,"BMP1_HUMAN",34,44.7316737250144,1.38715695931197e-10,4.17583786072878e-08,1.273108243,"Up in D2B",7.3792563724478,"BMP1","BMP1_HUMAN",-1.273108243
1.060554266,8.38088285925,46.2028983700313,3.45184228532574e-10,1.26773994736962e-07,14.402614309361,"BCD1_HUMAN",16,-43.8481339127411,1.61660771410779e-10,4.69875393869467e-08,-1.060554266,"Up in D1C",7.32801729723394,"ZNHIT6","BCD1_HUMAN",1.060554266
-0.782225132500001,12.93903446125,-35.7875534127604,2.1646496034826e-09,4.05407563637779e-07,12.5825912179744,"PCKGC_HUMAN",38,43.3780192817908,1.75598597857414e-10,4.93373527113382e-08,0.782225132500001,"Up in D2B",7.30682415711021,"PCK1","PCKGC_HUMAN",-0.782225132500001
1.6398658775,11.30821824125,45.1205718974858,4.0935837220359e-10,1.38019268772162e-07,14.2388309388927,"HLAE_HUMAN",13,-42.9721034474243,1.88731737256996e-10,5.10351957710265e-08,-1.6398658775,"Up in D1C",7.29213021493608,"HLA-E","HLAE_HUMAN",1.6398658775
-1.4095017915,10.37113082425,-38.5629941019398,1.26593470113456e-09,3.13840105760683e-07,13.1263137800067,"SORL_HUMAN",72,42.8253281146972,1.93750891526023e-10,5.10351957710265e-08,1.4095017915,"Up in D2B",7.29213021493608,"SORL1","SORL_HUMAN",-1.4095017915
-1.0012888925,15.94690871375,-42.315741162398,6.49447527822818e-10,1.98306813815641e-07,13.7896800743991,"NDRG1_HUMAN",18,42.0687700439631,2.22137037681841e-10,5.67391845642496e-08,1.0012888925,"Up in D2B",7.24611691002398,"NDRG1","NDRG1_HUMAN",-1.0012888925
-1.6936507225,12.66401767875,-38.1150655577703,1.37677820643886e-09,3.22357319502033e-07,13.0418275925164,"A0AAG2UXZ5_HUMAN",37,40.7107425080146,2.85700797148006e-10,6.89197943659248e-08,1.6936507225,"Up in D2B",7.16165602701445,"COL18A1","A0AAG2UXZ5_HUMAN",-1.6936507225
-0.939620254999999,11.2201315175,-35.52815225798,2.28070739864269e-09,4.05407563637779e-07,12.529197523175,"G6PD_HUMAN",38,40.7018865090313,2.86177815020449e-10,6.89197943659248e-08,0.939620254999999,"Up in D2B",7.16165602701445,"G6PD","G6PD_HUMAN",-0.939620254999999
-8.04170417825,10.583585500875,-40.2982372645087,9.2268351041998e-10,2.44297141215758e-07,13.4425873636613,"DKK1_HUMAN",5,40.4840007912308,2.98202071859964e-10,6.98207017696565e-08,8.04170417825,"Up in D2B",7.15601579039497,"DKK1","DKK1_HUMAN",-8.04170417825
0.999873642499999,10.71599054375,40.4121797213561,9.04148328182339e-10,2.44297141215758e-07,13.4627641119177,"OGFD1_HUMAN",18,-40.3035118522844,3.08595664053161e-10,7.03014284406512e-08,-0.999873642499999,"Up in D1C",7.15303585054789,"OGFOD1","OGFD1_HUMAN",0.999873642499999
