"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D3B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D3B_vs_D1BM"
-1.8191044325,16.25520646625,-101.486648320648,1.54319013500421e-12,6.50377482397524e-09,19.2305916824413,"TRFE_HUMAN",55,128.486069981399,5.83973205794904e-14,3.33045383638062e-10,1.8191044325,"Up in D3B",9.47749658174713,"TF","TRFE_HUMAN",-1.8191044325
2.91068554,13.0583815575,115.061046605569,6.30459022666868e-13,5.31413910205903e-09,19.8468814891845,"PLIN2_HUMAN",27,-123.470677523393,7.90236999971675e-14,3.33045383638062e-10,-2.91068554,"Up in D1BM",9.47749658174713,"PLIN2","PLIN2_HUMAN",2.91068554
-0.9744625075,12.68386244875,-64.7974645180799,3.77761119160487e-11,1.81696892074935e-08,16.5793831022025,"EPIPL_HUMAN",173,103.091451965262,3.11050058764719e-13,6.94887527457307e-10,0.9744625075,"Up in D3B",9.15808548340629,"EPPK1","EPIPL_HUMAN",-0.9744625075
1.1400966625,12.06860089125,72.5851571737706,1.68278691987395e-11,1.55740576727588e-08,17.3083094692814,"AKA12_HUMAN",65,-102.301637430221,3.29760364198508e-13,6.94887527457307e-10,-1.1400966625,"Up in D1BM",9.15808548340629,"AKAP12","AKA12_HUMAN",1.1400966625
-0.934388642500007,17.86282992375,-69.7853832804669,2.22720123007595e-11,1.55740576727588e-08,17.0595811544092,"BHMT1_HUMAN",37,98.2993402483136,4.46511223420883e-13,7.52728620442924e-10,0.934388642500007,"Up in D3B",9.12336157079431,"BHMT","BHMT1_HUMAN",-0.934388642500007
-0.988142727499998,12.31901490625,-67.9375283260626,2.6964978528768e-11,1.55740576727588e-08,16.8874670762268,"KANK2_HUMAN",45,95.3517273170004,5.62661144470857e-13,7.90445131124142e-10,0.988142727499998,"Up in D3B",9.10212827130679,"KANK2","KANK2_HUMAN",-0.988142727499998
-2.6351332625,13.03728413625,-87.3361113259857,4.50161999715078e-12,1.26480516519946e-08,18.4160132816783,"FADS2_HUMAN",18,88.5139047409131,9.90053090051951e-13,1.1708934853804e-09,2.6351332625,"Up in D3B",8.93148261032091,"FADS2","FADS2_HUMAN",-2.6351332625
0.859201669999999,13.7933083775,60.0963741520074,6.45963560536820e-11,2.26867785490202e-08,16.0777127090898,"HS105_HUMAN",48,-87.1774147659169,1.11130002171588e-12,1.1708934853804e-09,-0.859201669999999,"Up in D1BM",8.93148261032091,"HSPH1","HS105_HUMAN",0.859201669999999
-0.751235962500012,16.63705205875,-51.0765226348163,2.05616725432797e-10,4.68417129371093e-08,14.9527228315347,"FAS_HUMAN",166,83.8341266064696,1.4954884139811e-12,1.40060798238297e-09,0.751235962500012,"Up in D3B",8.85368340283809,"FASN","FAS_HUMAN",-0.751235962500012
-1.115933895,11.23612833,-64.5544103613749,3.88010921503005e-11,1.81696892074935e-08,16.5546742606038,"UBA7_HUMAN",41,79.8887279260024,2.15640334693889e-12,1.81763238113479e-09,1.115933895,"Up in D3B",8.74049394894064,"UBA7","UBA7_HUMAN",-1.115933895
-1.51431489,12.1553090825,-72.2103176520808,1.74603258972754e-11,1.55740576727588e-08,17.2758182531239,"KNG1_HUMAN",26,78.4021288678131,2.48691433841397e-12,1.90565463259012e-09,1.51431489,"Up in D3B",8.7199558050362,"KNG1","KNG1_HUMAN",-1.51431489
-2.48769212,11.8009749625,-73.2257881287354,1.58064485953274e-11,1.55740576727588e-08,17.3632784408676,"ATTY_HUMAN",25,76.7941167736713,2.91060219441905e-12,1.9890808220548e-09,2.48769212,"Up in D3B",8.70134756988748,"TAT","ATTY_HUMAN",-2.48769212
-1.235177755,12.2125359775,-78.8039542263676,9.36709990874705e-12,1.55740576727588e-08,17.8136698563334,"BODG_HUMAN",18,76.2640043766508,3.0677483315592e-12,1.9890808220548e-09,1.235177755,"Up in D3B",8.70134756988748,"BBOX1","BODG_HUMAN",-1.235177755
-1.105948925,10.8008017525,-61.8855269175319,5.24158048735782e-11,2.1038705679971e-08,16.2747077136587,"VLDLR_HUMAN",35,73.490043736529,4.06409348036244e-12,2.44687456756964e-09,1.105948925,"Up in D3B",8.61138829301379,"VLDLR","VLDLR_HUMAN",-1.105948925
-1.032551525,11.9231706825,-67.6763829264447,2.77151340718213e-11,1.55740576727588e-08,16.8626094819678,"PDCD4_HUMAN",21,70.6069666174741,5.50662883905252e-12,2.99872399004893e-09,1.032551525,"Up in D3B",8.52306350593606,"PDCD4","PDCD4_HUMAN",-1.032551525
-1.4116709215,9.91674077425,-74.7456576558606,1.36538067579532e-11,1.55740576727588e-08,17.4909210888736,"KAIN_HUMAN",16,70.2992881952443,5.69220356397947e-12,2.99872399004893e-09,1.4116709215,"Up in D3B",8.52306350593606,"SERPINA4","KAIN_HUMAN",-1.4116709215
1.663774015,13.104356765,67.9890124731271,2.681983384462e-11,1.55740576727588e-08,16.892351820342,"HMOX1_HUMAN",18,-68.2740314852104,7.10605615899398e-12,3.19847921954057e-09,-1.663774015,"Up in D1BM",8.49505646654035,"HMOX1","HMOX1_HUMAN",1.663774015
-1.4068934925,15.45161831375,-69.8076872742705,2.22213577968961e-11,1.55740576727588e-08,17.0616189815538,"LEG4_HUMAN",17,67.8705851631767,7.43296338664289e-12,3.19847921954057e-09,1.4068934925,"Up in D3B",8.49505646654035,"LGALS4","LEG4_HUMAN",-1.4068934925
-2.614071609,10.809688688,-65.1648871734667,3.62847036200723e-11,1.81696892074935e-08,16.6164937119903,"PEG10_HUMAN",23,67.7307756000663,7.55019328419928e-12,3.19847921954057e-09,2.614071609,"Up in D3B",8.49505646654035,"PEG10","PEG10_HUMAN",-2.614071609
-1.5380423075,12.39579784875,-60.3953826339976,6.23528739114968e-11,2.26867785490202e-08,16.1111779708354,"PCSK6_HUMAN",46,67.6847692497978,7.58922581454638e-12,3.19847921954057e-09,1.5380423075,"Up in D3B",8.49505646654035,"PCSK6","PCSK6_HUMAN",-1.5380423075
-2.2562797075,12.18161618625,-74.0304024377928,1.46221990500686e-11,1.55740576727588e-08,17.4313311141423,"TSK_HUMAN",11,66.5791284313281,8.59957749223286e-12,3.45170660390623e-09,2.2562797075,"Up in D3B",8.46196612654888,"TSKU","TSK_HUMAN",-2.2562797075
-0.875475404999996,10.733983755,-49.059281456284,2.7390457935089e-10,5.24714022579239e-08,14.6662641850896,"MYO7A_HUMAN",98,64.9570495177469,1.03695273119843e-11,3.97294298694162e-09,0.875475404999996,"Up in D3B",8.40088766717074,"MYO7A","MYO7A_HUMAN",-0.875475404999996
-1.4101748475,11.58529901375,-57.0238223679792,9.3868227059128e-11,2.94625556628908e-08,15.7205369678288,"NEP_HUMAN",38,63.4403480531817,1.24054326610382e-11,4.54632138695177e-09,1.4101748475,"Up in D3B",8.34233986653314,"MME","NEP_HUMAN",-1.4101748475
1.24376917,17.1628777975,69.6078526297268,2.26799285013234e-11,1.55740576727588e-08,17.0433277088457,"A1AG1_HUMAN",15,-62.7920182541822,1.34109192592312e-11,4.71002660150248e-09,-1.24376917,"Up in D1BM",8.32697664003605,"ORM1","A1AG1_HUMAN",1.24376917
-0.990614414999996,15.8580839625,-63.1788027797237,4.52356707707232e-11,1.90645734463213e-08,16.4123847958939,"NDRG1_HUMAN",18,61.145051461267,1.64070701606228e-11,5.5318077753556e-09,0.990614414999996,"Up in D3B",8.25713291958818,"NDRG1","NDRG1_HUMAN",-0.990614414999996
-0.984877585000001,15.97683525,-60.9899072371664,5.81508978316928e-11,2.22797235374245e-08,16.1770643260235,"MTND_HUMAN",19,60.8028056550657,1.71207844514023e-11,5.55042662080269e-09,0.984877585000001,"Up in D3B",8.25567363454583,"ADI1","MTND_HUMAN",-0.984877585000001
-0.708364727500003,12.21306288125,-42.9221916338997,7.08660094505027e-10,9.51102974198992e-08,13.6979067711299,"CGNL1_HUMAN",88,59.7864280823196,1.9456259637133e-11,5.91070476397569e-09,0.708364727500003,"Up in D3B",8.22836073284844,"CGNL1","CGNL1_HUMAN",-0.708364727500003
-1.044261455,14.5657079225,-51.9883267320706,1.81285579825515e-10,4.36587472099791e-08,15.0776141217791,"ACSA_HUMAN",34,59.5020475971162,2.01728189203084e-11,5.91070476397569e-09,1.044261455,"Up in D3B",8.22836073284844,"ACSS2","ACSA_HUMAN",-1.044261455
-1.484585045,12.4553476575,-56.9806991712556,9.43752524496443e-11,2.94625556628908e-08,15.7153451191071,"HRG_HUMAN",22,59.4389607474365,2.03357976219356e-11,5.91070476397569e-09,1.484585045,"Up in D3B",8.22836073284844,"HRG","HRG_HUMAN",-1.484585045
-0.800057884999998,17.572838545,-45.6546518324433,4.56905336239209e-10,7.26651901728357e-08,14.1483864660214,"GATM_HUMAN",48,57.5094455626928,2.61196950612971e-11,7.33876365572245e-09,0.800057884999998,"Up in D3B",8.13437709849309,"GATM","GATM_HUMAN",-0.800057884999998
-0.54322696,12.4435585725,-38.5547496026264,1.51937739355683e-09,1.3480875842411e-07,12.9029877638758,"DSG2_HUMAN",47,56.4118033208109,3.02301859328522e-11,7.53654216203064e-09,0.54322696,"Up in D3B",8.12282786691517,"DSG2","DSG2_HUMAN",-0.54322696
-1.2267138975,12.65524327625,-52.75262503597,1.63398072337677e-10,4.36587472099791e-08,15.1801977649076,"HEP2_HUMAN",25,56.3717165538117,3.03935973352201e-11,7.53654216203064e-09,1.2267138975,"Up in D3B",8.12282786691517,"SERPIND1","HEP2_HUMAN",-1.2267138975
-0.7712459575,13.42334914125,-44.4883568653168,5.49236946009403e-10,8.19447871039413e-08,13.9601462811963,"VILI_HUMAN",48,56.342231936583,3.05144275673446e-11,7.53654216203064e-09,0.7712459575,"Up in D3B",8.12282786691517,"VIL1","VILI_HUMAN",-0.7712459575
-0.643458362500002,12.38649725875,-41.748609698389,8.63046760196024e-10,1.02459452699891e-07,13.4938844180059,"KLC4_HUMAN",45,56.0482902869996,3.17492041754812e-11,7.53654216203064e-09,0.643458362500002,"Up in D3B",8.12282786691517,"KLC4","KLC4_HUMAN",-0.643458362500002
1.1974594575,12.47274243875,52.2139599306991,1.75782595833092e-10,4.36587472099791e-08,15.108095308052,"4F2_HUMAN",25,-55.8526880116182,3.26021928816269e-11,7.53654216203064e-09,-1.1974594575,"Up in D1BM",8.12282786691517,"SLC3A2","4F2_HUMAN",1.1974594575
0.9411213375,13.41374719125,48.7738879149604,2.85515147174855e-10,5.34801594563745e-08,14.6245612888884,"ESF1_HUMAN",32,-55.7862487732497,3.28977988201257e-11,7.53654216203064e-09,-0.9411213375,"Up in D1BM",8.12282786691517,"ESF1","ESF1_HUMAN",0.9411213375
-0.803370475000005,16.9695630075,-47.9871399863861,3.20539095782558e-10,5.6288000798983e-08,14.5080291303921,"VTNC_HUMAN",29,55.5653904571336,3.39024704359926e-11,7.53654216203064e-09,0.803370475000005,"Up in D3B",8.12282786691517,"VTN","VTNC_HUMAN",-0.803370475000005
1.555879115,15.7282555125,52.8894542781961,1.60412664462871e-10,4.36587472099791e-08,15.1983648209792,"AACT_HUMAN",24,-55.5493926633689,3.39765811077428e-11,7.53654216203064e-09,-1.555879115,"Up in D1BM",8.12282786691517,"SERPINA3","AACT_HUMAN",1.555879115
