"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8BM_vs_D1C"
-3.454408645,12.49301982,-132.216755714677,2.00931278532517e-13,8.46824873375292e-10,20.6683287370138,"TSP1_HUMAN",52,174.789733933917,5.63495682801495e-15,4.74970511033380e-11,3.454408645,"Up in D8BM",10.3233333530973,"THBS1","TSP1_HUMAN",-3.454408645
-3.7981593625,12.29744327125,-136.755224877933,1.57712272956287e-13,8.46824873375292e-10,20.8088353717089,"APOA5_HUMAN",27,156.149976408928,1.32739434548957e-14,5.5943034690658e-11,3.7981593625,"Up in D8BM",10.2522539785498,"APOA5","APOA5_HUMAN",-3.7981593625
-2.10529852,13.4215543275,-75.0937353216882,1.16278576638209e-11,9.40044411470334e-09,17.6622264257912,"EPIPL_HUMAN",173,100.72564723899,3.71028917188766e-13,1.0424675809947e-09,2.10529852,"Up in D8BM",8.98193744197917,"EPPK1","EPIPL_HUMAN",-2.10529852
-2.52079749250001,16.68049490375,-79.3728362340183,7.81465856351671e-12,9.40044411470334e-09,18.0056964319771,"CLUS_HUMAN",30,89.8458802712686,8.83897635548437e-13,1.2948266118108e-09,2.52079749250001,"Up in D8BM",8.88778838337835,"CLU","CLUS_HUMAN",-2.52079749250001
-2.9753859075,13.10940062875,-84.6256348394711,4.93537927139088e-12,8.32006237571074e-09,18.391108186064,"HRG_HUMAN",22,89.5370790401325,9.07311114761568e-13,1.2948266118108e-09,2.9753859075,"Up in D8BM",8.88778838337835,"HRG","HRG_HUMAN",-2.9753859075
-5.16894316725,11.432190776375,-105.89746875304,9.87981608700833e-13,2.77589899324644e-09,19.6298569611292,"ANGL8_HUMAN",9,89.3518187038272,9.21694112096901e-13,1.2948266118108e-09,5.16894316725,"Up in D8BM",8.88778838337835,"ANGPTL8","ANGL8_HUMAN",-5.16894316725
-1.89937472325,10.510964750875,-71.531065820488,1.6475999126876e-11,9.40044411470334e-09,17.3536759771929,"ITA2_HUMAN",31,85.5761630057962,1.27927664329938e-12,1.4348751641632e-09,1.89937472325,"Up in D8BM",8.84318588142017,"ITGA2","ITA2_HUMAN",-1.89937472325
-2.47159051925,10.851169347875,-76.6172109757775,1.00682339312772e-11,9.40044411470334e-09,17.7877562087296,"CO6A1_HUMAN",24,83.0798687994168,1.60171131743552e-12,1.4348751641632e-09,2.47159051925,"Up in D8BM",8.84318588142017,"COL6A1","CO6A1_HUMAN",-2.47159051925
-3.162798166,11.2138706445,-76.8511768460369,9.85049099111554e-12,9.40044411470334e-09,17.8067095622617,"MFGM_HUMAN",22,80.6885994589198,1.99931850341848e-12,1.4348751641632e-09,3.162798166,"Up in D8BM",8.84318588142017,"MFGE8","MFGM_HUMAN",-3.162798166
-2.061712265,11.403372285,-65.0865899024645,3.24183722451241e-11,1.43818136660079e-08,16.7362314099066,"AGRIN_HUMAN",69,79.6494418234045,2.20607596051361e-12,1.4348751641632e-09,2.061712265,"Up in D8BM",8.84318588142017,"AGRN","AGRIN_HUMAN",-2.061712265
-3.10997033,17.39932382,-72.1243618901847,1.55285920210351e-11,9.40044411470334e-09,17.4065763016276,"FIBG_HUMAN",40,79.3796042345506,2.26365037783602e-12,1.4348751641632e-09,3.10997033,"Up in D8BM",8.84318588142017,"FGG","FIBG_HUMAN",-3.10997033
-2.792520045,11.7546651375,-73.7045461060877,1.32937210960292e-11,9.40044411470334e-09,17.5444770596187,"MUC18_HUMAN",25,79.1883297524042,2.30549194399614e-12,1.4348751641632e-09,2.792520045,"Up in D8BM",8.84318588142017,"MCAM","MUC18_HUMAN",-2.792520045
-1.65922904,15.6063944075,-63.6161368477828,3.81876546756917e-11,1.60941870630703e-08,16.5834317139963,"DPYL2_HUMAN",35,78.7593404598212,2.40255485974887e-12,1.4348751641632e-09,1.65922904,"Up in D8BM",8.84318588142017,"DPYSL2","DPYL2_HUMAN",-1.65922904
-4.0618441125,16.47150885875,-72.2594550155482,1.53216391061866e-11,9.40044411470334e-09,17.4185347767357,"FINC_HUMAN",161,78.4719988398575,2.47015349797072e-12,1.4348751641632e-09,4.0618441125,"Up in D8BM",8.84318588142017,"FN1","FINC_HUMAN",-4.0618441125
-3.501930715,16.483665705,-71.3793340841549,1.67287533183711e-11,9.40044411470334e-09,17.3400464277927,"FIBA_HUMAN",58,78.1298814715,2.55346155682144e-12,1.4348751641632e-09,3.501930715,"Up in D8BM",8.84318588142017,"FGA","FIBA_HUMAN",-3.501930715
-3.5342805375,12.59454691375,-85.7760459000401,4.47983393958159e-12,8.32006237571074e-09,18.4706411770046,"TSK_HUMAN",11,75.060785772655,3.46135997375275e-12,1.79942741380189e-09,3.5342805375,"Up in D8BM",8.74486566744458,"TSKU","TSK_HUMAN",-3.5342805375
-2.6671802975,12.40623462375,-66.5125901542667,2.77538863995595e-11,1.4278718027002e-08,16.8799783965622,"PCSK6_HUMAN",46,74.5941032199679,3.62916906330906e-12,1.79942741380189e-09,2.6671802975,"Up in D8BM",8.74486566744458,"PCSK6","PCSK6_HUMAN",-2.6671802975
-1.4774909,11.8261225225,-53.2191310012119,1.37152442784126e-10,3.47987709902152e-08,15.3507272752997,"FAT1_HUMAN",154,71.8364086226776,4.83041600674608e-12,2.26197647338126e-09,1.4774909,"Up in D8BM",8.64551191644586,"FAT1","FAT1_HUMAN",-1.4774909
-3.4661014075,16.28365957625,-65.6452512494996,3.04919829737853e-11,1.4278718027002e-08,16.7930566826049,"FIBB_HUMAN",43,70.7272182223731,5.43596778693201e-12,2.41156697242368e-09,3.4661014075,"Up in D8BM",8.61770067263898,"FGB","FIBB_HUMAN",-3.4661014075
1.92978406,12.96533954,66.080144768991,2.90823986561132e-11,1.4278718027002e-08,16.83683616868,"HMOX1_HUMAN",18,-66.2609382253409,8.91794398752255e-12,3.53788588402208e-09,-1.92978406,"Up in D1C",8.45125617954919,"HMOX1","HMOX1_HUMAN",1.92978406
-1.165071485,12.7520852075,-48.106876871183,2.82666185845934e-10,5.30708765993882e-08,14.6262865971358,"DSG2_HUMAN",47,66.0635449519591,9.12214188407713e-12,3.53788588402208e-09,1.165071485,"Up in D8BM",8.45125617954919,"DSG2","DSG2_HUMAN",-1.165071485
1.94143056725,10.640775441375,59.5676861433749,6.11747762301705e-11,2.23871349495735e-08,16.1370197553581,"ASNS_HUMAN",27,-65.9575106725599,9.23401227292511e-12,3.53788588402208e-09,-1.94143056725,"Up in D1C",8.45125617954919,"ASNS","ASNS_HUMAN",1.94143056725
