"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.3915567415,11.03271412925,132.139499774442,1.859059028764e-13,1.56700085534518e-09,20.919698227307,"PRS23_HUMAN",17,129.499807097235,3.91256663984572e-14,2.13363448980112e-10,3.3915567415,"Up in D8C",9.67087997697264,"PRSS23","PRS23_HUMAN"
2.23608899,13.4633713975,98.2524230457779,1.56919728550834e-12,2.64535278390996e-09,19.4116721136099,"PFKAP_HUMAN",36,120.525562425384,6.80014374302056e-14,2.13363448980112e-10,2.23608899,"Up in D8C",9.67087997697264,"PFKP","PFKAP_HUMAN"
-3.41070103425,11.328125117875,-106.220252683155,8.9522303703027e-13,2.45650896764112e-09,19.8407673321198,"PIGR_HUMAN",36,-118.808978938105,7.59390612101479e-14,2.13363448980112e-10,-3.41070103425,"Up in D1CM",9.67087997697264,"PIGR","PIGR_HUMAN"
2.4506940825,14.39911532375,103.998808575309,1.04232169224415e-12,2.45650896764112e-09,19.7266343260879,"FBX2_HUMAN",16,97.9898649592633,3.34445488237889e-13,6.59743728910201e-10,2.4506940825,"Up in D8C",9.18062472920589,"FBXO2","FBX2_HUMAN"
2.6474304175,15.68501663375,82.1129234891207,5.70834848987663e-12,8.01927823686169e-09,18.345493405188,"FLNA_HUMAN",152,95.9019028144397,3.94727830510143e-13,6.59743728910201e-10,2.6474304175,"Up in D8C",9.18062472920589,"FLNA","FLNA_HUMAN"
1.390932795,11.727635505,64.5085769563945,3.23845476022033e-11,1.29985405589986e-08,16.7642834220655,"FAT1_HUMAN",154,92.7980151255884,5.08433504190158e-13,6.59743728910201e-10,1.390932795,"Up in D8C",9.18062472920589,"FAT1","FAT1_HUMAN"
-2.27044058,16.491696595,-102.394423225335,1.16574159100302e-12,2.45650896764112e-09,19.641635795605,"A1AG1_HUMAN",15,-91.9007989029038,5.47894898845819e-13,6.59743728910201e-10,-2.27044058,"Up in D1CM",9.18062472920589,"ORM1","A1AG1_HUMAN"
-2.8497853275,13.14198112375,-77.1355456767438,8.95164165528143e-12,8.36712046839509e-09,17.9505550293005,"PLIN2_HUMAN",27,-82.798144088537,1.22230699368201e-12,1.1131197395024e-09,-2.8497853275,"Up in D1CM",8.95345811562208,"PLIN2","PLIN2_HUMAN"
3.90849066,12.2114946825,78.0926768040468,8.19163216265945e-12,8.36712046839509e-09,18.0293266270812,"MUC18_HUMAN",25,82.0574170726575,1.30978807899153e-12,1.1131197395024e-09,3.90849066,"Up in D8C",8.95345811562208,"MCAM","MUC18_HUMAN"
1.0908005275,13.59168136125,53.885228406919,1.18067943040983e-10,2.20661002261831e-08,15.4987639387968,"MYLK_HUMAN",99,81.9699002439858,1.32058339008471e-12,1.1131197395024e-09,1.0908005275,"Up in D8C",8.95345811562208,"MYLK","MYLK_HUMAN"
3.141671897,11.084378839,75.0343702524562,1.09192460733593e-11,8.36712046839509e-09,17.7726219574343,"MFGM_HUMAN",22,78.5355558390241,1.83544201540951e-12,1.40644915889879e-09,3.141671897,"Up in D8C",8.8518759623319,"MFGE8","MFGM_HUMAN"
-2.14334487925,10.572862625375,-69.5075613145957,1.89328020237715e-11,1.22757375583362e-08,17.2691891661569,"ASNS_HUMAN",27,-75.9058267105802,2.38507017494437e-12,1.56687898465177e-09,-2.14334487925,"Up in D1CM",8.80496454426367,"ASNS","ASNS_HUMAN"
1.3383731875,17.87820577625,58.7214200720103,6.36562320358902e-11,1.62836891165366e-08,16.1110637350935,"GATM_HUMAN",48,75.3932727904103,2.51264565351579e-12,1.56687898465177e-09,1.3383731875,"Up in D8C",8.80496454426367,"GATM","GATM_HUMAN"
1.394855975,11.509347915,60.2616370885546,5.2844903858935e-11,1.50319491173531e-08,16.2928024646439,"UBA7_HUMAN",41,75.0496817069944,2.60248022127474e-12,1.56687898465177e-09,1.394855975,"Up in D8C",8.80496454426367,"UBA7","UBA7_HUMAN"
2.1915793425,14.49560213125,65.5335492536882,2.89137589504336e-11,1.29985405589986e-08,16.8719930261163,"VILI_HUMAN",48,74.0755611754434,2.87754616994087e-12,1.61698911109544e-09,2.1915793425,"Up in D8C",8.79129290464962,"VIL1","VILI_HUMAN"
