"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5BM_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-3.37095976,12.7128186225,-136.770503712837,1.57762837977123e-13,1.32978296130917e-09,19.2190792963316,"TSP1_HUMAN",52,-171.867445833468,6.40512266538621e-15,5.39887789465404e-11,-3.37095976,"Up in D5BM",10.2676964947695,"THBS1","TSP1_HUMAN"
-3.10283160375,10.972569585625,-102.895370952785,1.21563280735343e-12,5.12328446659102e-09,18.3548898713302,"PGBM_HUMAN",175,-122.486716604209,8.39758188932601e-14,3.53916088725645e-10,-3.10283160375,"Up in D5BM",9.45109969425441,"HSPG2","PGBM_HUMAN"
-1.31828594125,10.650079489375,-65.8620927960362,2.98061151378713e-11,6.28089361242793e-08,16.3530754254099,"PTPRF_HUMAN",72,-100.587608244067,3.74913575076803e-13,1.05338217477412e-09,-1.31828594125,"Up in D5BM",8.97741403500335,"PTPRF","PTPRF_HUMAN"
-1.2181639625,13.20511484125,-58.640703428103,6.85093483882207e-11,1.07063823644622e-07,15.7068194602219,"CO5_HUMAN",77,-86.4731114897424,1.18190128372887e-12,2.49056148013767e-09,-1.2181639625,"Up in D5BM",8.60370273313056,"C5","CO5_HUMAN"
1.1846284875,14.99907755875,51.6184341589036,1.7082177477036e-10,1.49486011055563e-07,14.9451507937085,"VILI_HUMAN",48,66.8080773593383,8.3784528915377e-12,1.41243958845543e-08,1.1846284875,"Up in D8C",7.85003011834854,"VIL1","VILI_HUMAN"
1.71645593725,9.965832233875,55.5010851911484,1.01614733557596e-10,1.07063823644622e-07,15.3845573962915,"FIL1L_HUMAN",33,62.2109585856367,1.43909856683099e-11,1.81865508775434e-08,1.71645593725,"Up in D8C",7.74024965810445,"FILIP1L","FIL1L_HUMAN"
1.3195495625,13.92164111125,51.3489079708394,1.77347266645585e-10,1.49486011055563e-07,14.9128139787726,"PFKAP_HUMAN",36,60.8733679718367,1.69708065044883e-11,1.81865508775434e-08,1.3195495625,"Up in D8C",7.74024965810445,"PFKP","PFKAP_HUMAN"
-3.50715971,15.9952838425,-57.5505249148501,7.83684033297171e-11,1.07063823644622e-07,15.5980343088173,"FIBB_HUMAN",43,-60.7374969746425,1.7260933327838e-11,1.81865508775434e-08,-3.50715971,"Up in D5BM",7.74024965810445,"FGB","FIBB_HUMAN"
1.5016558175,16.25790393375,49.5039288077605,2.30468472838451e-10,1.61884896462942e-07,14.6845636090866,"FLNA_HUMAN",152,58.8710414708006,2.18719649059977e-11,2.04843102436283e-08,1.5016558175,"Up in D8C",7.6885786552124,"FLNA","FLNA_HUMAN"
-3.19454193,14.8934807775,-55.642554328113,9.97784921236823e-11,1.07063823644622e-07,15.3996832600726,"FGL1_HUMAN",19,-57.31752931976,2.67903525633002e-11,2.25815881756057e-08,-3.19454193,"Up in D5BM",7.64624551716541,"FGL1","FGL1_HUMAN"
-1.0493059175,12.02127981125,-42.2386652295182,7.17611169499094e-10,3.080141744081e-07,13.6527021492894,"AGRIN_HUMAN",69,-53.9693122320996,4.22873391481591e-11,3.24036346981666e-08,-1.0493059175,"Up in D5BM",7.48940627248405,"AGRN","AGRIN_HUMAN"
-3.5980916,16.2607772375,-50.0405172392304,2.13348039865728e-10,1.61884896462942e-07,14.7522138896227,"FIBA_HUMAN",58,-52.5556091514128,5.17144535133537e-11,3.63250940553382e-08,-3.5980916,"Up in D5BM",7.43979325252446,"FGA","FIBA_HUMAN"
-3.38036847,17.01947391,-47.8544356229179,2.93746436782357e-10,1.76856336831321e-07,14.4697925908289,"FIBG_HUMAN",40,-50.1315449946658,7.39725949518044e-11,4.79626925268277e-08,-3.38036847,"Up in D5BM",7.31909644449061,"FGG","FIBG_HUMAN"
1.0224957475,10.71865463125,42.3032129900521,7.09815996704325e-10,3.080141744081e-07,13.6629283752125,"EPHA2_HUMAN",28,48.9095759314014,8.91858609021404e-11,5.13869317391719e-08,1.0224957475,"Up in D8C",7.28914731281741,"EPHA2","EPHA2_HUMAN"
1.6584522725,12.17859852375,48.3572852005021,2.72568244004347e-10,1.76729056054819e-07,14.5363794613001,"FSTL1_HUMAN",17,48.7482806272668,9.14466693661857e-11,5.13869317391719e-08,1.6584522725,"Up in D8C",7.28914731281741,"FSTL1","FSTL1_HUMAN"
1.0972266175,12.15703034375,47.3020353700044,3.19202286057192e-10,1.79370404611738e-07,14.3954845647339,"SFXN3_HUMAN",17,46.5879435067614,1.28923620255731e-10,6.79185746959721e-08,1.0972266175,"Up in D8C",7.16801143654752,"SFXN3","SFXN3_HUMAN"
1.0100235925,14.48765015625,37.7993078958492,1.58739820252814e-09,4.47742243920036e-07,12.8952861797728,"VIME_HUMAN",47,45.4871677981905,1.54526541890342e-10,7.24661676336119e-08,1.0100235925,"Up in D8C",7.13986470569682,"VIM","VIME_HUMAN"
-2.3095767475,11.45474398125,-67.7820300195549,2.42580532864182e-11,6.28089361242793e-08,16.5055082343182,"F13A_HUMAN",7,-45.2670808377304,1.60309420792583e-10,7.24661676336119e-08,-2.3095767475,"Up in D5BM",7.13986470569682,"F13A1","F13A_HUMAN"
1.2104768725,12.66016936375,41.7030922398926,7.86188335453897e-10,3.080141744081e-07,13.567034121504,"PEG10_HUMAN",23,44.9386083888858,1.69401282379589e-10,7.24661676336119e-08,1.2104768725,"Up in D8C",7.13986470569682,"PEG10","PEG10_HUMAN"
1.6228079805,10.01950836225,41.8388624692786,7.68122910264723e-10,3.080141744081e-07,13.5888904513672,"DREB_HUMAN",25,44.4910372411834,1.8274372888464e-10,7.24661676336119e-08,1.6228079805,"Up in D8C",7.13986470569682,"DBN1","DREB_HUMAN"
2.05124354425,10.468531012875,43.6940483144671,5.63179557965037e-10,2.79237676122782e-07,13.8782765633192,"TAGL_HUMAN",17,44.4656493101965,1.83535468436678e-10,7.24661676336119e-08,2.05124354425,"Up in D8C",7.13986470569682,"TAGLN","TAGL_HUMAN"
2.052899123,9.7870742085,41.0546123889301,8.79431645188786e-10,3.22292579882447e-07,13.4613148682191,"FLNC_HUMAN",88,44.2894233220429,1.89139362669292e-10,7.24661676336119e-08,2.052899123,"Up in D8C",7.13986470569682,"FLNC","FLNC_HUMAN"
-4.17897939575,8.950183629625,-43.9070346188295,5.43923809858498e-10,2.79237676122782e-07,13.9104307362387,"MIME_HUMAN",10,-43.5871151893202,2.13478919269519e-10,7.82353830662078e-08,-4.17897939575,"Up in D5BM",7.10659678664622,"OGN","MIME_HUMAN"
-2.24422597825,10.651554345875,-39.4525596770628,1.1689681016385e-09,3.97014141381555e-07,13.1903780048767,"TRFL_HUMAN",45,-41.828560091686,2.91592894118865e-10,1.0240985435533e-07,-2.24422597825,"Up in D5BM",6.98965825150248,"LTF","TRFL_HUMAN"
1.47245145,11.5697182425,39.1840925342431,1.22744286328205e-09,3.97927534407862e-07,13.1435613475558,"ANXA3_HUMAN",21,41.0003641391642,3.39252875199997e-10,1.12698284943643e-07,1.47245145,"Up in D8C",6.94808269305043,"ANXA3","ANXA3_HUMAN"
-1.251890185,14.6541247375,-41.5731818285497,8.0392832328606e-10,3.080141744081e-07,13.5460317735849,"GNMT_HUMAN",16,-40.8684806787011,3.47627880950851e-10,1.12698284943643e-07,-1.251890185,"Up in D5BM",6.94808269305043,"GNMT","GNMT_HUMAN"
-2.6007864455,11.04490291975,-38.0927667361816,1.50204562747464e-09,4.47742243920036e-07,12.9488707195416,"CO6A1_HUMAN",24,-39.5609616276464,4.44620229858286e-10,1.38803848795388e-07,-2.6007864455,"Up in D5BM",6.85759849146456,"COL6A1","CO6A1_HUMAN"
-0.635324955,14.1305801875,-29.0578341490692,1.03702895594953e-08,1.71394452347032e-06,11.0118131427648,"PLMN_HUMAN",53,-39.3153956825577,4.66070397859513e-10,1.40303835127066e-07,-0.635324955,"Up in D5BM",6.852930457612,"PLG","PLMN_HUMAN"
1.229308845,12.1138380775,37.7787623120876,1.59357780491174e-09,4.47742243920036e-07,12.8915146170126,"PRS23_HUMAN",17,37.9997373829242,6.0295599743667e-10,1.75252279392886e-07,1.229308845,"Up in D8C",6.75633632473754,"PRSS23","PRS23_HUMAN"
-3.57369995075,9.550850629625,-36.4098086271882,2.07445118396378e-09,5.64049968697765e-07,12.6341459230866,"DMBT1_HUMAN",10,-36.2194007398911,8.66732406578751e-10,2.4352291516841e-07,-3.57369995075,"Up in D5BM",6.61346016601836,"DMBT1","DMBT1_HUMAN"
-0.690723895000001,16.5412414075,-27.7550593250256,1.43768763288149e-08,2.13344297352292e-06,10.6732161121471,"CO3_HUMAN",118,-36.0608130592661,8.95970342081875e-10,2.43617226238972e-07,-0.690723895000001,"Up in D5BM",6.61329200587487,"C3","CO3_HUMAN"
-0.811393262500001,14.30840230125,-31.1259387271995,6.35271611677255e-09,1.29330463417126e-06,11.5143876089605,"AK1D1_HUMAN",30,-35.7675001679293,9.53034891458805e-10,2.51035346878321e-07,-0.811393262500001,"Up in D5BM",6.6002651236448,"AKR1D1","AK1D1_HUMAN"
-0.569017647499999,10.69009911875,-25.4159242716008,2.68946807113683e-08,3.2385037673732e-06,10.0168999411256,"SORL_HUMAN",72,-34.8377211605461,1.16297886719804e-09,2.81661550266646e-07,-0.569017647499999,"Up in D5BM",6.55027243468527,"SORL1","SORL_HUMAN"
0.608040569999998,13.55750239,26.4594804546385,2.02024847647454e-08,2.61979606280061e-06,10.3178373784247,"ITAV_HUMAN",56,34.827019737946,1.16568232312197e-09,2.81661550266646e-07,0.608040569999998,"Up in D8C",6.55027243468527,"ITGAV","ITAV_HUMAN"
-1.3411719825,13.86809432625,-33.5186912642092,3.74525600474025e-09,9.56629177695623e-07,12.0482708364859,"LG3BP_HUMAN",20,-34.803204489839,1.17172421446953e-09,2.81661550266646e-07,-1.3411719825,"Up in D5BM",6.55027243468527,"LGALS3BP","LG3BP_HUMAN"
