"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D8B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
4.06063056,12.42867887,150.021850128317,8.64865611671314e-14,7.2899522407775e-10,21.4012934253649,"APOA5_HUMAN",27,167.027637359414,7.95765779048573e-15,6.70750975160042e-11,4.06063056,"Up in D8B",10.1734386872638,"APOA5","APOA5_HUMAN"
3.5578253275,12.54472816125,112.316384969615,6.86754739227731e-13,1.92955189898352e-09,20.0560886950202,"TSP1_HUMAN",52,130.20158185101,5.27998994125353e-14,2.2252517607413e-10,3.5578253275,"Up in D8B",9.6526208466537,"THBS1","TSP1_HUMAN"
3.223780396,11.2443617595,116.462394834293,5.29817722742646e-13,1.92955189898352e-09,20.2425889971119,"MFGM_HUMAN",22,123.419835664454,7.92713301703521e-14,2.22726014001966e-10,3.223780396,"Up in D8B",9.65222905518104,"MFGE8","MFGM_HUMAN"
2.54807543750001,16.69413387625,98.9525710658503,1.70033997792903e-12,2.92555162603797e-09,19.36630015327,"CLUS_HUMAN",30,113.80054717805,1.4683003673489e-13,3.09407594909597e-10,2.54807543750001,"Up in D8B",9.50946903004568,"CLU","CLUS_HUMAN"
2.0895221225,11.41727721375,82.5428953843903,6.22286345640044e-12,6.55656450924991e-09,18.2843839653026,"AGRIN_HUMAN",69,106.528939810011,2.42457577328697e-13,3.60782632630482e-10,2.0895221225,"Up in D8B",9.44275437671293,"AGRN","AGRIN_HUMAN"
1.630353925,11.902554035,71.4291101197586,1.75079330462314e-11,1.06653111726621e-08,17.3522282688704,"FAT1_HUMAN",154,104.020737754384,2.90555969942283e-13,3.60782632630482e-10,1.630353925,"Up in D8B",9.44275437671293,"FAT1","FAT1_HUMAN"
1.4595856675,14.58390808125,66.8902640917418,2.79984854954734e-11,1.3557980435738e-08,16.9115868224873,"APOB_HUMAN",250,102.894406417906,3.15602913207154e-13,3.60782632630482e-10,1.4595856675,"Up in D8B",9.44275437671293,"APOB","APOB_HUMAN"
2.2357692725,13.48678970375,80.3843239469882,7.52177596250615e-12,7.04456106532938e-09,18.117836614225,"EPIPL_HUMAN",173,101.795458086091,3.42420341801383e-13,3.60782632630482e-10,2.2357692725,"Up in D8B",9.44275437671293,"EPPK1","EPIPL_HUMAN"
2.61070799675,10.920728086625,84.7903541705458,5.13478999920554e-12,6.18302070047192e-09,18.451142305389,"CO6A1_HUMAN",24,90.8307655420397,8.13668376321219e-13,7.44614311265877e-10,2.61070799675,"Up in D8B",9.12806862102648,"COL6A1","CO6A1_HUMAN"
1.2884268725,15.13597893625,58.9133713879139,6.94077190897114e-11,1.62510462279772e-08,16.0326304985198,"FLNA_HUMAN",152,89.8526001037733,8.83395789851557e-13,7.44614311265877e-10,1.2884268725,"Up in D8B",9.12806862102648,"FLNA","FLNA_HUMAN"
5.39272999725,11.544084191375,98.6706881158549,1.73540848620119e-12,2.92555162603797e-09,19.3501103890184,"ANGL8_HUMAN",9,88.5102098577053,9.90366968841429e-13,7.58891198214946e-10,5.39272999725,"Up in D8B",9.11982048418615,"ANGPTL8","ANGL8_HUMAN"
2.009344817,10.4380131965,68.1567207058513,2.44841757297523e-11,1.3557980435738e-08,17.0384989532914,"PTPRF_HUMAN",72,82.2045367511567,1.73583943145863e-12,1.17855481288538e-09,2.009344817,"Up in D8B",8.92865021425966,"PTPRF","PTPRF_HUMAN"
2.575165985,12.3602274675,72.7576420046038,1.53459679343859e-11,1.06653111726621e-08,17.4740593689974,"PCSK6_HUMAN",46,81.7072413280833,1.81767855825245e-12,1.17855481288538e-09,2.575165985,"Up in D8B",8.92865021425966,"PCSK6","PCSK6_HUMAN"
1.18863821,12.76386857,57.2086645431739,8.561516621428e-11,1.80356718028979e-08,15.8248933509238,"DSG2_HUMAN",47,80.5927045089812,2.0174504674715e-12,1.21464928502266e-09,1.18863821,"Up in D8B",8.91554910113283,"DSG2","DSG2_HUMAN"
1.270336865,10.7964850675,57.2553595924991,8.51173881554475e-11,1.80356718028979e-08,15.8306867391239,"MILK2_HUMAN",50,77.5108565057901,2.7124080644661e-12,1.52419250502565e-09,1.270336865,"Up in D8B",8.81696017827819,"MICALL2","MILK2_HUMAN"
1.66390014,15.6087299575,64.6984101964985,3.5529925571228e-11,1.3557980435738e-08,16.6842223294992,"DPYL2_HUMAN",35,76.6299662040646,2.95826783652145e-12,1.52997732491211e-09,1.66390014,"Up in D8B",8.81531500561281,"DPYSL2","DPYL2_HUMAN"
1.796005011,10.695827842,64.8177035781936,3.5065021252689e-11,1.3557980435738e-08,16.6968567367985,"ERBB2_HUMAN",39,76.1719085959477,3.09601668253258e-12,1.52997732491211e-09,1.796005011,"Up in D8B",8.81531500561281,"ERBB2","ERBB2_HUMAN"
1.44098258,15.5262500075,64.4447388141289,3.65420603689698e-11,1.3557980435738e-08,16.6572540535548,"BHMT2_HUMAN",28,75.6336622718707,3.26724307135104e-12,1.52997732491211e-09,1.44098258,"Up in D8B",8.81531500561281,"BHMT2","BHMT2_HUMAN"
-1.9235076905,8.518239975,-63.6525098632131,3.99209479421321e-11,1.3557980435738e-08,16.5721284800571,"LAMB3_HUMAN",46,-74.1235467388139,3.80775184182865e-12,1.68923896183019e-09,-1.9235076905,"Up in D1C",8.77230891024931,"LAMB3","LAMB3_HUMAN"
1.4685666575,14.17194378375,59.9519737937495,6.12572940088848e-11,1.54786205806078e-08,16.1555103708417,"CAN2_HUMAN",37,72.9544113161086,4.29613458933633e-12,1.71520963758013e-09,1.4685666575,"Up in D8B",8.76568279172607,"CAPN2","CAN2_HUMAN"
1.38568926,18.0088408,58.6354678984272,7.17935307876471e-11,1.63553424597048e-08,15.99928502739,"BHMT1_HUMAN",37,72.4252893491664,4.54017908331606e-12,1.71520963758013e-09,1.38568926,"Up in D8B",8.76568279172607,"BHMT","BHMT1_HUMAN"
1.897221565,12.8837754725,91.9234296964717,2.88089816389811e-12,4.04718177058286e-09,18.9393237020534,"CAVN1_HUMAN",13,72.1052106187888,4.69540684893858e-12,1.71520963758013e-09,1.897221565,"Up in D8B",8.76568279172607,"CAVIN1","CAVN1_HUMAN"
-2.0657582275,13.61929822125,-65.7507183554347,3.16587833841047e-11,1.3557980435738e-08,16.7946291778498,"PLIN2_HUMAN",27,-71.6689644381913,4.91673536256654e-12,1.71520963758013e-09,-2.0657582275,"Up in D1C",8.76568279172607,"PLIN2","PLIN2_HUMAN"
-1.1714401275,12.10779476125,-55.4432561437133,1.07111492535183e-10,2.00631726795345e-08,15.6014361864808,"MX1_HUMAN",35,-71.4358180841445,5.03984712262412e-12,1.71520963758013e-09,-1.1714401275,"Up in D1C",8.76568279172607,"MX1","MX1_HUMAN"
1.46440244,11.95119822,62.8970898349277,4.3478101992019e-11,1.3557980435738e-08,16.4896620568157,"KNG1_HUMAN",26,71.3478019157944,5.0872275405746e-12,1.71520963758013e-09,1.46440244,"Up in D8B",8.76568279172607,"KNG1","KNG1_HUMAN"
-2.411222935,15.3351719375,-66.0217726987138,3.07410629661958e-11,1.3557980435738e-08,16.8226910462209,"AACT_HUMAN",24,-69.9085188062874,5.93817865011269e-12,1.87988309071432e-09,-2.411222935,"Up in D1C",8.72586915852164,"SERPINA3","AACT_HUMAN"
2.0825979705,10.15445554225,62.7544889172979,4.41893908474075e-11,1.3557980435738e-08,16.4739504741229,"BMP1_HUMAN",34,69.7799930850789,6.02169218760075e-12,1.87988309071432e-09,2.0825979705,"Up in D8B",8.72586915852164,"BMP1","BMP1_HUMAN"
0.873750209999999,12.58329463,44.010912378368,5.57308595008965e-10,5.46227226433787e-08,13.9090203703447,"MRP3_HUMAN",58,68.2751457581923,7.10517609536024e-12,2.1206961630744e-09,0.873750209999999,"Up in D8B",8.6735215493771,"ABCC3","MRP3_HUMAN"
4.95419525975,11.175389170125,78.5473786810441,8.87442503892974e-12,7.48025286531388e-09,17.9709243065574,"SPP24_HUMAN",7,67.9598910098733,7.35915890681393e-12,2.1206961630744e-09,4.95419525975,"Up in D8B",8.6735215493771,"SPP2","SPP24_HUMAN"
3.67040515,12.66260922,72.0669339309644,1.64294301888066e-11,1.06653111726621e-08,17.4111041477247,"TSK_HUMAN",11,67.521517753573,7.7295849147629e-12,2.1206961630744e-09,3.67040515,"Up in D8B",8.6735215493771,"TSKU","TSK_HUMAN"
-2.0790352875,16.66408371875,-71.3121367566192,1.77143618955118e-11,1.06653111726621e-08,17.3413525655996,"A1AG1_HUMAN",15,-67.1750729111487,8.03728749956789e-12,2.1206961630744e-09,-2.0790352875,"Up in D1C",8.6735215493771,"ORM1","A1AG1_HUMAN"
1.3893949975,14.23514854875,54.19329284347,1.26066860067724e-10,2.17881886176284e-08,15.4378246996815,"VILI_HUMAN",48,67.1599327746707,8.05104724384634e-12,2.1206961630744e-09,1.3893949975,"Up in D8B",8.6735215493771,"VIL1","VILI_HUMAN"
1.81887102325,10.470712900875,59.7111886961291,6.30450557119713e-11,1.54786205806078e-08,16.1272643047828,"ITA2_HUMAN",31,66.6756241809498,8.50558427874446e-12,2.17253242077385e-09,1.81887102325,"Up in D8B",8.66303373383988,"ITGA2","ITA2_HUMAN"
2.200936075,12.2766672375,62.5877834944598,4.50377805434411e-11,1.3557980435738e-08,16.4555243353709,"RIR2B_HUMAN",23,66.0325991614103,9.15463167673558e-12,2.26954089421189e-09,2.200936075,"Up in D8B",8.64406198742188,"RRM2B","RIR2B_HUMAN"
1.9854860325,17.34357356875,60.0344749202356,6.06580862434343e-11,1.54786205806078e-08,16.1651552440737,"VTNC_HUMAN",29,65.6574477597092,9.5590954980376e-12,2.28983167966932e-09,1.9854860325,"Up in D8B",8.6401964404887,"VTN","VTNC_HUMAN"
2.7294964775,12.84618234625,61.8012524854942,4.92994013024129e-11,1.4303989671764e-08,16.3677243392484,"HTRA1_HUMAN",27,65.4602352376836,9.77980074363454e-12,2.28983167966932e-09,2.7294964775,"Up in D8B",8.6401964404887,"HTRA1","HTRA1_HUMAN"
-1.080161095,18.23840189,-55.8759256038856,1.01323631607091e-10,1.98617881585155e-08,15.6570114957757,"NNMT_HUMAN",24,-63.9840887683731,1.16276028782031e-11,2.64889363946956e-09,-1.080161095,"Up in D1C",8.57693547949772,"NNMT","NNMT_HUMAN"
-1.84005952,10.272248865,-64.6987814735308,3.55284677946091e-11,1.3557980435738e-08,16.6842616990008,"PLPL2_HUMAN",17,-63.5850953640216,1.21927687324634e-11,2.70454862226142e-09,-1.84005952,"Up in D1C",8.5679052064238,"PNPLA2","PLPL2_HUMAN"
1.7213923925,15.89778435125,54.2464639735253,1.25186581608036e-10,2.17881886176284e-08,15.4448786547457,"TRFE_HUMAN",55,63.0536131405931,1.29945136575162e-11,2.80848091331293e-09,1.7213923925,"Up in D8B",8.55152852328189,"TF","TRFE_HUMAN"
2.19946575275,10.961780548625,62.9373822673891,4.32794947633451e-11,1.3557980435738e-08,16.494093057067,"SFXN3_HUMAN",17,62.8153448259112,1.33731813945859e-11,2.81806364937411e-09,2.19946575275,"Up in D8B",8.55004920205002,"SFXN3","SFXN3_HUMAN"
2.10305548,12.673235415,59.5503492288099,6.42723597486385e-11,1.54786205806078e-08,16.1083157320098,"HRG_HUMAN",22,62.4119350917756,1.40431144438457e-11,2.88004007291999e-09,2.10305548,"Up in D8B",8.54060146941891,"HRG","HRG_HUMAN"
1.20942067999999,16.900356055,47.0004935281123,3.48609729178212e-10,4.1977591532045e-08,14.3980805799154,"FAS_HUMAN",166,62.2241516615663,1.43678530423375e-11,2.88004007291999e-09,1.20942067999999,"Up in D8B",8.54060146941891,"FASN","FAS_HUMAN"
-2.03052783,12.914967655,-61.5239781081181,5.09099169715175e-11,1.4303989671764e-08,16.3364282342313,"HMOX1_HUMAN",18,-62.0412504588922,1.46923387276734e-11,2.88004007291999e-09,-2.03052783,"Up in D1C",8.54060146941891,"HMOX1","HMOX1_HUMAN"
1.21344542,12.9479714625,50.2158322015454,2.17322484628657e-10,3.05301870489158e-08,14.8849004180285,"CADH2_HUMAN",34,60.4293164056188,1.79400306990138e-11,3.43673906277244e-09,1.21344542,"Up in D8B",8.46385344077521,"CDH2","CADH2_HUMAN"
1.2717742925,13.67311120125,50.2189985167393,2.17224631811856e-10,3.05301870489158e-08,14.885361388223,"BGH3_HUMAN",36,60.0738187511738,1.87612291638707e-11,3.46119419539299e-09,1.2717742925,"Up in D8B",8.46077403329137,"TGFBI","BGH3_HUMAN"
2.534066675,11.6254384525,57.0138174511445,8.77283834284984e-11,1.80356718028979e-08,15.8006549749823,"MUC18_HUMAN",25,60.0201140540243,1.88889468487457e-11,3.46119419539299e-09,2.534066675,"Up in D8B",8.46077403329137,"MCAM","MUC18_HUMAN"
-1.19722986,13.612122535,-47.5502169206793,3.2083341147542e-10,4.036275858696e-08,14.4840538893154,"HS105_HUMAN",48,-59.4186540824439,2.03885744275353e-11,3.65649561382329e-09,-1.19722986,"Up in D1C",8.43693494320062,"HSPH1","HS105_HUMAN"
1.2527117725,13.26081943375,46.6117328268672,3.69908979166571e-10,4.25340197954528e-08,14.3365652533338,"CO5_HUMAN",77,58.6878498721323,2.2395168095719e-11,3.93268483080865e-09,1.2527117725,"Up in D8B",8.40531085697831,"C5","CO5_HUMAN"
0.773402690000001,16.4784262175,36.777234108365,2.00587569734916e-09,1.13473330556752e-07,12.5494640188429,"CO3_HUMAN",118,58.2257934196004,2.37788919646482e-11,4.09045470142897e-09,0.773402690000001,"Up in D8B",8.38822841244612,"C3","CO3_HUMAN"
1.9923954025,12.60075712125,53.200404438484,1.43873178384519e-10,2.37785690314335e-08,15.3045246937869,"PROS_HUMAN",31,57.7223644774652,2.53977695937016e-11,4.28155599810621e-09,1.9923954025,"Up in D8B",8.36839837150452,"PROS1","PROS_HUMAN"
1.46419572749999,17.94340252875,48.7163856334129,2.6985856002016e-10,3.66877064904827e-08,14.6626182401797,"GATM_HUMAN",48,57.0020102689487,2.79357252851807e-11,4.58661273612216e-09,1.46419572749999,"Up in D8B",8.33850792733374,"GATM","GATM_HUMAN"
-1.8581497655,10.68241584225,-52.7869322094477,1.52121087050677e-10,2.46582431298107e-08,15.2481151540086,"ASNS_HUMAN",27,-56.8517682281152,2.85005194580825e-11,4.58661273612216e-09,-1.8581497655,"Up in D1C",8.33850792733374,"ASNS","ASNS_HUMAN"
-2.3182537525,10.89787280375,-55.647274913157,1.04336644139036e-10,1.99875812147257e-08,15.6277085701158,"TRAF1_HUMAN",18,-56.5578360153288,2.96432417182544e-11,4.58661273612216e-09,-2.3182537525,"Up in D1C",8.33850792733374,"TRAF1","TRAF1_HUMAN"
1.4044981,15.349084855,47.7513572932654,3.11307071808343e-10,3.97576864889776e-08,14.5152192295531,"ITIH2_HUMAN",51,56.4931742919113,2.99015290645619e-11,4.58661273612216e-09,1.4044981,"Up in D8B",8.33850792733374,"ITIH2","ITIH2_HUMAN"
2.1726632075,14.33913302375,57.0297461395424,8.75534154904388e-11,1.80356718028979e-08,15.8026403382092,"FBX2_HUMAN",16,56.4865656906268,2.99280698169082e-11,4.58661273612216e-09,2.1726632075,"Up in D8B",8.33850792733374,"FBXO2","FBX2_HUMAN"
-1.395944115,14.4897742275,-48.5652805574167,2.7591246484176e-10,3.69153359706539e-08,14.6397675988214,"CP4AB_HUMAN",36,-55.9561014986052,3.21480376892302e-11,4.79155849947508e-09,-1.395944115,"Up in D1C",8.3195232052421,"CYP4A11","CP4AB_HUMAN"
1.469706295,12.064697385,50.7386820250732,2.01823603814818e-10,2.97358753386664e-08,14.9605514776678,"CAP2_HUMAN",27,55.8980066802356,3.24022819397413e-11,4.79155849947508e-09,1.469706295,"Up in D8B",8.3195232052421,"CAP2","CAP2_HUMAN"
1.7548360825,13.34402394375,55.2318617234084,1.10075718862592e-10,2.0170179006365e-08,15.5740875596576,"FADS2_HUMAN",18,55.6042955253397,3.37230024613106e-11,4.86947754704055e-09,1.7548360825,"Up in D8B",8.31251763233958,"FADS2","FADS2_HUMAN"
2.2840726375,16.50748837125,51.632976712197,1.78142540661955e-10,2.7806731022956e-08,15.0877999557157,"APOE_HUMAN",35,55.526143797184,3.40846097135357e-11,4.86947754704055e-09,2.2840726375,"Up in D8B",8.31251763233958,"APOE","APOE_HUMAN"
0.811556577500001,14.85137736875,39.3747151948654,1.23310419527202e-09,8.2490756047205e-08,13.0697734642749,"ES8L2_HUMAN",44,54.957244902801,3.68531090858231e-11,5.17724760807338e-09,0.811556577500001,"Up in D8B",8.28590106386721,"EPS8L2","ES8L2_HUMAN"
-1.0409648425,11.59707605875,-42.9111885646441,6.6761673110608e-10,5.80138291391047e-08,13.7193691930459,"NAT10_HUMAN",49,-54.7761763187007,3.77869798041064e-11,5.22141725850513e-09,-1.0409648425,"Up in D1C",8.28221159967848,"NAT10","NAT10_HUMAN"
1.48060727,12.6099778425,54.157674493039,1.26660486684517e-10,2.17881886176284e-08,15.4330946339888,"ACMSD_HUMAN",18,54.0974283202146,4.1533885787013e-11,5.5572099671395e-09,1.48060727,"Up in D8B",8.25514319402848,"ACMSD","ACMSD_HUMAN"
1.23340630675,10.595232606625,52.231207329725,1.64069259829304e-10,2.60932036056831e-08,15.171446097887,"THNS2_HUMAN",20,53.9956666924383,4.21310933432315e-11,5.5572099671395e-09,1.23340630675,"Up in D8B",8.25514319402848,"THNSL2","THNS2_HUMAN"
2.42375850675,10.678214311625,53.4092824875723,1.39900978850073e-10,2.35845070145453e-08,15.3328188739451,"FSTL1_HUMAN",17,53.9848783645409,4.21949742433181e-11,5.5572099671395e-09,2.42375850675,"Up in D8B",8.25514319402848,"FSTL1","FSTL1_HUMAN"
1.2717027675,14.76752567125,45.5392339596135,4.36787962989901e-10,4.84432334216036e-08,14.1637007946403,"DPP4_HUMAN",42,53.8383833134233,4.30733509434039e-11,5.5856196169531e-09,1.2717027675,"Up in D8B",8.25292864326502,"DPP4","DPP4_HUMAN"
1.1983499525,11.03892874625,44.1919615304825,5.41215672667549e-10,5.43084155346997e-08,13.9397202054896,"PTPRK_HUMAN",45,53.1595869655639,4.7422934563509e-11,6.05648356720935e-09,1.1983499525,"Up in D8B",8.21777945679291,"PTPRK","PTPRK_HUMAN"
1.4908006175,14.63686072625,46.8448578680713,3.56964346336108e-10,4.23782038770008e-08,14.3735254939997,"NHRF3_HUMAN",36,52.7684876408292,5.01536160545156e-11,6.30962432423152e-09,1.4908006175,"Up in D8B",8.19999649793023,"PDZK1","NHRF3_HUMAN"
1.2287452225,11.46006095375,43.7194381369494,5.84375787172872e-10,5.53449832593274e-08,13.8592892960047,"S12A4_HUMAN",39,51.1623020794882,6.33975325979905e-11,7.82671309175769e-09,1.2287452225,"Up in D8B",8.10642058606644,"SLC12A4","S12A4_HUMAN"
-1.1816501575,11.33114719375,-42.1134753862629,7.63271307767962e-10,6.12725128873919e-08,13.5782840485423,"JAK1_HUMAN",56,-50.9969469506644,6.49724733241664e-11,7.82671309175769e-09,-1.1816501575,"Up in D1C",8.10642058606644,"JAK1","JAK1_HUMAN"
-0.981473207499999,11.35350811625,-42.3255850086877,7.36394447440206e-10,6.08536156615049e-08,13.616093965613,"GTPB4_HUMAN",32,-50.994282545974,6.49982105140632e-11,7.82671309175769e-09,-0.981473207499999,"Up in D1C",8.10642058606644,"GTPBP4","GTPB4_HUMAN"
-1.0245947875,13.47271394875,-42.9383768050392,6.64605928943936e-10,5.80138291391047e-08,13.7241248332355,"CFAB_HUMAN",30,-50.4130189217095,7.08990163086558e-11,8.22820154443002e-09,-1.0245947875,"Up in D1C",8.08469507908696,"CFB","CFAB_HUMAN"
