"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3BM_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
1.6062092775,13.85625624625,93.0109495173922,3.5018793778967e-12,1.00965666424534e-08,18.4071272123616,"EPIPL_HUMAN",173,157.099286879325,2.61055901526372e-14,2.20044019396579e-10,1.6062092775,"Up in D8CM",9.65749043068368,"EPPK1","EPIPL_HUMAN"
1.6680381325,14.61005008125,92.6715718522426,3.59351049084829e-12,1.00965666424534e-08,18.3885831911165,"VILI_HUMAN",48,128.611373965104,1.14694744415679e-13,4.8338100033988e-10,1.6680381325,"Up in D8CM",9.31571042386985,"VIL1","VILI_HUMAN"
1.8039104925,15.95603644875,82.2469856025221,8.35013255906083e-12,1.75958168350809e-08,17.7563017087259,"FLNA_HUMAN",152,107.681730112623,4.26664082206725e-13,1.19878384964016e-09,1.8039104925,"Up in D8CM",8.9212591166268,"FLNA","FLNA_HUMAN"
2.8369398125,12.49608659625,93.8929360601179,3.27595699712819e-12,1.00965666424534e-08,18.4547731377907,"MUC18_HUMAN",25,100.076600138463,7.33384581917354e-13,1.54542466024534e-09,2.8369398125,"Up in D8CM",8.81095216202562,"MCAM","MUC18_HUMAN"
1.4422843425,13.85304415125,73.2795149581868,1.8873655103598e-11,2.23603244171123e-08,17.0975826489617,"PFKAP_HUMAN",36,90.8429152865218,1.50041799019183e-12,2.52940464786538e-09,1.4422843425,"Up in D8CM",8.59698168774639,"PFKP","PFKAP_HUMAN"
2.53346061725,10.130669593875,77.164052462816,1.3104106354065e-11,1.84090854097357e-08,17.3977590598022,"FBLI1_HUMAN",20,79.7542098029653,3.92831958359679e-12,4.57434659466321e-09,2.53346061725,"Up in D8CM",8.3396709323294,"FBLIM1","FBLI1_HUMAN"
-3.18815279,15.08015275,-77.7938262635733,1.23728958169313e-11,1.84090854097357e-08,17.4442052213777,"FGL1_HUMAN",19,-79.7323252295943,3.9362971761983e-12,4.57434659466321e-09,-3.18815279,"Up in D3BM",8.3396709323294,"FGL1","FGL1_HUMAN"
-0.958302497500002,12.31355428625,-53.4433089247037,1.75252919640672e-10,6.49698591263807e-08,15.096385638424,"COBL1_HUMAN",67,-78.6824140832954,4.34153194415775e-12,4.57434659466321e-09,-0.958302497500002,"Up in D3BM",8.3396709323294,"COBLL1","COBL1_HUMAN"
1.3173847175,13.68634319375,66.7820071777177,3.63599676637973e-11,3.03100069396361e-08,16.5371642747252,"HTRA1_HUMAN",27,77.3608843926078,4.92062400936956e-12,4.60843775277511e-09,1.3173847175,"Up in D8CM",8.33644627424956,"HTRA1","HTRA1_HUMAN"
3.054847005,9.666056515,70.8806888050895,2.38750646285456e-11,2.23603244171123e-08,16.8996839581106,"ITA7_HUMAN",30,74.5810334585785,6.44902322152612e-12,5.43588167342436e-09,3.054847005,"Up in D8CM",8.26473000542338,"ITGA7","ITA7_HUMAN"
0.851980684999997,14.11105752,53.2764266387843,1.79163112558969e-10,6.49698591263807e-08,15.0753166390509,"CHDH_HUMAN",33,73.1986408389399,7.40540835713604e-12,5.67456245839088e-09,0.851980684999997,"Up in D8CM",8.24606761946209,"CHDH","CHDH_HUMAN"
2.01286411,11.7032938,71.5702616979162,2.22971393722193e-11,2.23603244171123e-08,16.9576034137707,"PRS23_HUMAN",17,71.6805852801928,8.64599838479259e-12,6.07309336545139e-09,2.01286411,"Up in D8CM",8.21659004214622,"PRSS23","PRS23_HUMAN"
-3.64731120625,11.196743009375,-61.8231576774814,6.26913269332907e-11,4.07931047475627e-08,16.0525724945199,"PGBM_HUMAN",175,-65.0338218119418,1.77464821351835e-11,1.11991804173929e-08,-3.64731120625,"Up in D3BM",7.950813758868,"HSPG2","PGBM_HUMAN"
1.7163450725,12.45727288375,60.9121077980877,6.96183258963656e-11,4.07931047475627e-08,15.9574942481631,"PEG10_HUMAN",23,64.6211482943727,1.86010826721439e-11,1.11991804173929e-08,1.7163450725,"Up in D8CM",7.950813758868,"PEG10","PEG10_HUMAN"
-1.0195164675,11.96699738625,-48.9386137689865,3.26160485820191e-10,8.79745586135077e-08,14.4954310135594,"AGRIN_HUMAN",69,-63.8931374164594,2.02251330468423e-11,1.13651764301223e-08,-1.0195164675,"Up in D3BM",7.94442381800907,"AGRN","AGRIN_HUMAN"
3.091774464,11.228182793,59.5967138459787,8.12179735579732e-11,4.07931047475627e-08,15.8166514466913,"FSTL1_HUMAN",17,60.5823804438014,2.99638754633432e-11,1.57853441425325e-08,3.091774464,"Up in D8CM",7.80174594544274,"FSTL1","FSTL1_HUMAN"
1.70602226,11.77648759,59.4877999213845,8.22734346551864e-11,4.07931047475627e-08,15.8047960627501,"SFXN3_HUMAN",17,59.6268529129019,3.36974886588787e-11,1.62594041091427e-08,1.70602226,"Up in D8CM",7.78889537490759,"SFXN3","SFXN3_HUMAN"
1.05423355,17.9806499475,46.2362644977883,4.86841033105784e-10,1.17245230515676e-07,14.0998080722407,"MYH9_HUMAN",152,59.1418699106098,3.5792745138528e-11,1.62594041091427e-08,1.05423355,"Up in D8CM",7.78889537490759,"MYH9","MYH9_HUMAN"
-3.92775237575,9.834191382125,-60.6890973485426,7.14444597430584e-11,4.07931047475627e-08,15.9339161759612,"TSP4_HUMAN",10,-58.9012843139159,3.68867436058699e-11,1.62594041091427e-08,-3.92775237575,"Up in D3BM",7.78889537490759,"THBS4","TSP4_HUMAN"
1.924087289,10.1250423205,55.0397698440116,1.42385162116982e-10,6.31665542886338e-08,15.2936271353607,"EPHA2_HUMAN",28,58.5404601211417,3.85993869512056e-11,1.62594041091427e-08,1.924087289,"Up in D8CM",7.78889537490759,"EPHA2","EPHA2_HUMAN"
1.802990675,12.947146535,65.9901515114884,3.95551164237747e-11,3.03100069396361e-08,16.4633248271254,"CAV1_HUMAN",12,58.0811394437213,4.09116225797417e-11,1.62594041091427e-08,1.802990675,"Up in D8CM",7.78889537490759,"CAV1","CAV1_HUMAN"
0.746843574999996,11.9618786575,39.2377621707337,1.5476219636051e-09,2.24823542545668e-07,12.9268403962671,"FAT1_HUMAN",154,57.7938506551603,4.2437642709828e-11,1.62594041091427e-08,0.746843574999996,"Up in D8CM",7.78889537490759,"FAT1","FAT1_HUMAN"
0.949421170000001,14.4590328925,46.6923718904976,4.54285323785811e-10,1.12622676299724e-07,14.1685944029664,"CAN2_HUMAN",37,57.3219386990481,4.50866950352615e-11,1.65232935848791e-08,0.949421170000001,"Up in D8CM",7.78190338055256,"CAPN2","CAN2_HUMAN"
1.5835845475,11.76749026625,52.437031786797,2.00405307543706e-10,6.49698591263807e-08,14.9680080641742,"PALLD_HUMAN",30,56.9103407874751,4.75511715541773e-11,1.670036770959e-08,1.5835845475,"Up in D8CM",7.777273966428,"PALLD","PALLD_HUMAN"
2.476038099,9.218495548,52.548371354365,1.97428715589096e-10,6.49698591263807e-08,14.9823711984831,"FLNC_HUMAN",88,56.0246712552424,5.33905926329679e-11,1.76372782488352e-08,2.476038099,"Up in D8CM",7.75356843353031,"FLNC","FLNC_HUMAN"
-0.826034784999999,13.3349274425,-43.6633097752379,7.28911153799656e-10,1.39636184440393e-07,13.6953339612698,"TFR1_HUMAN",38,-55.847981012096,5.46506017541271e-11,1.76372782488352e-08,-0.826034784999999,"Up in D3BM",7.75356843353031,"TFRC","TFR1_HUMAN"
1.9408457275,13.14912259625,58.9227779210849,8.80065933217158e-11,4.12115319504857e-08,15.7428072053513,"IL18_HUMAN",13,55.5973501921001,5.64962050917724e-11,1.76372782488352e-08,1.9408457275,"Up in D8CM",7.75356843353031,"IL18","IL18_HUMAN"
1.277297735,15.8472806225,50.1513903958417,2.74439779031683e-10,8.26161749092164e-08,14.6640655109453,"ZYX_HUMAN",27,55.0691929946581,6.06218238087249e-11,1.82493340315622e-08,1.277297735,"Up in D8CM",7.73875297951956,"ZYX","ZYX_HUMAN"
-3.38951444499999,16.765705825,-51.9397804921186,2.14339631334286e-10,6.69136575006183e-08,14.903370111058,"FINC_HUMAN",161,-54.3470187664858,6.68281726275714e-11,1.94239540371655e-08,-3.38951444499999,"Up in D3BM",7.71166235827313,"FN1","FINC_HUMAN"
1.32233047499999,17.59132576,48.9143811521985,3.2730179052906e-10,8.79745586135077e-08,14.4920071678684,"CLUS_HUMAN",30,53.9333968564441,7.0706146886248e-11,1.98660704034728e-08,1.32233047499999,"Up in D8CM",7.70188802976303,"CLU","CLUS_HUMAN"
0.680719135000002,15.36096108,38.7801442282946,1.68090501831813e-09,2.28521748377477e-07,12.8415105243322,"DPP4_HUMAN",42,53.36975922619,7.64086498388393e-11,2.05700402905552e-08,0.680719135000002,"Up in D8CM",7.68676485765148,"DPP4","DPP4_HUMAN"
0.567566152500001,11.55445110875,33.2802203374994,4.93118003989332e-09,4.48951613357493e-07,11.7141475167453,"MYO5B_HUMAN",77,53.2124191248677,7.80924533512597e-11,2.05700402905552e-08,0.567566152500001,"Up in D8CM",7.68676485765148,"MYO5B","MYO5B_HUMAN"
1.078989505,18.5294468375,45.0108664689202,5.88338253941977e-10,1.23977578561923e-07,13.9107379053609,"ANXA2_HUMAN",42,52.8149205683153,8.2537187675286e-11,2.10819986337874e-08,1.078989505,"Up in D8CM",7.67608821914831,"ANXA2","ANXA2_HUMAN"
0.694154975000002,13.4119123225,37.5919011834162,2.09267216917114e-09,2.59399025205052e-07,12.6143046241781,"ITAV_HUMAN",56,52.4210943162009,8.72260930637551e-11,2.10997747175835e-08,0.694154975000002,"Up in D8CM",7.67572218164224,"ITGAV","ITAV_HUMAN"
1.207101345,14.0267772675,54.0722465686062,1.61366676553536e-10,6.49698591263807e-08,15.1750139254034,"CRYM_HUMAN",16,52.2210457039419,8.97231793045237e-11,2.10997747175835e-08,1.207101345,"Up in D8CM",7.67572218164224,"CRYM","CRYM_HUMAN"
1.3644747725,16.02864718375,47.7355900220779,3.88742130973968e-10,9.92941643024114e-08,14.3228029041523,"TPM4_HUMAN",30,52.1901130075804,9.01164894807221e-11,2.10997747175835e-08,1.3644747725,"Up in D8CM",7.67572218164224,"TPM4","TPM4_HUMAN"
