"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D8B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8B_vs_D1BM"
-2.408043145,13.4006527675,-117.743751279918,5.80397790126177e-13,4.14307065476534e-09,20.2538643562625,"EPIPL_HUMAN",173,169.853495836888,1.01278502661285e-14,8.53676498931972e-11,2.408043145,"Up in D8B",10.0687066742122,"EPPK1","EPIPL_HUMAN",-2.408043145
-1.5504872775,11.45340502125,-80.9079969707917,8.34699378349872e-12,6.76122882092256e-09,18.0598495441214,"UBA7_HUMAN",41,106.951131717842,3.24794896309939e-13,5.76303262061235e-10,1.5504872775,"Up in D8B",9.23934892216568,"UBA7","UBA7_HUMAN",-1.5504872775
-2.2329311375,11.73978638875,-99.168541427806,1.96610305125891e-12,4.14307065476534e-09,19.3064518120232,"MFGM_HUMAN",22,106.111746822675,3.44554902973383e-13,5.76303262061235e-10,2.2329311375,"Up in D8B",9.23934892216568,"MFGE8","MFGM_HUMAN",-2.2329311375
-2.84887194475,10.936108707625,-104.163778956499,1.38658446370362e-12,4.14307065476534e-09,19.5881043213951,"PRS23_HUMAN",17,103.394721471828,4.1849956372152e-13,5.76303262061235e-10,2.84887194475,"Up in D8B",9.23934892216568,"PRSS23","PRS23_HUMAN",-2.84887194475
-1.1862425825,12.76506638375,-68.8163015884555,2.63519251300347e-11,8.49742698207122e-09,16.9885957634298,"DSG2_HUMAN",47,103.269730580602,4.22311066846307e-13,5.76303262061235e-10,1.1862425825,"Up in D8B",9.23934892216568,"DSG2","DSG2_HUMAN",-1.1862425825
-1.30604982750001,18.04866051625,-74.5283012531588,1.49585164959861e-11,7.96739144607743e-09,17.5241444110604,"BHMT1_HUMAN",37,102.088606628125,4.60338064251313e-13,5.76303262061235e-10,1.30604982750001,"Up in D8B",9.23934892216568,"BHMT","BHMT1_HUMAN",-1.30604982750001
-1.768438815,17.4520971775,-85.6788015364378,5.55615680879055e-12,6.76122882092256e-09,18.4230464285294,"VTNC_HUMAN",29,100.508763437415,5.17420682932137e-13,5.76303262061235e-10,1.768438815,"Up in D8B",9.23934892216568,"VTN","VTNC_HUMAN",-1.768438815
-1.34910464,15.1056400525,-67.0943551534959,3.15468580254043e-11,9.4967309391476e-09,16.8154639695317,"FLNA_HUMAN",152,98.0638143244518,6.22304324405476e-13,5.76303262061235e-10,1.34910464,"Up in D8B",9.23934892216568,"FLNA","FLNA_HUMAN",-1.34910464
2.420534375,11.475177405,87.9901029613128,4.59881220431256e-12,6.76122882092256e-09,18.5886649831247,"APOA4_HUMAN",29,-96.9670099898742,6.77037642401199e-13,5.76303262061235e-10,-2.420534375,"Up in D1BM",9.23934892216568,"APOA4","APOA4_HUMAN",2.420534375
-1.50269079,17.9241549975,-73.7805958002203,1.60690063570194e-11,7.96739144607743e-09,17.4572306195657,"GATM_HUMAN",48,96.618577969396,6.95552067494251e-13,5.76303262061235e-10,1.50269079,"Up in D8B",9.23934892216568,"GATM","GATM_HUMAN",-1.50269079
-2.021033765,12.6372935775,-80.2780778613369,8.82352794283404e-12,6.76122882092256e-09,18.0096129572231,"PCSK6_HUMAN",46,94.9759709313153,7.90934606227657e-13,5.76303262061235e-10,2.021033765,"Up in D8B",9.23934892216568,"PCSK6","PCSK6_HUMAN",-2.021033765
-2.04534697575,10.571156859625,-81.2079510748817,8.13044206112384e-12,6.76122882092256e-09,18.0835774252293,"ERBB2_HUMAN",39,94.512676784491,8.20457841349486e-13,5.76303262061235e-10,2.04534697575,"Up in D8B",9.23934892216568,"ERBB2","ERBB2_HUMAN",-2.04534697575
-1.892119885,13.983786105,-75.0157960780556,1.42816564827247e-11,7.96739144607743e-09,17.5672814679834,"VILI_HUMAN",48,89.0207022092872,1.28497195196298e-12,8.33156044853535e-10,1.892119885,"Up in D8B",9.07927365036748,"VIL1","VILI_HUMAN",-1.892119885
-2.7465357775,12.83766269625,-81.6041071058314,7.85418658985029e-12,6.76122882092256e-09,18.1147258599507,"HTRA1_HUMAN",27,87.1934891945122,1.50102348920124e-12,9.03723356462661e-10,2.7465357775,"Up in D8B",9.04396449336194,"HTRA1","HTRA1_HUMAN",-2.7465357775
-1.8662326325,13.35074126625,-74.0602531872704,1.56430031518441e-11,7.96739144607743e-09,17.4823651428617,"HDAC6_HUMAN",32,84.0816338881048,1.9708387179644e-12,1.03212090267305e-09,1.8662326325,"Up in D8B",8.98626942646048,"HDAC6","HDAC6_HUMAN",-1.8662326325
-1.223240375,10.90786624,-59.5969507272368,7.31618106893325e-11,1.46828786261996e-08,15.9889834599458,"MYO7A_HUMAN",98,83.6086992679262,2.05591962166415e-12,1.03212090267305e-09,1.223240375,"Up in D8B",8.98626942646048,"MYO7A","MYO7A_HUMAN",-1.223240375
-0.981379032499998,16.92433142625,-52.1369418113231,1.88971302380786e-10,2.41339258752673e-08,15.0271443309566,"AHNK_HUMAN",309,83.4701384409557,2.08162953439813e-12,1.03212090267305e-09,0.981379032499998,"Up in D8B",8.98626942646048,"AHNAK","AHNK_HUMAN",-0.981379032499998
-1.345709805,15.573886395,-68.8938479026143,2.61420270566388e-11,8.49742698207122e-09,16.9962586330247,"BHMT2_HUMAN",28,81.3859216913031,2.51585737522687e-12,1.17812010087707e-09,1.345709805,"Up in D8B",8.92881043409096,"BHMT2","BHMT2_HUMAN",-1.345709805
-1.89696026,12.883906125,-100.821492962457,1.74820593406612e-12,4.14307065476534e-09,19.4020928137773,"CAVN1_HUMAN",13,80.69192705349,2.6825729323521e-12,1.1881950828055e-09,1.89696026,"Up in D8B",8.92511224922819,"CAVIN1","CAVN1_HUMAN",-1.89696026
1.2094016075,13.61820840875,60.4154666910196,6.64104597911427e-11,1.36530186726718e-08,16.085453880076,"HS105_HUMAN",48,-80.0015845243265,2.86093978691544e-12,1.1881950828055e-09,-1.2094016075,"Up in D1BM",8.92511224922819,"HSPH1","HS105_HUMAN",1.2094016075
-1.6568818125,15.61223912125,-68.5031993745337,2.72191871533898e-11,8.49742698207122e-09,16.957540150896,"DPYL2_HUMAN",35,79.5728208796537,2.97847560153209e-12,1.1881950828055e-09,1.6568818125,"Up in D8B",8.92511224922819,"DPYSL2","DPYL2_HUMAN",-1.6568818125
