"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1B_vs_D3B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-2.876195195,13.041136385,-150.60885458352,7.25361063885712e-14,6.11406840749267e-10,20.7392230107125,"PLIN2_HUMAN",27,-170.511226244399,4.70681735169878e-15,3.9673763457469e-11,-2.876195195,"Up in D1B",10.4014966003505,"PLIN2","PLIN2_HUMAN"
1.5904188175,12.97007536875,88.6380765159994,3.294860428807e-12,9.25745951813806e-09,18.498282776442,"APOA5_HUMAN",27,101.703135984068,2.5120713019827e-13,1.05871245022061e-09,1.5904188175,"Up in D3B",8.97522197968478,"APOA5","APOA5_HUMAN"
1.9186341775,16.20544159375,76.1102462016286,9.86257496663816e-12,1.66263288787586e-08,17.6517483320626,"TRFE_HUMAN",55,88.4049720025764,7.3837176156295e-13,1.7539118064216e-09,1.9186341775,"Up in D3B",8.75599224845425,"TF","TRFE_HUMAN"
3.3742809285,10.40762591325,136.002603272284,1.51191125627695e-13,6.37194998957921e-10,20.3961706461833,"SPP24_HUMAN",7,84.8790990097282,1.00984464320608e-12,1.7539118064216e-09,3.3742809285,"Up in D3B",8.75599224845425,"SPP2","SPP24_HUMAN"
1.4704337125,12.42960214625,69.8047926333457,1.83719545687483e-11,1.93571506324974e-08,17.1361060566671,"PCSK6_HUMAN",46,84.5507952430393,1.0404032544914e-12,1.7539118064216e-09,1.4704337125,"Up in D3B",8.75599224845425,"PCSK6","PCSK6_HUMAN"
1.4943246825,11.54322409625,67.3879349584451,2.36710766956119e-11,2.2169278385257e-08,16.9192666000701,"NEP_HUMAN",38,78.5073608092789,1.84051810542725e-12,2.39673178682771e-09,1.4943246825,"Up in D3B",8.62038056422174,"MME","NEP_HUMAN"
-1.666495325,13.10571742,-77.4966494023975,8.66142747894966e-12,1.66263288787586e-08,17.7562854796542,"HMOX1_HUMAN",18,-77.2100301721177,2.09217945229845e-12,2.39673178682771e-09,-1.666495325,"Up in D1B",8.62038056422174,"HMOX1","HMOX1_HUMAN"
1.462136745,12.4665718075,71.9692055964548,1.47491902588671e-11,1.93571506324974e-08,17.320917864527,"HRG_HUMAN",22,76.3746860976238,2.27474840368035e-12,2.39673178682771e-09,1.462136745,"Up in D3B",8.62038056422174,"HRG","HRG_HUMAN"
2.555853845,11.7668941,71.0678159437761,1.61488141251705e-11,1.93571506324974e-08,17.2449907100522,"ATTY_HUMAN",25,74.850487328798,2.65621997788249e-12,2.4876975770635e-09,2.555853845,"Up in D3B",8.6042024168251,"TAT","ATTY_HUMAN"
2.3165230725,13.19658923125,62.8724678202335,3.89785456218695e-11,2.90939118406472e-08,16.4817751560783,"FADS2_HUMAN",18,64.1726539647743,8.67412999263072e-12,6.97080619751064e-09,2.3165230725,"Up in D3B",8.15671699135928,"FADS2","FADS2_HUMAN"
1.19611311,14.510507345,54.8780319690435,1.0360905850698e-10,5.13718090679606e-08,15.5864245835915,"NHRF3_HUMAN",36,63.7764839924305,9.09703027317796e-12,6.97080619751064e-09,1.19611311,"Up in D3B",8.15671699135928,"PDZK1","NHRF3_HUMAN"
