"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8CM_vs_D1CM"
-3.3727900965,11.02333080675,-154.336199704738,8.74967948893121e-14,7.37510484122012e-10,21.6624234004998,"PRS23_HUMAN",17,151.648703139129,2.36967784896755e-14,1.0725833726134e-10,3.3727900965,"Up in D8CM",9.96956893983447,"PRSS23","PRS23_HUMAN",-3.3727900965
-2.22885942,13.4597566125,-120.203810066138,5.1594337930057e-13,8.69777348824901e-10,20.4442970894108,"PFKAP_HUMAN",36,149.266186812779,2.66841571504512e-14,1.0725833726134e-10,2.22885942,"Up in D8CM",9.96956893983447,"PFKP","PFKAP_HUMAN",-2.22885942
-3.2803597445,11.15372276275,-134.611990985085,2.30985675862601e-13,8.21992430975802e-10,21.0258956428428,"MFGM_HUMAN",22,142.304461282483,3.81747552241097e-14,1.0725833726134e-10,3.2803597445,"Up in D8CM",9.96956893983447,"MFGE8","MFGM_HUMAN",-3.2803597445
-3.65730715,12.0859029275,-122.85348857688,4.4196101157632e-13,8.69777348824901e-10,20.5600235519485,"MUC18_HUMAN",25,130.604498274409,7.26320213863559e-14,1.28638802437794e-10,3.65730715,"Up in D8CM",9.89062801163884,"MCAM","MUC18_HUMAN",-3.65730715
-2.49669027,15.60964656,-105.021509454981,1.34533500661932e-12,1.61997553868489e-09,19.6902607815351,"FLNA_HUMAN",152,129.747389562015,7.63072739576424e-14,1.28638802437794e-10,2.49669027,"Up in D8CM",9.89062801163884,"FLNA","FLNA_HUMAN",-2.49669027
-1.3031313375,11.68373477625,-76.0500491994673,1.32899228380413e-11,5.89582945272897e-09,17.6605157249175,"FAT1_HUMAN",154,122.59553303774,1.16726077349892e-13,1.49455493158718e-10,1.3031313375,"Up in D8CM",9.82548811806413,"FAT1","FAT1_HUMAN",-1.3031313375
-2.3737182625,14.36062741375,-130.204843589649,2.92558701260815e-13,8.21992430975802e-10,20.8598889928029,"FBX2_HUMAN",16,121.595522203299,1.24117742568635e-13,1.49455493158718e-10,2.3737182625,"Up in D8CM",9.82548811806413,"FBXO2","FBX2_HUMAN",-2.3737182625
-1.74182748500001,15.6196835025,-90.0511689854727,4.00700797336206e-12,3.75278557860765e-09,18.7593562008899,"DPYL2_HUMAN",35,109.189285795113,2.78091768039645e-13,2.61758027220727e-10,1.74182748500001,"Up in D8CM",9.582099991123,"DPYSL2","DPYL2_HUMAN",-1.74182748500001
-1.685282705,17.1580767625,-92.1916601574899,3.3917423492196e-12,3.5736245326965e-09,18.9061230445867,"VTNC_HUMAN",29,109.116246327331,2.7949012278877e-13,2.61758027220727e-10,1.685282705,"Up in D8CM",9.582099991123,"VTN","VTNC_HUMAN",-1.685282705
-3.008692265,12.6151993275,-117.037500411178,6.23584424483489e-13,8.76032185661888e-10,20.3002693534218,"IL18_HUMAN",13,105.695505337027,3.54856580528949e-13,2.99108611727851e-10,3.008692265,"Up in D8CM",9.52417108288294,"IL18","IL18_HUMAN",-3.008692265
