"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1B_vs_D2B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D2B_vs_D1B"
-1.1349120125,12.26184129625,-58.5506337149358,6.11571525726321e-11,1.71831213011572e-07,15.6838977393506,"PCSK6_HUMAN",46,76.2027261001555,2.31452671335575e-12,1.95091456668756e-08,1.1349120125,"Up in D2B",7.70976174855963,"PCSK6","PCSK6_HUMAN",-1.1349120125
2.0791623625,13.43965280125,62.3681687429429,3.87791124836671e-11,1.63434569562415e-07,16.0249405009421,"PLIN2_HUMAN",27,-66.6716664065138,6.46664087631267e-12,2.15744971779459e-08,-2.0791623625,"Up in D1B",7.66605931729934,"PLIN2","PLIN2_HUMAN",2.0791623625
3.8255177745,9.16763180525,63.4289684268675,3.43369287522656e-11,1.63434569562415e-07,16.1135047597935,"CP1A1_HUMAN",18,-65.1983609883326,7.67866787683448e-12,2.15744971779459e-08,-3.8255177745,"Up in D1B",7.66605931729934,"CYP1A1","CP1A1_HUMAN",3.8255177745
1.0191178325,12.32028031375,53.1398823817787,1.23049599615757e-10,1.72864179193536e-07,15.1327375850616,"ABHD2_HUMAN",29,-62.8023226141998,1.02396362389186e-11,2.15774734644611e-08,-1.0191178325,"Up in D1B",7.66599940880418,"ABHD2","ABHD2_HUMAN",1.0191178325
-1.3453812605,10.40319108975,-50.7513657771321,1.71413528597554e-10,1.77779711712801e-07,14.8602580387531,"SORL_HUMAN",72,59.9673771325489,1.46038967801463e-11,2.46192491919707e-08,1.3453812605,"Up in D2B",7.6087251957896,"SORL1","SORL_HUMAN",-1.3453812605
-1.4312732225,15.96176111625,-50.1582010893096,1.86570308961074e-10,1.77779711712801e-07,14.7895111134847,"TRFE_HUMAN",55,57.416811130299,2.03949600801593e-11,2.86515197526105e-08,1.4312732225,"Up in D2B",7.54285233695426,"TF","TRFE_HUMAN",-1.4312732225
1.0848653275,10.88229548875,53.8972879781723,1.11114602714362e-10,1.72864179193536e-07,15.21518969303,"TRAF1_HUMAN",18,-53.5978144307204,3.46079198253504e-11,4.16728794582683e-08,-1.0848653275,"Up in D1B",7.3801464901923,"TRAF1","TRAF1_HUMAN",1.0848653275
-2.10584045,11.5418874025,-49.9341578571336,1.92687698111902e-10,1.77779711712801e-07,14.7624570020812,"ATTY_HUMAN",25,52.4408516747123,4.09234470186566e-11,4.3117966865032e-08,2.10584045,"Up in D2B",7.36534172556053,"TAT","ATTY_HUMAN",-2.10584045
-1.3071014875,10.90114939125,-49.3118029768891,2.10914357234311e-10,1.77779711712801e-07,14.6863302747981,"ASM3A_HUMAN",17,49.0497042803031,6.83801474845283e-11,6.40418070163433e-08,1.3071014875,"Up in D2B",7.19353642244051,"SMPDL3A","ASM3A_HUMAN",-1.3071014875
1.0484774125,12.59291517875,43.6324919298468,5.09229290053366e-10,3.06592406132845e-07,13.9190789605296,"4F2_HUMAN",25,-47.5834385128709,8.63219107906538e-11,6.55994318439851e-08,-1.0484774125,"Up in D1B",7.18309992202816,"SLC3A2","4F2_HUMAN",1.0484774125
