"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D3BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.6936564425,12.61264371875,139.803064291963,1.3618131970693e-13,1.14787234380972e-09,20.6581444204941,"TSP1_HUMAN",52,168.484364547273,7.4495590559069e-15,6.27923332822393e-11,3.6936564425,"Up in D3BM",10.2020933788182,"THBS1","TSP1_HUMAN"
3.21962905,12.008178115,123.432123601202,3.32717710552217e-13,1.40223879112232e-09,20.1633117613106,"APOA5_HUMAN",27,137.177543030302,3.55166007084889e-14,1.49684713685926e-10,3.21962905,"Up in D3BM",9.82482254902786,"APOA5","APOA5_HUMAN"
2.1042394675,11.42463588625,87.8272812530198,3.81894061819165e-12,8.04746261768435e-09,18.4951197503524,"AGRIN_HUMAN",69,113.153145558667,1.53332995344282e-13,4.30814605918984e-10,2.1042394675,"Up in D3BM",9.36570958122715,"AGRN","AGRIN_HUMAN"
4.65306257975,11.174250482625,111.599660165079,6.85425800205189e-13,1.92581802330985e-09,19.7167326515656,"ANGL8_HUMAN",9,95.0516435130071,5.76292565034519e-13,1.21439250766899e-09,4.65306257975,"Up in D3BM",8.91564092086893,"ANGPTL8","ANGL8_HUMAN"
2.86965226925,11.050200222875,82.3810423960089,6.04304994658851e-12,1.01873735999589e-08,18.1329155841607,"CO6A1_HUMAN",24,87.235340240621,1.10570910615327e-12,1.86400441115319e-09,2.86965226925,"Up in D3BM",8.72955306422602,"COL6A1","CO6A1_HUMAN"
-1.57125902,12.2704703825,-69.6364506435923,2.01558979542223e-11,2.26577911534375e-08,17.1182405490435,"ABHD2_HUMAN",29,-81.1955616546069,1.90647267708089e-12,2.32489000695225e-09,-1.57125902,"Up in D1C",8.63359758922722,"ABHD2","ABHD2_HUMAN"
2.53057897075,8.325735866875,76.7332885739945,1.00541264430081e-11,1.41243719646858e-08,17.714954687918,"ANGL2_HUMAN",23,81.0603869752217,1.93074267987492e-12,2.32489000695225e-09,2.53057897075,"Up in D3BM",8.63359758922722,"ANGPTL2","ANGL2_HUMAN"
1.68316436,12.06057918,68.116647606338,2.36087682481552e-11,2.26577911534375e-08,16.9786968351367,"KNG1_HUMAN",26,75.7684051746681,3.22339475042695e-12,3.02586687824768e-09,1.68316436,"Up in D3BM",8.5191501824973,"KNG1","KNG1_HUMAN"
1.8682172295,10.36744940275,63.9188117899356,3.72389842863645e-11,2.41451845038282e-08,16.5689701920643,"PTPRF_HUMAN",72,75.7453619005853,3.23084611510608e-12,3.02586687824768e-09,1.8682172295,"Up in D3BM",8.5191501824973,"PTPRF","PTPRF_HUMAN"
2.3162572375,16.19521677375,66.0099343863848,2.95688341069892e-11,2.26577911534375e-08,16.7776901511721,"TRFE_HUMAN",55,73.9926542840471,3.8591801378027e-12,3.25290293815390e-09,2.3162572375,"Up in D3BM",8.4877288952343,"TF","TRFE_HUMAN"
1.1259186275,15.30606186375,54.5211761893626,1.16316040919682e-10,3.92419197286053e-08,15.5006010425933,"PH4H_HUMAN",41,71.7895494698323,4.85439840542949e-12,3.59005978039798e-09,1.1259186275,"Up in D3BM",8.4448983196443,"PAH","PH4H_HUMAN"
1.93765926,12.4011566625,66.0668981031538,2.93866543942753e-11,2.26577911534375e-08,16.7832450025383,"HEP2_HUMAN",25,71.3039683146152,5.11101166980375e-12,3.59005978039798e-09,1.93765926,"Up in D3BM",8.4448983196443,"SERPIND1","HEP2_HUMAN"
3.4577546125,16.46157765375,63.9601929497138,3.70667229293305e-11,2.41451845038282e-08,16.5731931569495,"FIBA_HUMAN",58,68.1650649658575,7.19271774262618e-12,4.55835993713502e-09,3.4577546125,"Up in D3BM",8.34119138504862,"FGA","FIBA_HUMAN"
1.510064365,16.17512834,59.2719138338838,6.39449978691367e-11,3.17054345317031e-08,16.0692659725549,"CLUS_HUMAN",30,67.5151704659167,7.73510115351562e-12,4.55835993713502e-09,1.510064365,"Up in D3BM",8.34119138504862,"CLU","CLUS_HUMAN"
1.7692286975,13.35122025125,66.8454491708359,2.7020623707941e-11,2.26577911534375e-08,16.8584901971296,"FADS2_HUMAN",18,67.0932993620959,8.11192301068043e-12,4.55835993713502e-09,1.7692286975,"Up in D3BM",8.34119138504862,"FADS2","FADS2_HUMAN"
4.019876245,16.450524925,62.1872905510722,4.53357618588427e-11,2.52494863323299e-08,16.3887844728566,"FINC_HUMAN",161,65.8552685505089,9.34335377934194e-12,4.92219556287958e-09,4.019876245,"Up in D3BM",8.30784113541334,"FN1","FINC_HUMAN"
2.231277701,10.748110412,62.3077521559901,4.47116153763876e-11,2.52494863323299e-08,16.4015439050541,"MFGM_HUMAN",22,65.2007248299724,1.00790633828165e-11,4.99743677963295e-09,2.231277701,"Up in D3BM",8.30125269124291,"MFGE8","MFGM_HUMAN"
2.0448389025,12.09506392625,57.2564570118401,8.19236677356794e-11,3.28825997782877e-08,15.8356756644257,"PCSK6_HUMAN",46,63.5286206098865,1.22752473589404e-11,5.74822555491716e-09,2.0448389025,"Up in D3BM",8.24046619890003,"PCSK6","PCSK6_HUMAN"
0.740473269999995,16.66588235,37.9490514579347,1.55319684094088e-09,1.55855906812984e-07,12.8866833686102,"FAS_HUMAN",166,62.5430124505253,1.38213596832144e-11,5.83066259489051e-09,0.740473269999995,"Up in D3BM",8.23428208933129,"FASN","FAS_HUMAN"
-1.304519415,12.46423757,-56.193306413613,9.36914342178861e-11,3.58965954101165e-08,15.707994488502,"4F2_HUMAN",25,-62.5350200636258,1.3834767101413e-11,5.83066259489051e-09,-1.304519415,"Up in D1C",8.23428208933129,"SLC3A2","4F2_HUMAN"
1.253519535,14.480875015,48.3818692695145,2.73534380175444e-10,6.31524486474683e-08,14.6625368819285,"APOB_HUMAN",250,61.6228972142872,1.54661887345006e-11,6.11893732156615e-09,1.253519535,"Up in D3BM",8.21332399541217,"APOB","APOB_HUMAN"
0.949188707499996,12.05890607875,45.2946574876276,4.38413743072011e-10,7.54161110276322e-08,14.1890182631819,"RAPH1_HUMAN",50,61.3627323110845,1.59706514502854e-11,6.11893732156615e-09,0.949188707499996,"Up in D3BM",8.21332399541217,"RAPH1","RAPH1_HUMAN"
-2.26152372,10.92623782,-58.2468402106225,7.24553608438767e-11,3.28825997782877e-08,15.9518136078567,"TRAF1_HUMAN",18,-59.2427565550355,2.08522715395121e-11,7.64190420898034e-09,-2.26152372,"Up in D1C",8.11679841048064,"TRAF1","TRAF1_HUMAN"
-1.2679526775,11.28799593375,-47.7682985191228,2.9969129741354e-10,6.31524486474683e-08,14.5714467967096,"JAK1_HUMAN",56,-57.7889994002253,2.51764946221061e-11,8.84219471540552e-09,-1.2679526775,"Up in D1C",8.05343992565554,"JAK1","JAK1_HUMAN"
2.026628735,12.68333733,53.9334977716019,1.25700775023412e-10,3.92419197286053e-08,15.4257285846513,"FA10_HUMAN",25,57.1064949356705,2.75504079689884e-11,9.28889555082411e-09,2.026628735,"Up in D3BM",8.03203592052703,"F10","FA10_HUMAN"
-3.15735746,13.073498605,-54.3871595393233,1.18383828249309e-10,3.92419197286053e-08,15.4836194975436,"PLIN2_HUMAN",27,-56.7960935031961,2.8713085154211e-11,9.2909261741759e-09,-3.15735746,"Up in D1C",8.03194099081962,"PLIN2","PLIN2_HUMAN"
1.4802413025,11.04124188375,50.3152796986091,2.06646226533377e-10,5.44319076078073e-08,14.9403956452122,"CDHR2_HUMAN",33,56.4102718766602,3.02364104863449e-11,9.2909261741759e-09,1.4802413025,"Up in D3BM",8.03194099081962,"CDHR2","CDHR2_HUMAN"
