"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3B_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8CM_vs_D3B"
-1.4882671825,13.91522729375,-93.2704084703713,3.46005766441421e-12,7.29120651333685e-09,18.5415467926096,"EPIPL_HUMAN",173,144.722104712782,4.79057772325259e-14,2.08160592779482e-10,1.4882671825,"Up in D8CM",9.68160148403916,"EPPK1","EPIPL_HUMAN",-1.4882671825
-1.6350970275,14.62652063375,-104.006574162548,1.60260988642175e-12,4.70178518461963e-09,19.0975440586559,"VILI_HUMAN",48,144.125820443923,4.93915275310195e-14,2.08160592779482e-10,1.6350970275,"Up in D8CM",9.68160148403916,"VIL1","VILI_HUMAN",-1.6350970275
3.20365572,15.087904215,123.753438465709,4.69269205796249e-13,3.95547013565658e-09,19.8897944037919,"FGL1_HUMAN",19,-127.153920187117,1.24783145507808e-13,3.50599044495103e-10,-3.20365572,"Up in D3B",9.45518927184482,"FGL1","FGL1_HUMAN",3.20365572
-1.2322647575,15.86979711125,-89.3095421183812,4.70111705198725e-12,7.9251431262401e-09,18.3079854998457,"ZYX_HUMAN",27,112.808708734844,3.02470466030834e-13,5.14520520240148e-10,1.2322647575,"Up in D8CM",9.28859729991156,"ZYX","ZYX_HUMAN",-1.2322647575
-2.678224085,12.57544446,-103.37189067994,1.67343167088135e-12,4.70178518461963e-09,19.0674924691052,"MUC18_HUMAN",25,110.40120765075,3.54793236814268e-13,5.14520520240148e-10,2.678224085,"Up in D8CM",9.28859729991156,"MCAM","MUC18_HUMAN",-2.678224085
-1.7636392125,15.97617208875,-86.8750852229987,5.71447273164733e-12,8.02788177584256e-09,18.1557758222369,"FLNA_HUMAN",152,109.927815178819,3.6625022202407e-13,5.14520520240148e-10,1.7636392125,"Up in D8CM",9.28859729991156,"FLNA","FLNA_HUMAN",-1.7636392125
-1.842302325,16.2351026525,-78.13667378425,1.2081562296205e-11,1.2729436074339e-08,17.5480599885422,"TPM1_HUMAN",16,76.955073774276,5.11569054585111e-12,5.42263451934447e-09,1.842302325,"Up in D8CM",8.26578966563292,"TPM1","TPM1_HUMAN",-1.842302325
4.03387772825,9.887254058375,80.1476584839619,1.00969667651492e-11,1.21581904090632e-08,17.6970764876561,"TSP4_HUMAN",10,-76.8922924258154,5.14664564654832e-12,5.42263451934447e-09,-4.03387772825,"Up in D3B",8.26578966563292,"THBS4","TSP4_HUMAN",4.03387772825
-0.743347884999999,15.329646705,-51.6089497391565,2.25621998144266e-10,6.13473491083231e-08,14.8657906047626,"DPP4_HUMAN",42,75.0662693853258,6.14719372896086e-12,5.69386237906655e-09,0.743347884999999,"Up in D8CM",8.24459303398118,"DPP4","DPP4_HUMAN",-0.743347884999999
-0.676693917499998,13.05351901125,-47.7148154713823,3.92295325860979e-10,7.64430234472451e-08,14.3157551593913,"DSG2_HUMAN",47,73.0533087616917,7.51498741157087e-12,5.69386237906655e-09,0.676693917499998,"Up in D8CM",8.24459303398118,"DSG2","DSG2_HUMAN",-0.676693917499998
