"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D3B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.77683115,12.6542310725,185.961620451446,1.56605168545502e-14,1.32002496567003e-10,22.0433665364514,"TSP1_HUMAN",52,239.585598463963,3.43220941096377e-16,2.89300931250136e-12,3.77683115,"Up in D3B",11.5386501683702,"THBS1","TSP1_HUMAN"
3.3669211875,12.08182418375,154.505243372876,5.95120383157583e-14,2.50813485481763e-10,21.4290118495153,"APOA5_HUMAN",27,172.480579048011,4.30858572063661e-15,1.8158534519623e-11,3.3669211875,"Up in D3B",10.7409192040375,"APOA5","APOA5_HUMAN"
3.02271318425,11.126730680375,123.196852530807,3.04098971310514e-13,8.54416743058775e-10,20.4900333460643,"CO6A1_HUMAN",24,132.056422089655,3.36598379885579e-14,9.45729248018514e-11,3.02271318425,"Up in D3B",10.0242331795831,"COL6A1","CO6A1_HUMAN"
2.187609675,11.46632099,93.5306763632802,2.21145797315893e-12,2.66291132225095e-09,19.0728274596634,"AGRIN_HUMAN",69,115.260264584471,9.59003998377495e-14,1.74661068067789e-10,2.187609675,"Up in D3B",9.75780388842048,"AGRN","AGRIN_HUMAN"
2.41896653,11.8353377575,104.190695681934,1.01654697262054e-12,1.49693387380021e-09,19.6623589052883,"ATTY_HUMAN",25,113.238771854742,1.09890330690967e-13,1.74661068067789e-10,2.41896653,"Up in D3B",9.75780388842048,"TAT","ATTY_HUMAN"
-3.0491385475,13.12760806125,-103.511650451932,1.06555976305626e-12,1.49693387380021e-09,19.6278621576593,"PLIN2_HUMAN",27,-111.436834005648,1.24328675810504e-13,1.74661068067789e-10,-3.0491385475,"Up in D1C",9.75780388842048,"PLIN2","PLIN2_HUMAN"
1.6934695275,12.06573176375,86.7654944004911,3.79712332860495e-12,3.61506216289135e-09,18.6385344299424,"KNG1_HUMAN",26,97.7012263846538,3.42123605013714e-13,4.11965695237227e-10,1.6934695275,"Up in D3B",9.38513894656264,"KNG1","KNG1_HUMAN"
4.71634149225,11.205889938875,104.378533550986,1.0034459028311e-12,1.49693387380021e-09,19.6718335014478,"ANGL8_HUMAN",9,93.5685459086907,4.77093992273924e-13,5.02678157609614e-10,4.71634149225,"Up in D3B",9.29870998534226,"ANGPTL8","ANGL8_HUMAN"
1.9546246545,10.41065311525,75.7943860060387,1.00484097086964e-11,7.05817045288351e-09,17.8107812819363,"PTPRF_HUMAN",72,90.253516197416,6.29697023760793e-13,5.89746245919969e-10,1.9546246545,"Up in D3B",9.22933481497214,"PTPRF","PTPRF_HUMAN"
2.1276705275,16.10092341875,76.0937448518161,9.76731498540204e-12,7.05817045288351e-09,17.8356968029033,"TRFE_HUMAN",55,87.5362049443904,7.96655860912768e-13,6.64314928618317e-10,2.1276705275,"Up in D3B",9.17762598789609,"TF","TRFE_HUMAN"
1.888244865,13.410728335,86.5679379441331,3.85995485419648e-12,3.61506216289135e-09,18.6250532229186,"FADS2_HUMAN",18,85.6234330653515,9.4424531341748e-13,6.64314928618317e-10,1.888244865,"Up in D3B",9.17762598789609,"FADS2","FADS2_HUMAN"
1.5189645295,10.41207659275,80.4033826661554,6.56981336513477e-12,5.5376956854721e-09,18.179141244957,"VWA1_HUMAN",22,85.6056392082717,9.45756215852391e-13,6.64314928618317e-10,1.5189645295,"Up in D3B",9.17762598789609,"VWA1","VWA1_HUMAN"
1.52533173750001,16.18276202625,70.1628697261736,1.7515245097843e-11,9.84240006198125e-09,17.3140510040245,"CLUS_HUMAN",30,80.3089623204333,1.54578863529793e-12,1.00226556976356e-09,1.52533173750001,"Up in D3B",8.99901718844748,"CLU","CLUS_HUMAN"
2.2967557885,10.78084945575,70.5963598799293,1.6755821818106e-11,9.84240006198125e-09,17.3542721925701,"MFGM_HUMAN",22,73.6928241980908,2.99449426881137e-12,1.73436814535795e-09,2.2967557885,"Up in D3B",8.76085871163058,"MFGE8","MFGM_HUMAN"
