"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1B_vs_D1CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D1CM_vs_D1B"
3.82883620249999,16.23529016875,129.758115284757,1.84716046616261e-13,7.78485778464233e-10,19.5377135275857,"FINC_HUMAN",161,-151.677437689781,1.15885466955546e-14,5.93834600895759e-11,-3.82883620249999,"Up in D1B",10.2263345010136,"FN1","FINC_HUMAN",3.82883620249999
4.0534458175,12.66604399625,130.409865881879,1.78136272026765e-13,7.78485778464233e-10,19.5524490911747,"TSP1_HUMAN",52,-147.118347448524,1.46573114327759e-14,5.93834600895759e-11,-4.0534458175,"Up in D1B",10.2263345010136,"THBS1","TSP1_HUMAN",4.0534458175
3.20868563499999,16.3303786525,119.409736959568,3.37130857666328e-13,9.47225333089827e-10,19.2792292765063,"FIBA_HUMAN",58,-140.286616695074,2.11354111126738e-14,5.93834600895759e-11,-3.20868563499999,"Up in D1B",10.2263345010136,"FGA","FIBA_HUMAN",3.20868563499999
2.7979774475,11.71525335375,96.0185127475112,1.63353416200668e-12,3.44226486288859e-09,18.4702160194869,"AGRIN_HUMAN",69,-111.095207495742,1.27301369627537e-13,2.68255811147628e-10,-2.7979774475,"Up in D1B",9.57145086126504,"AGRN","AGRIN_HUMAN",2.7979774475
2.630167005,17.163039685,70.2715354334736,1.56325164420055e-11,2.63532962179329e-08,16.976453764189,"FIBG_HUMAN",40,-76.3005057765169,2.29181252387822e-12,3.8635375527539e-09,-2.630167005,"Up in D1B",8.4130148621495,"FGG","FIBG_HUMAN",2.630167005
2.80577277999999,15.9526143075,64.0828192369702,3.04489307152434e-11,3.20817546248484e-08,16.4639194605993,"FIBB_HUMAN",43,-68.7131240872168,5.12829498850382e-12,5.24036507132775e-09,-2.80577277999999,"Up in D1B",8.28063845672995,"FGB","FIBB_HUMAN",2.80577277999999
1.66244077875,10.670512915625,65.7510476838062,2.528517215773e-11,3.20817546248484e-08,16.6098401146656,"ALDR_HUMAN",20,-68.563579662008,5.2149260937745e-12,5.24036507132775e-09,-1.66244077875,"Up in D1B",8.28063845672995,"AKR1B1","ALDR_HUMAN",1.66244077875
1.91189837,12.7954272025,61.5345038210421,4.08310550720952e-11,3.74110404747341e-08,16.2288850219548,"A0AAG2UXZ5_HUMAN",37,-68.1869283462598,5.44054161890885e-12,5.24036507132775e-09,-1.91189837,"Up in D1B",8.28063845672995,"COL18A1","A0AAG2UXZ5_HUMAN",1.91189837
3.12298178725,11.185575366375,65.0071362737292,2.74536387403889e-11,3.20817546248484e-08,16.5455174634695,"CO6A1_HUMAN",24,-67.9385366960187,5.59535954940678e-12,5.24036507132775e-09,-3.12298178725,"Up in D1B",8.28063845672995,"COL6A1","CO6A1_HUMAN",3.12298178725
3.49030637875,10.671429873125,60.8284798339725,4.43837234247647e-11,3.74110404747341e-08,16.1610306671527,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",20,-62.8576359297653,1.01705788005873e-11,8.38312118511348e-09,-3.49030637875,"Up in D1B",8.07659425570152,"AMY1B;AMY1C;AMY1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",3.49030637875
2.140835047,10.466959834,56.5432336898404,7.52590505182201e-11,5.1755294022315e-08,15.7214563300465,"PTPRF_HUMAN",72,-62.2639870422046,1.09401273029124e-11,8.38312118511348e-09,-2.140835047,"Up in D1B",8.07659425570152,"PTPRF","PTPRF_HUMAN",2.140835047
