"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D2B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
1.3317434775,16.01152598875,59.277333024304,6.56583636116566e-11,1.53089152014938e-07,15.7048835894972,"TRFE_HUMAN",55,70.9073650216137,5.33202289818413e-12,2.89805070050179e-08,1.3317434775,"Up in D2B",7.53789402095058,"TF","TRFE_HUMAN"
-3.811439872,9.160592854,-63.1816286595138,4.16042515537814e-11,1.53089152014938e-07,16.0578053961437,"CP1A1_HUMAN",18,-64.822952624069,1.05334056221966e-11,2.89805070050179e-08,-3.811439872,"Up in D1BM",7.53789402095058,"CYP1A1","CP1A1_HUMAN"
-1.341668605,11.3547983175,-58.444700652943,7.26487849163308e-11,1.53089152014938e-07,15.6246958305498,"HSP76_HUMAN",21,-61.1031959302398,1.6492522275727e-11,2.89805070050179e-08,-1.341668605,"Up in D1BM",7.53789402095058,"HSPA6","HSP76_HUMAN"
-0.975495334999998,12.150901555,-47.6061422617417,3.1480726876198e-10,2.04116189876518e-07,14.3897449851696,"AKA12_HUMAN",65,-59.8902361054684,1.92019017408978e-11,2.89805070050179e-08,-0.975495334999998,"Up in D1BM",7.53789402095058,"AKAP12","AKA12_HUMAN"
-2.1136527075,13.45689797375,-56.6158311035067,9.11945646040379e-11,1.53735797009487e-07,15.4420072869863,"PLIN2_HUMAN",27,-59.6948210576778,1.9683891343551e-11,2.89805070050179e-08,-2.1136527075,"Up in D1BM",7.53789402095058,"PLIN2","PLIN2_HUMAN"
1.084776405,15.9051649575,60.0100280168139,6.01355350826081e-11,1.53089152014938e-07,15.7739624587584,"NDRG1_HUMAN",18,59.3268392720212,2.06291424878523e-11,2.89805070050179e-08,1.084776405,"Up in D2B",7.53789402095058,"NDRG1","NDRG1_HUMAN"
1.2025206075,12.22803699875,49.8850761314606,2.25386252241952e-10,1.72707338195219e-07,14.6825101553321,"PCSK6_HUMAN",46,57.6660228900884,2.55865810261645e-11,3.0809898781363e-08,1.2025206075,"Up in D2B",7.51130972845254,"PCSK6","PCSK6_HUMAN"
0.441634414999999,13.257968545,29.7760939295446,8.94307482651038e-09,1.3891237079246e-06,11.170907411506,"MPRI_HUMAN",109,55.9985368602817,3.19637511052161e-11,3.19673320647302e-08,0.441634414999999,"Non-significant",7.49529360764181,"IGF2R","MPRI_HUMAN"
1.2421956075,12.02799272375,53.1295082453763,1.43655802200019e-10,1.72707338195219e-07,15.0668644005015,"PDCD4_HUMAN",21,55.5157839149035,3.41328732450554e-11,3.19673320647302e-08,1.2421956075,"Up in D2B",7.49529360764181,"PDCD4","PDCD4_HUMAN"
-1.0371406075,12.32929170125,-48.0602185377601,2.94162136183525e-10,2.04116189876518e-07,14.4496811343507,"ABHD2_HUMAN",29,-54.0112440557601,4.20390480843986e-11,3.45600509992086e-08,-1.0371406075,"Up in D1BM",7.46142562531761,"ABHD2","ABHD2_HUMAN"
2.037678725,11.575968265,50.2388172347444,2.14286634590372e-10,1.72707338195219e-07,14.7262038870392,"ATTY_HUMAN",25,52.5629447049728,5.16597631866597e-11,3.45600509992086e-08,2.037678725,"Up in D2B",7.46142562531761,"TAT","ATTY_HUMAN"
1.25485134,12.00972557,49.9066661048499,2.24690335521259e-10,1.72707338195219e-07,14.6851899928138,"T23O_HUMAN",22,52.4957456504496,5.21632231563077e-11,3.45600509992086e-08,1.25485134,"Up in D2B",7.46142562531761,"TDO2","T23O_HUMAN"
1.7953832125,12.61740911125,50.8998417609006,1.95172932062682e-10,1.72707338195219e-07,14.8066464668293,"FADS2_HUMAN",18,51.8443908202287,5.73418023098321e-11,3.45600509992086e-08,1.7953832125,"Up in D2B",7.46142562531761,"FADS2","FADS2_HUMAN"
0.822023870000001,10.658839225,43.097765031715,6.40732778504246e-10,2.84249294211173e-07,13.7471039846373,"VLDLR_HUMAN",35,51.8372260804002,5.74019117319872e-11,3.45600509992086e-08,0.822023870000001,"Up in D2B",7.46142562531761,"VLDLR","VLDLR_HUMAN"
-1.002795695,12.57007432,-46.8960032754959,3.50493154190736e-10,2.11021914048122e-07,14.2943446345576,"4F2_HUMAN",25,-51.2437587352721,6.26376003102579e-11,3.51981555343443e-08,-1.002795695,"Up in D1BM",7.45348009397199,"SLC3A2","4F2_HUMAN"
1.2443902495,10.45368659525,43.389791046667,6.1056847221882e-10,2.84249294211173e-07,13.7915258689129,"SORL_HUMAN",72,49.1463029306219,8.59813270590829e-11,4.52960378613131e-08,1.2443902495,"Up in D2B",7.34393978496783,"SORL1","SORL_HUMAN"
0.725039004999999,12.56009817,39.6229277013026,1.16758566750325e-09,4.27894764842822e-07,13.1851127487745,"PFKAP_HUMAN",36,48.714034486809,9.19349847222723e-11,4.55835286014137e-08,0.725039004999999,"Up in D2B",7.34119205930465,"PFKP","PFKAP_HUMAN"
-0.491848709999999,13.9769848575,-31.6630562654055,5.77523623080596e-09,1.08176591532141e-06,11.6155730956411,"HS105_HUMAN",48,-46.5044991091561,1.3068660834948e-10,6.11976345432094e-08,-0.491848709999999,"Non-significant",7.2132653642055,"HSPH1","HS105_HUMAN"
0.796892882500002,11.07660782375,38.2871503869138,1.49126922621082e-09,5.2374617948879e-07,12.9513240746108,"UBA7_HUMAN",41,45.7466490731368,1.48009409321608e-10,6.56616479564123e-08,0.796892882500002,"Up in D2B",7.18268822167681,"UBA7","UBA7_HUMAN"
0.521060465,14.93411994,32.0587546429505,5.28644370803493e-09,1.04867149535679e-06,11.704780351831,"AMPN_HUMAN",49,45.3191705892052,1.58918943544988e-10,6.69763887570353e-08,0.521060465,"Up in D2B",7.17407827251984,"ANPEP","AMPN_HUMAN"
1.210352899,9.816081763,45.436872549445,4.392833427927e-10,2.42215256620189e-07,14.0917143925438,"KAIN_HUMAN",16,44.5944047164331,1.7955978745126e-10,6.89498309284842e-08,1.210352899,"Up in D2B",7.16146679441803,"SERPINA4","KAIN_HUMAN"
1.2662608625,10.92156970375,44.5517062156678,5.05559247909935e-10,2.50668170625461e-07,13.9642680918788,"ASM3A_HUMAN",17,44.5812461069098,1.79961594545812e-10,6.89498309284842e-08,1.2662608625,"Up in D2B",7.16146679441803,"SMPDL3A","ASM3A_HUMAN"
2.0236380105,9.11210048225,51.2560075884979,1.85683789757584e-10,1.72707338195219e-07,14.8493495568844,"SYUG_HUMAN",8,43.7406669230616,2.07868651898715e-10,7.59718886077558e-08,2.0236380105,"Up in D2B",7.11934707720593,"SNCG","SYUG_HUMAN"
0.904141424999999,11.85022235,39.8095422916017,1.12908409787011e-09,4.27894764842822e-07,13.2169485756314,"KNG1_HUMAN",26,43.5112000920381,2.16315734557615e-10,7.59718886077558e-08,0.904141424999999,"Up in D2B",7.11934707720593,"KNG1","KNG1_HUMAN"
-1.8808925175,13.54784286125,-45.1477762696949,4.59775074851469e-10,2.42215256620189e-07,14.0504752115732,"ISG20_HUMAN",10,-41.8361470273554,2.91192801298147e-10,9.49636095339293e-08,-1.8808925175,"Up in D1BM",7.0224427863568,"ISG20","ISG20_HUMAN"
0.703495499999999,12.9783992775,34.8740393865018,2.90218397997493e-09,7.26546500124123e-07,12.3028143936909,"PCKGC_HUMAN",38,41.6904889560867,2.98983725323259e-10,9.49636095339293e-08,0.703495499999999,"Up in D2B",7.0224427863568,"PCK1","PCKGC_HUMAN"
0.745587350000001,15.0839810375,34.6849387138245,3.01686172788519e-09,7.26546500124123e-07,12.2645477305399,"THRB_HUMAN",47,41.5955259785932,3.04189993761548e-10,9.49636095339293e-08,0.745587350000001,"Up in D2B",7.0224427863568,"F2","THRB_HUMAN"
