"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-0.388359361452039,22.5539289264543,-19.2907406813609,1.83765832024486e-07,0.000641526519597481,7.32721018923626,"FETA_HUMAN",55,-26.1745071431022,1.68105466958421e-09,8.45015933570638e-06,0.388359361452036,"Non-significant",5.07313510194195,"AFP","Alpha-fetoprotein","FETA_HUMAN"
-0.585427401874387,18.8233530522124,-23.4860978782965,4.54650546879763e-08,0.000317437011831451,8.17151752598445,"SMC6_HUMAN",22,-25.0754858670332,2.42055552440744e-09,8.45015933570638e-06,0.585427401874391,"Up in C",5.07313510194195,"SMC6","Structural maintenance of chromosomes protein 6","SMC6_HUMAN"
0.357237610850071,20.1804458222036,16.4093538256398,5.75388559148266e-07,0.0010043407299933,6.52671855624578,"FINC_HUMAN",89,22.6258755690064,5.78963492386351e-09,1.34744103461383e-05,-0.357237610850074,"Non-significant",4.87049023089236,"FN1","Fibronectin","FINC_HUMAN"
-0.237587272140605,21.8760974831562,-11.0070948398407,9.21859639774634e-06,0.00476136755943436,4.22134866678533,"APOB_HUMAN",218,-15.9085390560217,1.12172275104171e-07,0.000130531137462887,0.237587272140605,"Non-significant",3.88428587748059,"APOB","Apolipoprotein B-100","APOB_HUMAN"
-0.343700128345034,22.8880380380939,-12.8290352722694,3.2106129869448e-06,0.00203786362498624,5.15140813368551,"FAS_HUMAN",175,-16.4624317227195,8.42831911845797e-08,0.000130531137462887,0.343700128345038,"Non-significant",3.88428587748059,"FASN","Fatty acid synthase","FAS_HUMAN"
-0.60750599907314,24.4403967038752,-15.105070598332,1.02888530116729e-06,0.00143673543455,6.08327769931276,"GSTA2_HUMAN",19,-16.1038214810701,1.01311378784285e-07,0.000130531137462887,0.607505999073137,"Up in C",3.88428587748059,"GSTA2","Glutathione S-transferase A2","GSTA2_HUMAN"
-0.604789520923958,22.1102185668909,-13.0116373219325,2.91093129453598e-06,0.00203786362498624,5.23474136333108,"FDFT_HUMAN",28,-14.3464870301294,2.64955050041799e-07,0.000264273737055978,0.604789520923951,"Up in C",3.57794599395642,"FDFT1","Squalene synthase","FDFT_HUMAN"
-0.317281111693248,22.7369410449193,-13.0015460108906,2.92663980333178e-06,0.00203786362498624,5.23017881080276,"BDH_HUMAN",20,-13.5120308754651,4.34876476627052e-07,0.00037953844497626,0.317281111693244,"Non-significant",3.42074422610475,"BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","BDH_HUMAN"
0.591524532365732,19.9067058120513,13.5956695794954,2.14560982505207e-06,0.00203786362498624,5.49056151973214,"CNBP_HUMAN",10,13.2089280084096,5.24290030570441e-07,0.000382443625797239,-0.591524532365735,"Up in B",3.41743257308436,"CNBP","CCHC-type zinc finger nucleic acid binding protein","CNBP_HUMAN"
0.238295765455785,22.5326248200644,9.91876782896713,1.87137700088773e-05,0.00696570393411166,3.56656486194107,"TENS1_HUMAN",107,13.1388563572616,5.47756553705584e-07,0.000382443625797239,-0.238295765455785,"Non-significant",3.41743257308436,"TNS1","Tensin-1","TENS1_HUMAN"
