"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B_vs_BM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-0.58631265459071,18.8237956785706,-22.4523066633866,6.86563127263508e-08,0.000443679460867754,7.77774460973338,"SMC6_HUMAN",22,-24.1922523109887,4.59727505668129e-09,3.20981744457487e-05,0.58631265459071,"Up in BM",4.49351966699335,"SMC6","Structural maintenance of chromosomes protein 6","SMC6_HUMAN"
-0.511008369449137,20.5902499538605,-20.5737715804589,1.27092369197294e-07,0.000443679460867754,7.42490149156933,"DPEP1_HUMAN",14,-19.6934465179461,2.51908575990223e-08,8.79412838781868e-05,0.511008369449126,"Up in BM",4.05580719828941,"DPEP1","Dipeptidase 1","DPEP1_HUMAN"
-0.686403457048488,18.1200277297952,-16.6833324721115,5.52861855028571e-07,0.0010755044127618,6.46262401109735,"PGBM_HUMAN",29,-18.3664098232004,4.4721349669315e-08,0.000104081487797052,0.686403457048495,"Up in BM",3.982626508362,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
0.260114675193336,19.0038589759279,16.4263592097774,6.16158357354225e-07,0.0010755044127618,6.38518428175298,"PH4H_HUMAN",19,16.240399378493,1.22508227773562e-07,0.000213838111578752,-0.260114675193332,"Non-significant",3.66991488952345,"PAH","Phenylalanine-4-hydroxylase","PH4H_HUMAN"
-0.218773128082692,20.2171926578645,-11.7030010761572,6.42001801862433e-06,0.00448245658060351,4.5153900404174,"AGRIN_HUMAN",48,-15.5281637138728,1.76603020709929e-07,0.000215784681198315,0.218773128082692,"Non-significant",3.66597938962152,"AGRN","Agrin","AGRIN_HUMAN"
0.264655271409893,21.5972694294159,13.0851375717016,2.98497231807417e-06,0.00260513459059923,5.16488989315016,"AOFA_HUMAN",29,15.1573101383632,2.14997168250041e-07,0.000215784681198315,-0.264655271409893,"Non-significant",3.66597938962152,"MAOA","Amine oxidase [flavin-containing] A","AOFA_HUMAN"
0.438466983739882,21.6489335307241,14.3432617242771,1.58271931886753e-06,0.00221010925686662,5.67576362906719,"ST2A1_HUMAN",19,15.1457004517714,2.1634098659241e-07,0.000215784681198315,-0.438466983739886,"Non-significant",3.66597938962152,"SULT2A1","Sulfotransferase 2A1","ST2A1_HUMAN"
-0.20469708970613,20.4614131724817,-10.3914728023203,1.43901492270797e-05,0.00679404136716108,3.79612599401001,"FINC_HUMAN",89,-14.533172052715,3.02506041484623e-07,0.000264012147705705,0.20469708970613,"Non-significant",3.57837608994766,"FN1","Fibronectin","FINC_HUMAN"
-0.469522438436297,19.8501641241488,-13.906870968769,1.96029155109574e-06,0.0022811259349584,5.50638992814044,"HSPB1_HUMAN",13,-13.8299401328156,4.51964065702034e-07,0.000350623678525733,0.469522438436297,"Non-significant",3.45515875821991,"HSPB1","Heat shock protein beta-1","HSPB1_HUMAN"
0.389318720456252,19.971911029137,12.2605265877749,4.66912634744859e-06,0.00362220446198734,4.78960634981639,"HPPD_HUMAN",21,13.1567473310582,6.75893519729031e-07,0.00047190885547481,-0.389318720456252,"Non-significant",3.32614187294788,"HPD","4-hydroxyphenylpyruvate dioxygenase","HPPD_HUMAN"
-0.479322252672254,19.3154835121643,-11.4308574312733,7.53779093020225e-06,0.00478444147951565,4.37504858694082,"HPT_HUMAN",18,-12.1594028455386,1.27196087132375e-06,0.000785117457337028,0.479322252672262,"Non-significant",3.1050653658568,"HP","Haptoglobin","HPT_HUMAN"
-0.176676724726462,20.1736433440727,-8.71377657532859,4.6627424932824e-05,0.0116268814600349,2.69446238315703,"PEPL_HUMAN",100,-12.0697948646831,1.34938548955089e-06,0.000785117457337028,0.176676724726466,"Non-significant",3.1050653658568,"PPL","Periplakin","PEPL_HUMAN"
-0.24160003394832,22.6071917144347,-9.84245758096628,2.07338891053049e-05,0.00767993504878088,3.46020596005034,"FIBB_HUMAN",42,-11.7182019231686,1.70809731478417e-06,0.000912506957684844,0.24160003394832,"Non-significant",3.03976381544944,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-0.61285044064611,17.7619590475378,-10.6937490286028,1.1854577490371e-05,0.00636682000290539,3.97186042698255,"SMC5_HUMAN",24,-11.6173602711598,1.82971890684443e-06,0.000912506957684844,0.612850440646113,"Up in BM",3.03976381544944,"SMC5","Structural maintenance of chromosomes protein 5","SMC5_HUMAN"
-0.215659054554486,21.2457126233409,-10.0534202077377,1.79815908961964e-05,0.00738514515513195,3.59192331587209,"COIA1_HUMAN",26,-11.272538975869,2.32439120584963e-06,0.00101430621245263,0.215659054554486,"Non-significant",2.99383091452676,"COL18A1","Collagen alpha-1(XVIII) chain","COIA1_HUMAN"
-0.212755533191707,22.4044925510912,-9.21022524215062,3.23039163939111e-05,0.0093977476775953,3.04450651971697,"PLOD2_HUMAN",48,-11.2898887462235,2.29621749079807e-06,0.00101430621245263,0.2127555331917,"Non-significant",2.99383091452676,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
-0.248276227349095,19.8265868880514,-9.41157292955108,2.7971148804786e-05,0.00887702549795525,3.18041988970017,"ITA2_HUMAN",40,-11.0030421156363,2.8152577355322e-06,0.00115624291232269,0.248276227349095,"Non-significant",2.93695091643546,"ITGA2","Integrin alpha-2","ITA2_HUMAN"
0.276297596598212,20.9074993739157,11.2818011984575,8.24262573225694e-06,0.00479583440521816,4.29629096097786,"METK1_HUMAN",14,10.7651951408061,3.34552563109343e-06,0.00129769221979413,-0.276297596598209,"Non-significant",2.88682829913431,"MAT1A","S-adenosylmethionine synthase isoform type-1","METK1_HUMAN"
-0.49894447404904,18.0409903047517,-13.4943696110618,2.41377546544479e-06,0.00240756861424793,5.33878718693821,"NSE4A_HUMAN",6,-10.518865768255,4.01450826235945e-06,0.00147522614146283,0.49894447404904,"Non-significant",2.83114140038991,"NSMCE4A","Non-structural maintenance of chromosomes element 4 homolog A","NSE4A_HUMAN"
0.289779865850257,21.0415622815432,9.59134014771873,2.46514398802799e-05,0.0086058176622057,3.2989461008819,"FMO5_HUMAN",22,10.3509929502575,4.55531469903864e-06,0.00151453367755656,-0.289779865850253,"Non-significant",2.81972106514105,"FMO5","Flavin-containing monooxygenase 5","FMO5_HUMAN"
0.220256315577171,19.2802978032116,10.2708460421379,1.5569272683268e-05,0.00679404136716108,3.72420979856085,"RSAD1_HUMAN",18,10.3885449781688,4.4276552515655e-06,0.00151453367755656,-0.220256315577174,"Non-significant",2.81972106514105,"RSAD1","Radical S-adenosyl methionine domain-containing protein 1, mitochondrial","RSAD1_HUMAN"
-0.432873871446379,19.1452983286237,-10.3034581296658,1.52400466082257e-05,0.00679404136716108,3.7437552839825,"NSE3_HUMAN",10,-10.0724316011718,5.64057364502007e-06,0.00171228196476218,0.432873871446375,"Non-significant",2.76642471766281,"NSMCE3","Non-structural maintenance of chromosomes element 3 homolog","NSE3_HUMAN"
0.25723259685104,19.737391935526,9.03594722165318,3.6673385719325e-05,0.0102421431636931,2.92409185386906,"SRPK1_HUMAN",29,10.1188623820531,5.44128555155648e-06,0.00171228196476218,-0.257232596851036,"Non-significant",2.76642471766281,"SRPK1","SRSF protein kinase 1","SRPK1_HUMAN"
-0.141178807649304,21.1639498767233,-7.24641531659652,0.000154416171913108,0.0242222303380614,1.520232687074,"TENS3_HUMAN",52,-9.55717946400678,8.49107976267105e-06,0.00247019662095705,0.1411788076493,"Non-significant",2.60726847670061,"TNS3","Tensin-3","TENS3_HUMAN"
0.230135722399424,20.998760586273,8.34878102458672,6.17756959644167e-05,0.0143772636407852,2.42276837562674,"IGSF1_HUMAN",27,9.28367189824684,1.06314827535951e-05,0.00296916050342403,-0.230135722399424,"Non-significant",2.52736632518357,"IGSF1","Immunoglobulin superfamily member 1","IGSF1_HUMAN"
-0.155536931849213,21.0553313861983,-7.41412869714164,0.000133394227642089,0.0227160609121236,1.66605291511236,"ATG9A_HUMAN",38,-9.02806488909001,1.31839497417787e-05,0.00354039758065764,0.155536931849213,"Non-significant",2.45094796470013,"ATG9A","Autophagy-related protein 9A","ATG9A_HUMAN"
-0.134376905552287,20.3263871336559,-7.49815749849568,0.000124086076928934,0.0222145894645595,1.73791205482137,"CIP4_HUMAN",29,-8.85854018162922,1.52492363375834e-05,0.0038067764996208,0.134376905552283,"Non-significant",2.41944262038309,"TRIP10","Cdc42-interacting protein 4","CIP4_HUMAN"
-0.172888325945756,19.1806576221339,-7.90944154812815,8.78892425500684e-05,0.0185952330752902,2.0784679494211,"POP1_HUMAN",26,-8.8572429873186,1.52663623588345e-05,0.0038067764996208,0.172888325945756,"Non-significant",2.41944262038309,"POP1","Ribonucleases P/MRP protein subunit POP1","POP1_HUMAN"
-0.272432576399314,19.2569954389575,-8.86850044430816,4.1509969285977e-05,0.0107341705760997,2.80590244195938,"GPC6_HUMAN",13,-8.67733985716847,1.78615134071505e-05,0.00430031333133534,0.272432576399311,"Non-significant",2.36649989951057,"GPC6","Glypican-6","GPC6_HUMAN"
-0.185484287259893,19.013311794546,-7.70835379513423,0.000103839252461116,0.0205549371574901,1.91424107232813,"HMHA1_HUMAN",25,-8.51860118775547,2.05612370866065e-05,0.00478528524462288,0.185484287259889,"Non-significant",2.32009216938693,"ARHGAP45","Rho GTPase-activating protein 45","HMHA1_HUMAN"
