"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_BM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-0.561934700556204,20.2827943670567,-25.8345914109333,1.83432365180866e-08,6.40362386846404e-05,9.61679397923094,"FINC_HUMAN",89,-36.9673440557971,3.8445344432789e-11,2.68425394829733e-07,0.561934700556204,"Up in BM",6.57117639940951,"FN1","Fibronectin","FINC_HUMAN"
-1.21598258124376,17.8552381676975,-29.5662280437158,6.8867327381922e-09,4.8083167978058e-05,10.2364547025858,"PGBM_HUMAN",29,-33.1128359158915,1.0289135739606e-10,3.59193728669645e-07,1.21598258124377,"Up in BM",6.44467125448787,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
0.428380214277155,22.5339185000417,21.9413827037146,5.98468307244181e-08,0.000139283524039296,8.77397026105407,"FETA_HUMAN",55,31.2787436025747,1.7114223149612e-10,3.9830502010197e-07,-0.428380214277155,"Non-significant",6.39978421985518,"AFP","Alpha-fetoprotein","FETA_HUMAN"
0.383835096225738,22.8679705541536,15.8065337962534,6.31698418438109e-07,0.000538998844540793,6.82089040968754,"FAS_HUMAN",175,21.8482177002012,4.15849857799847e-09,7.25865926789633e-06,-0.383835096225745,"Non-significant",5.13914358953768,"FASN","Fatty acid synthase","FAS_HUMAN"
-0.273862956603597,20.1250502281341,-12.8884718432901,2.68767318702047e-06,0.000781888924657373,5.47548894139075,"PEPL_HUMAN",100,-18.9555875611931,1.45638063525543e-08,2.03368991907068e-05,0.273862956603597,"Non-significant",4.69171526414801,"PPL","Periplakin","PEPL_HUMAN"
-0.353115796782291,20.1500213235147,-14.3554098707667,1.25376996069218e-06,0.00055212834452606,6.19555941690466,"AGRIN_HUMAN",48,-18.0364919317663,2.2542826844117e-08,2.42803651415691e-05,0.35311579678228,"Non-significant",4.61474478638689,"AGRN","Agrin","AGRIN_HUMAN"
0.301013899327977,21.0528822280816,13.3543211117266,2.09201506479129e-06,0.000663929508289672,5.71472030098973,"AL1L1_HUMAN",60,17.8793195946989,2.43429613278407e-08,2.42803651415691e-05,-0.301013899327973,"Non-significant",4.61474478638689,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
-0.433132132100216,21.136976084568,-15.8256332476535,6.26277158976088e-07,0.000538998844540793,6.8286081962287,"COIA1_HUMAN",26,-17.5624989758029,2.84763660663367e-08,2.48527484843953e-05,0.433132132100216,"Non-significant",4.60462557531694,"COL18A1","Collagen alpha-1(XVIII) chain","COIA1_HUMAN"
0.487151713947124,20.1572752276287,15.5519570109437,7.09279182765499e-07,0.000538998844540793,6.71680584614967,"CP51A_HUMAN",18,16.0532836363884,6.24875276081131e-08,3.18240128298316e-05,-0.487151713947128,"Non-significant",4.49724505913404,"CYP51A1","Lanosterol 14-alpha demethylase","CP51A_HUMAN"
0.676235587085685,22.07449553381,14.6270862593314,1.09744828633913e-06,0.000547313138229984,6.31876044961161,"FDFT_HUMAN",28,16.3078839615402,5.44689454076647e-08,3.18240128298316e-05,-0.676235587085678,"Up in C",4.49724505913404,"FDFT1","Squalene synthase","FDFT_HUMAN"
