Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Blood Coagulation (GO:0030195)	13/30	1.375699e-14	3.459882e-11	0	0	3.612219e+01	1.152920e+03	FGB;FGA;CPB2;SERPINE1;FGG;KRT1;SERPINF2;PLG;TFPI;F2;VTN;APOH;APOE
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	19/93	8.217653e-14	1.033370e-10	0	0	1.227083e+01	3.697191e+02	EIF4A1;RPL30;RPS9;RPLP1;RPL12;RPLP0;RPL22;RPSA;RPL10A;RPS14;RPS25;RPS16;RPS18;RACK1;RPS3;RPS2;RPS27A;RPS10;RPS13
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	24/183	1.243223e-12	1.042236e-09	0	0	7.271501e+00	1.993360e+02	RPL30;RPS9;RPLP1;RPL12;RPL22;RPLP0;RPSA;RRBP1;RPL10A;EEF2;EEF1A1;EXT1;EEF1G;RPS14;RPS25;RPS16;B4GAT1;RPS18;RPS3;APOE;RPS2;RPS27A;RPS10;RPS13
GO_Biological_Process_2023	Platelet Aggregation (GO:0070527)	12/35	4.117038e-12	2.588588e-09	0	0	2.457831e+01	6.443423e+02	FGB;FGA;FGL1;ACTN1;FGG;HBB;FLNA;MYH9;TLN1;CLIC1;PPIA;FERMT3
GO_Biological_Process_2023	Fibrinolysis (GO:0042730)	8/12	1.857650e-11	9.343982e-09	0	0	9.340811e+01	2.308033e+03	FGB;FGA;FGG;KRT1;SERPINE1;SERPINF2;PLG;F2
GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	14/60	2.346352e-11	9.835127e-09	0	0	1.438983e+01	3.521994e+02	SERPINA1;LRP1;SERPIND1;SERPINF1;SERPINE1;SERPINF2;SERPINA7;SERPINA5;CST3;VTN;SPOCK2;SERPING1;GAPDH;CTSB
GO_Biological_Process_2023	Homotypic Cell-Cell Adhesion (GO:0034109)	12/46	1.552515e-10	5.577965e-08	0	0	1.661715e+01	3.753145e+02	FGB;FGA;FGL1;ACTN1;FGG;HBB;FLNA;MYH9;TLN1;CLIC1;PPIA;FERMT3
GO_Biological_Process_2023	Positive Regulation Of Blood Coagulation (GO:0030194)	9/21	1.984800e-10	6.239715e-08	0	0	3.509749e+01	7.840896e+02	VTN;APOH;SERPINE1;SERPINF2;CNTN1;PLG;EMILIN1;F2;THBS1
GO_Biological_Process_2023	Translation (GO:0006412)	24/234	2.385387e-10	6.665831e-08	0	0	5.491102e+00	1.216636e+02	RPL30;RPS9;RARS1;RPLP1;RPL12;RPL22;RPLP0;RPSA;RRBP1;RPL10A;EEF2;EEF1A1;EEF1G;RPS14;RPS25;RPS16;RPS18;RACK1;RPS3;RPS2;RPS27A;RPS10;RPS13;VARS1
GO_Biological_Process_2023	Negative Regulation Of Endopeptidase Activity (GO:0010951)	13/66	1.169447e-09	2.902140e-07	0	0	1.156504e+01	2.378550e+02	SERPINA1;SERPIND1;SERPINF1;SERPINE1;SERPINF2;SERPINA7;SERPINA5;CST3;VTN;SPOCK2;SERPING1;GAPDH;LTF
