Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Blood Coagulation (GO:0030195),13/30,1.3756986095097407e-14,3.459882002916998e-11,0,0,36.12219380505825,1152.9203540608112,FGB;FGA;CPB2;SERPINE1;FGG;KRT1;SERPINF2;PLG;TFPI;F2;VTN;APOH;APOE
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),19/93,8.21765253028918e-14,1.0333698056838643e-10,0,0,12.270833333333334,369.7190636350393,EIF4A1;RPL30;RPS9;RPLP1;RPL12;RPLP0;RPL22;RPSA;RPL10A;RPS14;RPS25;RPS16;RPS18;RACK1;RPS3;RPS2;RPS27A;RPS10;RPS13
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),24/183,1.2432232855073689e-12,1.042235521017011e-09,0,0,7.2715014747881455,199.33595089057275,RPL30;RPS9;RPLP1;RPL12;RPL22;RPLP0;RPSA;RRBP1;RPL10A;EEF2;EEF1A1;EXT1;EEF1G;RPS14;RPS25;RPS16;B4GAT1;RPS18;RPS3;APOE;RPS2;RPS27A;RPS10;RPS13
GO_Biological_Process_2023,Platelet Aggregation (GO:0070527),12/35,4.1170382485875695e-12,2.588587798799434e-09,0,0,24.57831325301205,644.3422849261915,FGB;FGA;FGL1;ACTN1;FGG;HBB;FLNA;MYH9;TLN1;CLIC1;PPIA;FERMT3
GO_Biological_Process_2023,Fibrinolysis (GO:0042730),8/12,1.8576504012191318e-11,9.343981518132234e-09,0,0,93.40811455847256,2308.032644029357,FGB;FGA;FGG;KRT1;SERPINE1;SERPINF2;PLG;F2
GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),14/60,2.3463523183530078e-11,9.835126801096361e-09,0,0,14.389830508474576,352.1993629779525,SERPINA1;LRP1;SERPIND1;SERPINF1;SERPINE1;SERPINF2;SERPINA7;SERPINA5;CST3;VTN;SPOCK2;SERPING1;GAPDH;CTSB
GO_Biological_Process_2023,Homotypic Cell-Cell Adhesion (GO:0034109),12/46,1.5525152360764115e-10,5.577965455331679e-08,0,0,16.61715095676825,375.31454912261546,FGB;FGA;FGL1;ACTN1;FGG;HBB;FLNA;MYH9;TLN1;CLIC1;PPIA;FERMT3
GO_Biological_Process_2023,Positive Regulation Of Blood Coagulation (GO:0030194),9/21,1.9848000366119147e-10,6.239715115098708e-08,0,0,35.09748803827751,784.0895617485137,VTN;APOH;SERPINE1;SERPINF2;CNTN1;PLG;EMILIN1;F2;THBS1
GO_Biological_Process_2023,Translation (GO:0006412),24/234,2.3853869362521157e-10,6.665831271860079e-08,0,0,5.491102445941156,121.66355413354906,RPL30;RPS9;RARS1;RPLP1;RPL12;RPL22;RPLP0;RPSA;RRBP1;RPL10A;EEF2;EEF1A1;EEF1G;RPS14;RPS25;RPS16;RPS18;RACK1;RPS3;RPS2;RPS27A;RPS10;RPS13;VARS1
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),13/66,1.1694468712930223e-09,2.902140008381729e-07,0,0,11.565035092516634,237.8550115451224,SERPINA1;SERPIND1;SERPINF1;SERPINE1;SERPINF2;SERPINA7;SERPINA5;CST3;VTN;SPOCK2;SERPING1;GAPDH;LTF
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),19/158,1.2693256497892251e-09,2.902140008381729e-07,0,0,6.510897164621245,133.37429642301862,RPL30;RPS9;RPLP1;RPL12;RPL22;RPLP0;RPSA;RRBP1;RPL10A;EEF1A1;RPS14;RPS25;RPS16;RPS18;RPS3;RPS2;RPS27A;RPS10;RPS13
GO_Biological_Process_2023,Regulation Of Endopeptidase Activity (GO:0052548),13/69,2.085710380477718e-09,4.371301339084551e-07,0,0,10.943797446514838,218.74633420110405,SERPINA1;SERPIND1;AHSG;SERPINF1;SERPINE1;SERPINF2;SERPINA7;SERPINA5;VTN;SPOCK2;PSME2;SERPING1;GAPDH
