Term,k,M,enrichment_ratio,Adjusted P-value,minus_log10_p
Negative Regulation Of Blood Coagulation (GO:0030195),13,30,0.43333333333333335,3.459882002916998e-11,10.460938712292734
Cytoplasmic Translation (GO:0002181),19,93,0.20430107526881722,1.0333698056838643e-10,9.9857442323747
Macromolecule Biosynthetic Process (GO:0009059),24,183,0.13114754098360656,1.042235521017011e-09,8.982034129481677
Platelet Aggregation (GO:0070527),12,35,0.34285714285714286,2.588587798799434e-09,8.586937100186681
Fibrinolysis (GO:0042730),8,12,0.6666666666666666,9.343981518132234e-09,8.029468029240785
Negative Regulation Of Peptidase Activity (GO:0010466),14,60,0.23333333333333334,9.835126801096361e-09,8.00722003649081
Homotypic Cell-Cell Adhesion (GO:0034109),12,46,0.2608695652173913,5.57796545533168e-08,7.253524179672924
Positive Regulation Of Blood Coagulation (GO:0030194),9,21,0.42857142857142855,6.239715115098708e-08,7.204835238324784
Translation (GO:0006412),24,234,0.10256410256410256,6.665831271860079e-08,7.1761456835689055
Peptide Biosynthetic Process (GO:0043043),19,158,0.12025316455696203,2.902140008381729e-07,6.537281639658148
Negative Regulation Of Endopeptidase Activity (GO:0010951),13,66,0.19696969696969696,2.902140008381729e-07,6.537281639658148
Regulation Of Endopeptidase Activity (GO:0052548),13,69,0.18840579710144928,4.371301339084551e-07,6.359389254047824
Supramolecular Fiber Organization (GO:0097435),26,316,0.08227848101265822,9.61445029768135e-07,6.017075541327558
Protein Activation Cascade (GO:0072376),7,14,0.5,9.734974493164191e-07,6.011665182047653
"Blood Coagulation, Fibrin Clot Formation (GO:0072378)",7,14,0.5,9.734974493164191e-07,6.011665182047653
Positive Regulation Of Establishment Of Protein Localization To Telomere (GO:1904851),6,9,0.6666666666666666,1.1408312610464845e-06,5.94277858679623
Extracellular Matrix Organization (GO:0030198),19,176,0.10795454545454546,1.1408312610464845e-06,5.94277858679623
Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),11,51,0.21568627450980393,1.1408312610464845e-06,5.94277858679623
Positive Regulation Of DNA Biosynthetic Process (GO:2000573),12,65,0.18461538461538463,1.4747182942049997e-06,5.831290932198877
Positive Regulation Of Telomere Maintenance Via Telomerase (GO:0032212),9,32,0.28125,1.9338061221416747e-06,5.713587069190309
