"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBVM_vs_Null","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.47368957777957,19.5357227912028,9.67314228997304,2.04935637133647e-06,0.00457757901477523,4.9548130996707,"P10586",30,11.2142592252586,3.26627458911346e-07,0.00178498255961503,-0.47368957777957,"Non-significant",2.74836602285709,"PTPRF","Receptor-type tyrosine-protein phosphatase F","P10586"
-0.440128855307286,17.7753305945461,-9.89185838901608,1.66886473244918e-06,0.00457757901477523,5.11088448205522,"P25205",11,-10.6424650272164,5.45578600666776e-07,0.00178498255961503,0.440128855307286,"Non-significant",2.74836602285709,"MCM3","DNA replication licensing factor MCM3","P25205"
-0.528353901765175,17.8540609882563,-10.0702349610497,1.41539976777835e-06,0.00457757901477523,5.2347146856567,"Q14566",8,-10.2332202242399,7.9912664958142e-07,0.00178498255961503,0.528353901765175,"Up in Null",2.74836602285709,"MCM6","DNA replication licensing factor MCM6","Q14566"
-0.521249466712582,17.5711366066586,-8.82548785723808,4.71678158736247e-06,0.00790178835422898,4.30289563727067,"P33993",10,-9.21755950912738,2.18248111863637e-06,0.00365620149399557,0.521249466712572,"Up in Null",2.43696987822292,"MCM7","DNA replication licensing factor MCM7","P33993"
0.467522021177501,23.4106658497585,7.80511080179065,1.40517113651927e-05,0.0134515025511651,3.4077363264229,"CATD_HUMAN",26,8.61064259480166,4.15362134060294e-06,0.00556668332067606,-0.467522021177501,"Non-significant",2.25440348427863,"CTSD","Cathepsin D","CATD_HUMAN"
-0.62369626114786,17.5887188207104,-8.10499431765532,1.00857739342712e-05,0.0117310229007375,3.68433391311419,"P06493",4,-7.67139153982874,1.2084819612192e-05,0.0134967293702164,0.623696261147852,"Up in Null",1.86977146028696,"CDK1","Cyclin-dependent kinase 1","P06493"
-0.414805778183958,22.2894777201627,-6.72613015643717,5.03184803304741e-05,0.0337184136694507,2.3098176899515,"P02771",45,-7.53293477567016,1.42592943928133e-05,0.0136502188180345,0.414805778183954,"Non-significant",1.86486038666694,"AFP","Alpha-fetoprotein","P02771"
0.340208888425767,18.1092214783728,6.3607326081702,8.00064915999816e-05,0.0487385000192252,1.8987529673767,"Q02388",16,6.96066522791414,2.89308102343459e-05,0.024233169922544,-0.340208888425767,"Non-significant",1.61558977241537,"COL7A1","Collagen alpha-1(VII) chain","Q02388"
-0.286100815481703,21.0266429804428,-5.87522217183812,0.000152207343257053,0.0592371464696906,1.31961462029454,"O95954",30,-6.82187595268062,3.45513146568417e-05,0.0257253732794996,0.286100815481706,"Non-significant",1.58963831483372,"FTCD","Formimidoyltransferase-cyclodeaminase","O95954"
0.349849276622564,18.4243798313924,6.10138652758212,0.000112362885213496,0.0561454157565699,1.59415917389845,"O43157",19,6.67878250169273,4.15963803941337e-05,0.027873734502109,-0.349849276622564,"Non-significant",1.55480484093847,"PLXNB1","Plexin-B1","O43157"
-0.513898806306234,24.9753257670278,-5.95784513875441,0.000136123279325244,0.0591649471060016,1.42088562675022,"ALBU_BOVIN",54,-6.39820883509617,6.03086115393859e-05,0.0288662861375303,0.513898806306234,"Up in Null",1.53960908774135,"ALB","Albumin","ALBU_BOVIN"
0.266232271881822,23.5336002504899,5.72960952384792,0.000185740309736637,0.0599227091966891,1.13838648483372,"O00584",16,6.41458765897422,5.89983288012889e-05,0.0288662861375303,-0.266232271881822,"Non-significant",1.53960908774135,"RNASET2","Ribonuclease T2","O00584"
0.293073579012155,19.6574332129702,5.67053957583712,0.000201533561381659,0.0599227091966891,1.06386248654796,"Q14764",32,6.50645983486154,5.21930393633951e-05,0.0288662861375303,-0.293073579012162,"Non-significant",1.53960908774135,"MVP","Major vault protein","Q14764"
0.449054072139777,19.1269331126424,6.28979854250099,8.77173425179835e-05,0.0489828260177506,1.81651661414789,"Q9Y625",8,6.42036484296051,5.85434776138111e-05,0.0288662861375303,-0.449054072139781,"Non-significant",1.53960908774135,"GPC6","Glypican-6","Q9Y625"
0.570295902604691,19.9429709750146,6.06902010066296,0.000117301271540364,0.0561454157565699,1.55538262806551,"P04792",10,6.27105969761232,7.16075025009036e-05,0.0319894582839036,-0.570295902604691,"Up in HBVM",1.49499311428611,"HSPB1","Heat shock protein beta-1","P04792"
0.461039686090682,20.7716641295646,5.58160982658685,0.000228088075060698,0.0599227091966891,0.950566382286059,"P06727",35,5.9762979821037,0.000107514764685099,0.035925251711357,-0.461039686090686,"Non-significant",1.44460018028572,"APOA4","Apolipoprotein A-IV","P06727"
