"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","Null_vs_M","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.596743827318878,17.6970231085403,21.5652276132376,1.24839631070673e-09,8.36550367804583e-06,9.97520830664751,"P25205",11,20.8242836355941,5.79678780773724e-11,3.88442750996473e-07,-0.596743827318885,"Up in Null",6.41067297881518,"MCM3","DNA replication licensing factor MCM3","P25205"
0.772350280016706,18.1684904517039,13.9724594494523,7.95778776925263e-08,0.000135132766636136,7.6423841721229,"P11388",9,14.6289846923856,3.80273246371149e-09,1.27410551196654e-05,-0.772350280016703,"Up in Null",4.89479460546423,"TOP2A","DNA topoisomerase 2-alpha","P11388"
0.489567101396595,18.2194214118677,15.5058483994529,2.96725147933989e-08,9.94177608152829e-05,8.28139886101373,"P49736",8,13.9651961776758,6.53190132352288e-09,1.45900902563089e-05,-0.489567101396606,"Non-significant",4.83594202149273,"MCM2","DNA replication licensing factor MCM2","P49736"
0.643970203456785,17.5097762382865,12.6893347242189,1.96634116176873e-07,0.000263529042500245,7.01208028445758,"P33993",10,13.3389950758945,1.11166611547672e-08,1.48985492796189e-05,-0.643970203456778,"Up in Null",4.82685601820046,"MCM7","DNA replication licensing factor MCM7","P33993"
0.542822184675433,17.8468268468012,13.9523891548824,8.0664239150059e-08,0.000135132766636136,7.63324433761264,"Q14566",8,13.3895579452665,1.06408353632518e-08,1.48985492796189e-05,-0.542822184675433,"Up in Null",4.82685601820046,"MCM6","DNA replication licensing factor MCM6","Q14566"
-0.245582751434547,20.6639356622365,-7.73624424873996,1.70398103970426e-05,0.0103803426791439,3.3752835511497,"P06727",35,-9.30999504162982,6.35581244504937e-07,0.000709838319904597,0.245582751434551,"Non-significant",3.14884055940671,"APOA4","Apolipoprotein A-IV","P06727"
0.489843516989104,18.3343478320906,9.36272626941227,3.19118557645337e-06,0.00305487636397343,4.83103955606498,"P33992",6,9.04697585548795,8.67142918610786e-07,0.000830103528230125,-0.489843516989104,"Non-significant",3.08086774023212,"MCM5","DNA replication licensing factor MCM5","P33992"
0.635730680323228,18.2253506412215,8.36464159630382,8.65784394209391e-06,0.00725202653199641,3.97473081609328,"P33991",5,8.47220305991434,1.75206891894922e-06,0.00146757672823484,-0.635730680323224,"Up in Null",2.83339918358775,"MCM4","DNA replication licensing factor MCM4","P33991"
-0.246071092194953,18.9156390809714,-7.0926493783708,3.56131556916627e-05,0.0159095837526554,2.70771803733389,"O43278",15,-7.65491908732738,5.0685720472059e-06,0.00308768193530243,0.246071092194946,"Non-significant",2.51036744306993,"SPINT1","Kunitz-type protease inhibitor 1","O43278"
0.843999398073208,17.4785672522477,7.33388340704373,2.68686573984524e-05,0.0138497594790023,2.96458685609127,"P06493",4,7.69184486724449,4.82300939967822e-06,0.00308768193530243,-0.843999398073212,"Up in Null",2.51036744306993,"CDK1","Cyclin-dependent kinase 1","P06493"
