BF_1,BF_2,BF_3,BF_4,BFM_1,BFM_2,BFM_3,BFM_4,CF_1,CF_2,CF_3,CF_4,CFM_1,CFM_2,CFM_3,CFM_4,Protein.Names,Peptides,Genes,First.Protein.Description
16.862806837152633,17.54189066576621,17.29972675146028,17.512593877639443,17.439838998469018,17.4354261019016,17.35438714227391,17.68220594278731,16.84997923014644,18.35828203305084,17.342517453514308,17.14167809498296,16.462697166407875,17.220614499792564,17.512076853166914,17.254908659995206,ZPI_HUMAN,3,SERPINA10,Protein Z-dependent protease inhibitor
19.546715513257787,19.657456277880556,19.752343075880333,19.49184722597658,19.79981281923911,19.690177055457703,19.74646839643485,19.78259035913288,19.699469092044822,19.473194419178586,19.523228839549702,19.55610934281875,19.702597147948808,19.629623429095147,19.773829796064497,19.865944663147932,ZA2G_HUMAN,17,AZGP1,Zinc-alpha-2-glycoprotein
16.612033362656497,16.49746984883668,16.923501590078168,16.74752429493334,15.55538300263028,17.35300894667723,17.13451656605935,16.733637678128723,16.566572889213298,16.15086783657186,17.135348567252443,16.815833567360826,16.460297500894267,15.891479945970975,16.00431484597012,16.118245586431204,XRCC6_HUMAN,5,XRCC6,X-ray repair cross-complementing protein 6
16.13380046043731,15.70879022354086,16.159333299747164,15.433572401548535,15.974775308097293,14.10499999236494,15.058482236878946,14.809446600953146,16.85761658310544,15.908115802440587,16.23300169589174,15.44114483614265,15.990126128987145,15.885896521954265,15.780690980069172,15.811505148348477,XRCC5_HUMAN,2,XRCC5,X-ray repair cross-complementing protein 5
15.54799703475283,14.180251067701288,15.306980174935083,16.2597451023609,14.955459206381189,14.974333919959692,15.543285623296498,15.643574385878743,15.73506675733844,14.964119717031233,15.67371761933703,16.37572164413457,16.012238238024988,15.914728478878285,15.58128592159282,16.43109110344692,XPO2_HUMAN,2,CSE1L,Exportin-2
17.908275331354655,17.850827789923464,17.82873153268301,17.631056238580243,17.819436926737065,17.655712390223222,17.753947941699852,17.68765589470439,17.803708609973143,18.018564241208363,17.850540922678977,17.603894333613265,17.80593905598972,17.815777291102147,17.90538700501813,17.966020957403202,WDR1_HUMAN,5,WDR1,WD repeat-containing protein 1
16.780578212855122,17.170443455075727,16.952274861763836,16.941529097001947,17.179082957253158,17.311446776122374,17.296620512973625,17.32982261083697,16.79744621997384,17.02386262065862,17.018656600638234,17.181016337655148,16.96367505627494,16.76284915706995,16.771283119641005,16.940657710454907,VWA1_HUMAN,5,VWA1,von Willebrand factor A domain-containing protein 1
22.600595334833805,22.75123675282063,22.554498920244352,22.43237062238133,22.450103708306354,22.509299500814254,22.521332056309152,22.342994815050638,22.48983620337991,22.60512499331432,22.563836784823685,22.452619306225138,22.74303959985401,22.7695118112152,22.709777145722263,22.730655875398178,VTNC_HUMAN,14,VTN,Vitronectin
24.522529810666775,24.44253048860155,24.436188961727726,24.51050728241756,24.473826619091092,24.448844262533754,24.492283523798655,24.504458237744757,18.644511171144224,24.448844262533754,24.23169229389319,24.384427534037986,24.48615742100181,24.563836784823685,24.51050728241756,24.569642406504894,VTDB_HUMAN,11,GC,Vitamin D-binding protein
14.484199823548309,15.152340305131535,14.883249457485434,14.89714113853626,15.468429948181083,13.731616025902706,14.41688986979783,14.210595250268323,16.225838176810708,14.489528134279032,14.176032862950771,15.453707903965835,13.935358452088233,14.348983977581925,14.766730764118755,14.929031813737216,VPS35_HUMAN,2,VPS35,Vacuolar protein sorting-associated protein 35
20.396236836327617,20.342994815050638,20.82687119065748,20.627562382434075,19.91831879383187,20.35380157000722,20.4971657451784,20.82687119065748,20.467621469564385,19.857835241364203,20.385744462509976,20.688591815831632,19.871661632393455,19.86823929540719,20.264992303049365,20.029179365950597,VNN1_HUMAN,5,VNN1,Pantetheinase
