Term,k,M,enrichment_ratio,Adjusted P-value,minus_log10_p
Complement and coagulation cascades,38,85,0.4470588235294118,1.303599323863915e-38,37.88485587346176
ECM-receptor interaction,24,88,0.2727272727272727,3.522535049130778e-18,17.453144676978475
Coronavirus disease,34,232,0.14655172413793102,5.356807163658278e-17,16.271093987240448
Focal adhesion,26,201,0.12935323383084577,1.2124739385614392e-11,10.916327587538563
Systemic lupus erythematosus,21,135,0.15555555555555556,5.5739310093625616e-11,10.253838411015353
Prion disease,26,273,0.09523809523809523,8.959239992637642e-09,8.04772882973553
Glycolysis / Gluconeogenesis,13,67,0.19402985074626866,4.923299582326914e-08,7.307743736643886
Staphylococcus aureus infection,15,95,0.15789473684210525,4.923299582326914e-08,7.307743736643886
Proteasome,11,46,0.2391304347826087,6.936928857969985e-08,7.158832759406983
PI3K-Akt signaling pathway,28,354,0.07909604519774012,7.539203057150748e-08,7.122674559458357
Salmonella infection,22,249,0.08835341365461848,4.839689888115579e-07,6.315182465668607
Ribosome,17,158,0.10759493670886076,1.0466441360453443e-06,5.980200955401063
Cholesterol metabolism,10,50,0.2,1.5660191642685037e-06,5.805202927536611
Amyotrophic lateral sclerosis,26,364,0.07142857142857142,1.5660191642685037e-06,5.805202927536611
Phagosome,16,152,0.10526315789473684,2.8132529941737982e-06,5.550791210233293
Human papillomavirus infection,24,331,0.07250755287009064,3.282446019815872e-06,5.483802407200056
Parkinson disease,20,249,0.08032128514056225,6.4541572682079165e-06,5.19016045636584
Neutrophil extracellular trap formation,17,189,0.08994708994708994,9.322768620509213e-06,5.0304550942928365
Protein processing in endoplasmic reticulum,16,171,0.0935672514619883,1.1097714159751964e-05,4.954766465360843
Malaria,9,50,0.18,1.2121519099904964e-05,4.916442949859129
