"CTRL_2","CTRL_3","CTRL_4","CTRL.myr_1","CTRL.myr_2","CTRL.myr_3","CTRL.myr_4","HBV_1","HBV_2","HBV_3","HBV_4","HBV.myr_1","HBV.myr_2","HBV.myr_3","HBV.myr_4","Pval","adjPval","negLog10_sca_adjPval","HBV.myr_vs_HBV","Diff_Abund","Protein_Names","Genes","ProtDesc"
17.8803607667855,18.0709647162231,17.8588430703842,17.8154583508312,17.8932541229102,17.5593994980167,17.9408297363349,18.0155566142481,17.5454622649783,17.9434706245144,18.0279545778856,17.8324203104195,18.1022679298502,17.979056703684,17.7139100305961,0.872926697041022,0.993250064670355,0.00294139799575335,-0.0238027232308475,"Non-significant","ZN536_HUMAN","ZNF536","Zinc finger protein 536"
17.515522754831,16.9909238469406,17.7020779675084,15.5481114614684,16.7170203574133,17.5222290282818,16.7357939855056,16.4216079368133,16.2502410435791,17.2306772169508,17.2620856669574,15.0235854399935,16.2167382809956,16.5156413261562,16.7672404529928,0.214151349374116,0.74736786131282,0.12646558183372,0.660351591040623,"Non-significant","Z324A_HUMAN;Z324B_HUMAN","ZNF324;ZNF324B","Zinc finger protein 324A"
19.4326234541975,17.6635233594863,15.2489504438598,17.0404716734024,17.182404053075,15.3958621051266,15.0766527837363,15.319686231745,15.9003857036664,15.2920160056387,14.9911054877026,16.0518822850642,16.7886673603711,15.1680139185779,16.2715797460826,0.136815291176081,0.602367323650248,0.220138595146151,-0.694237470335773,"Non-significant","ZG16B_HUMAN","ZG16B","Zymogen granule protein 16 homolog B"
20.1010446624755,20.1199948152504,20.2252215610034,19.2885394378765,19.6251219868381,19.9664603895128,19.8885663847419,18.9778416896236,18.9578162274006,19.5826804361398,19.6778572547969,18.6136168279026,18.9759514968231,19.2290440939868,19.5239141335373,0.463295882952,0.943011885665107,0.0254828334066381,0.213417263927774,"Non-significant","1433Z_HUMAN","YWHAZ","14-3-3 protein zeta/delta"
16.9155059622319,16.7619666953821,16.623152758715,16.2395202170641,15.8551921159024,16.958292154953,16.7878005552877,14.9652206218142,15.5655335129797,16.4061551693849,16.106111005148,15.4609805569004,14.6755711750624,15.6318960636217,16.2249286938701,0.58111225179796,0.975544899710209,0.0107527372918758,0.262410954968049,"Non-significant","1433T_HUMAN","YWHAQ","14-3-3 protein theta"
14.5787323767252,14.6558940344178,14.94011626849,15.2236472898163,14.4534244537354,14.8002376366358,13.7780565898812,14.3227238936233,13.0203150212645,13.9774498738427,15.1317163167035,13.5207168865426,14.0867913942488,13.8381993794933,13.5661967779803,0.479786306819067,0.943011885665107,0.0254828334066381,0.360075166792249,"Non-significant","1433F_HUMAN","YWHAH","14-3-3 protein eta"
18.9175410771249,18.7413386012656,18.9821831007876,18.0028864191593,18.2411266303692,18.807826568796,18.736834606233,17.5578226553731,17.4626220874837,18.3472666716652,18.2602855697827,17.2431646838926,17.5850872400778,17.9361663177857,18.3238420235841,0.694317345955072,0.989948719645088,0.00438730171758423,0.134934179741126,"Non-significant","1433G_HUMAN","YWHAG","14-3-3 protein gamma"
18.7247869438525,18.5735658324403,18.7044372956583,17.9099985263773,18.2506315140807,18.7931492206793,18.7174220656747,17.4775527486994,17.6747164080391,18.3585911102393,18.3899127731149,17.1864624876188,17.6493684626122,17.9456838693044,18.0217553613097,0.398585762895036,0.925931446555573,0.0334211661093573,0.274375714811899,"Non-significant","1433E_HUMAN","YWHAE","14-3-3 protein epsilon"
18.804320120451,18.6633357234784,18.8352362417771,17.8731076238746,18.238549352402,18.6531844648359,18.4886521688372,17.6175105113293,17.3820075750296,18.1568977997816,18.3447596806288,17.279855386094,17.4584626870473,17.8121835741632,18.2082391220914,0.565067981903759,0.975544899710209,0.0107527372918758,0.185608699343351,"Non-significant","1433B_HUMAN","YWHAB","14-3-3 protein beta/alpha"
15.8943630608697,15.067568808829,14.3515121137501,16.7335714827564,16.6167067734849,16.7200839024169,16.6451940070832,13.9799878009942,14.2041966673844,14.4126756899541,15.5161001207682,16.4393845168615,16.5234532230322,16.1807095015011,17.547369031868,0.00340040381459894,0.148684666254357,0.827733817654881,-2.14448899854047,"Non-significant","YKT6_HUMAN","YKT6","Synaptobrevin homolog YKT6"
15.6588557976915,14.4409794413446,13.9138430853114,13.1477248502902,14.8804062086736,13.5796223598653,14.3885824096444,14.6197270802614,14.3206595436486,13.5634703868377,13.7324218467981,14.3070869376351,14.0014697715255,14.4987308049655,14.4036778111363,0.416606010414014,0.933221740707544,0.0300151522621924,-0.24367161692915,"Non-significant","XRCC6_HUMAN","XRCC6","X-ray repair cross-complementing protein 6"
13.74856663,13.78605938,13.63450813,13.44041348,14.59779263,14.53308487,12.67523003,18.0686943198255,17.8900029644106,18.5143287991837,17.1824816480914,12.9205519752767,13.5424394394633,15.1313264604959,14.3407680929593,0.0010279315207629,0.0814635730204602,1.08903654552624,3.930105440829,"Non-significant","XPP3_HUMAN","XPNPEP3","Xaa-Pro aminopeptidase 3"
17.380258121093,17.409075975223,17.0210341778029,17.5540866627645,17.4126938809634,16.9894721144663,17.1176431013891,17.2029464336873,17.1966117311397,17.3648528135774,17.5982488213099,17.2864314191904,17.3435153930119,17.1772637982535,17.3414840758364,0.627745792117756,0.975544899710209,0.0107527372918758,0.0534912783555228,"Non-significant","WNK1_HUMAN","WNK1","Serine/threonine-protein kinase WNK1"
17.9897381900446,17.7804308333224,18.0315719849545,16.9445748118362,17.3724570004179,18.1093256634433,17.9075127176147,16.6378418339613,16.2098169636424,17.307698891328,17.2059841098455,16.5488730712191,16.849319572792,16.8453430296924,17.4220236903147,0.818106775572764,0.993250064670355,0.00294139799575335,-0.0760543913102509,"Non-significant","WDR1_HUMAN","WDR1","WD repeat-containing protein 1"
21.4851600819895,21.5600762269453,21.4303045093802,22.2407855103243,22.1162836699875,21.8521972523815,22.0675466205085,22.3886716361582,22.3725606202575,22.1460446778921,22.2966283541246,22.2862576802983,22.0516152153292,22.3514552836914,22.5530648808714,0.93804884735798,0.993250064670355,0.00294139799575335,-0.00962194293947505,"Non-significant","VTNC_HUMAN","VTN","Vitronectin"
16.406312977587,16.5632290495324,16.0386554025214,17.1286790840369,16.7346831621076,15.8640990694986,16.2539859433923,16.6378418339613,16.586545156831,16.9853416555236,17.0110524998006,16.6982298751437,16.1082773708278,16.3720063003864,16.4636872036868,0.054832118663354,0.477141693911661,0.32135263197471,0.394645099017954,"Non-significant","VPS45_HUMAN","VPS45","Vacuolar protein sorting-associated protein 45"
15.5100038086983,14.7379391551992,15.4047856662031,15.3224598497852,15.0791097277041,15.573673811787,15.0018435762792,14.08842387578,13.8926566492203,14.7300083414303,14.5050858069305,13.5207168865426,14.3998720258739,13.0944884586893,15.1287515693359,0.61526227771034,0.975544899710209,0.0107527372918758,0.26808643322985,"Non-significant","VPS35_HUMAN","VPS35","Vacuolar protein sorting-associated protein 35"
18.1052793606248,18.1336891011608,17.7814621740226,18.3119123611599,18.0353146098244,18.0107684767579,17.9671868490145,17.8613171564865,17.8498082368295,18.1431290696763,18.1887868240915,18.0374128961758,18.0154313871565,17.8652258029293,17.8068516621924,0.487867347788888,0.943011885665107,0.0254828334066381,0.0795298846574504,"Non-significant","VNN2_HUMAN","VNN2","Vascular non-inflammatory molecule 2"
19.6856556346299,20.1552753052797,19.7621857389925,19.7002906940923,20.0153469888548,19.8947215654349,19.6618928909874,19.6270190431107,19.3931327504571,19.7303457455467,19.8001905462292,19.3892994287965,19.4703331760903,19.3617596224064,19.5556170439101,0.116675009488946,0.599772616345879,0.222013366588101,0.193419703535099,"Non-significant","VNN1_HUMAN","VNN1","Pantetheinase"
15.0218388434849,15.4685794988937,15.3198767140107,15.4867721850448,14.2008909441481,14.1739659586707,15.7509738559366,15.3858287050163,15.2346939586752,15.4686049527903,15.3685985367798,15.3416890734523,15.6835292426821,14.6341871084509,14.7302153715996,0.367217660457489,0.907075311935252,0.0423566531824017,0.267026339269174,"Non-significant","VIME_HUMAN","VIM","Vimentin"
16.059194453981,16.1004097959982,16.0193387906809,14.6939551475749,15.5896014096587,14.7312182510133,15.2609011618181,16.5220726733043,14.8565860136862,16.0628282570934,16.2316993242681,14.9034911884378,16.6552511906828,15.5067135764142,14.3946837444298,0.401173444712512,0.925931446555573,0.0334211661093573,0.553261642096849,"Non-significant","VDAC3_HUMAN","VDAC3","Voltage-dependent anion-selective channel protein 3"
18.6632662224671,18.5347550218284,18.7654803583536,17.9721440280164,18.2645525575485,18.9942401693598,18.5394996293662,17.335329287314,16.9417812422785,18.0365546312378,18.1292477944681,17.2795652422266,17.5951554773453,17.9371841367311,18.6361112431022,0.559778805517429,0.975544899710209,0.0107527372918758,-0.251275786026703,"Non-significant","TERA_HUMAN","VCP","Transitional endoplasmic reticulum ATPase"
