"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007596","GO:0007596","blood coagulation","10/31","224/18614",1.85227699078728e-12,8.10001726411584e-10,4.85527350626827e-10,"7057/2243/2267/2244/2266/2162/81027/348/2192/83706",10
"GO:0050817","GO:0050817","coagulation","10/31","229/18614",2.30829543509917e-12,8.10001726411584e-10,4.85527350626827e-10,"7057/2243/2267/2244/2266/2162/81027/348/2192/83706",10
"GO:0007599","GO:0007599","hemostasis","10/31","230/18614",2.410719423844e-12,8.10001726411584e-10,4.85527350626827e-10,"7057/2243/2267/2244/2266/2162/81027/348/2192/83706",10
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","5/31","15/18614",2.70977409232527e-11,6.82863071265968e-09,4.09318507630185e-09,"2243/2244/2266/2162/2192",5
"GO:0072376","GO:0072376","protein activation cascade","5/31","18/18614",7.70440588535887e-11,1.55320822648835e-08,9.3101662698863e-09,"2243/2244/2266/2162/2192",5
"GO:0050878","GO:0050878","regulation of body fluid levels","10/31","361/18614",2.05302993525375e-10,3.44909029122629e-08,2.06743716286956e-08,"7057/2243/2267/2244/2266/2162/81027/348/2192/83706",10
"GO:0042060","GO:0042060","wound healing","10/31","439/18614",1.36901874359896e-09,1.9713869907825e-07,1.18167933658015e-07,"7057/2243/2267/2244/2266/2162/81027/348/2192/83706",10
"GO:0030168","GO:0030168","platelet activation","7/31","133/18614",1.84855765984668e-09,2.2510761727167e-07,1.34932928481557e-07,"2243/2267/2244/2266/81027/348/83706",7
"GO:0070527","GO:0070527","platelet aggregation","6/31","73/18614",2.00988943992563e-09,2.2510761727167e-07,1.34932928481557e-07,"2243/2267/2244/2266/81027/83706",6
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","6/31","97/18614",1.13484430124303e-08,1.14392305565297e-06,6.85684872540526e-07,"2243/2267/2244/2266/81027/83706",6
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","6/31","100/18614",1.36425184411433e-08,1.2501507807884e-06,7.49359386145093e-07,"2243/2335/2244/2266/2192/83706",6
"GO:0030195","GO:0030195","negative regulation of blood coagulation","5/31","50/18614",1.83546160912159e-08,1.54178775166213e-06,9.24171020733149e-07,"7057/2243/2244/2266/348",5
"GO:1900047","GO:1900047","negative regulation of hemostasis","5/31","51/18614",2.03259763743965e-08,1.57604493733782e-06,9.44705298696648e-07,"7057/2243/2244/2266/348",5
"GO:0050819","GO:0050819","negative regulation of coagulation","5/31","54/18614",2.72690794779189e-08,1.96337372241016e-06,1.1768760616786e-06,"7057/2243/2244/2266/348",5
"GO:0031639","GO:0031639","plasminogen activation","4/31","26/18614",9.16992468644188e-08,5.70432560307522e-06,3.41925949891936e-06,"7057/2243/2244/2266",4
"GO:0031589","GO:0031589","cell-substrate adhesion","8/31","359/18614",9.48385133260948e-08,5.70432560307522e-06,3.41925949891936e-06,"7057/2243/2267/2335/2244/2266/2192/83706",8
"GO:0030193","GO:0030193","regulation of blood coagulation","5/31","70/18614",1.0243096027623e-07,5.70432560307522e-06,3.41925949891936e-06,"7057/2243/2244/2266/348",5
"GO:0007160","GO:0007160","cell-matrix adhesion","7/31","239/18614",1.06562727930504e-07,5.70432560307522e-06,3.41925949891936e-06,"7057/2243/2267/2335/2244/2266/83706",7
