"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046718","GO:0046718","viral entry into host cell","16/248","153/18614",2.29411266129555e-10,7.49675749774293e-07,6.21869334090169e-07,"325/3685/3688/290/7037/3673/857/3678/2934/3693/10410/3690/8673/4864/6317/5359",16
"GO:0044409","GO:0044409","entry into host","16/248","160/18614",4.48236621688665e-10,7.49675749774293e-07,6.21869334090169e-07,"325/3685/3688/290/7037/3673/857/3678/2934/3693/10410/3690/8673/4864/6317/5359",16
"GO:0042060","GO:0042060","wound healing","25/248","439/18614",1.11497356088025e-09,1.24319552038148e-06,1.03125273911591e-06,"325/3688/6288/966/3673/857/977/3678/4162/7168/3690/1265/958/6385/26258/960/22875/10565/4015/6558/3491/29071/10398/5359/301",25
"GO:0045785","GO:0045785","positive regulation of cell adhesion","26/248","482/18614",1.60248241948657e-09,1.34007592329565e-06,1.11161675204384e-06,"3685/8876/6288/6237/2319/7037/3673/857/3678/10211/8754/7168/9780/3690/3606/6385/961/9448/960/91663/1725/3105/140885/3491/3112/301",26
"GO:0044000","GO:0044000","movement in host","16/248","185/18614",3.79204334641816e-09,2.53687699875375e-06,2.10438447603332e-06,"325/3685/3688/290/7037/3673/857/3678/2934/3693/10410/3690/8673/4864/6317/5359",16
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","20/248","313/18614",8.14552322839981e-09,4.54112919983289e-06,3.76694723334419e-06,"325/3685/3688/290/2040/3482/7037/3673/857/3678/2934/3693/10410/3690/8673/4864/6372/6317/5359/3078",20
"GO:0051701","GO:0051701","biological process involved in interaction with host","16/248","206/18614",1.77235216994045e-08,8.469311440644e-06,7.02544409016996e-06,"325/3685/3688/290/7037/3673/857/3678/2934/3693/10410/3690/8673/4864/6317/5359",16
"GO:0016032","GO:0016032","viral process","22/248","426/18614",6.66876344822961e-08,2.788376716791e-05,2.31300795388595e-05,"325/3685/3688/290/2040/3482/7037/3673/857/3678/2934/3693/10410/3690/8673/4864/11282/684/11253/2589/6317/5359",22
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","9/248","61/18614",1.0852839756832e-07,4.03363877628923e-05,3.34597492386072e-05,"3685/3688/3678/10211/3690/961/960/91663/140885",9
"GO:0019058","GO:0019058","viral life cycle","18/248","320/18614",3.14693313451811e-07,0.000105264913349631,8.7319113079892e-05,"325/3685/3688/290/2040/7037/3673/857/3678/2934/3693/10410/3690/8673/4864/684/6317/5359",18
"GO:0006909","GO:0006909","phagocytosis","15/248","236/18614",6.76401056619884e-07,0.000205687412217592,0.000170621357440193,"3685/3688/3929/3673/4240/2934/306/3690/1265/961/1201/140885/7097/5359/301",15
"GO:0031579","GO:0031579","membrane raft organization","6/248","25/18614",7.54113649714315e-07,0.000210209179857865,0.000174372243916398,"857/2934/10211/4864/91663/1201",6
"GO:0033627","GO:0033627","cell adhesion mediated by integrin","9/248","87/18614",2.37600020898352e-06,0.000611363130696143,0.000507136562824336,"3685/3688/3655/3673/3678/3693/8754/9780/3690",9
"GO:0007160","GO:0007160","cell-matrix adhesion","14/248","239/18614",4.16864396220135e-06,0.000996008146683109,0.000826206427395696,"3685/3688/3655/6237/3673/3678/3693/8754/22998/3690/4323/6385/9448/960",14
"GO:0071260","GO:0071260","cellular response to mechanical stimulus","8/248","73/18614",5.64966883275642e-06,0.00122887420729527,0.00101937295584307,"3673/9531/9780/3690/1265/958/54407/6513",8
"GO:0050900","GO:0050900","leukocyte migration","18/248","393/18614",5.87802311411787e-06,0.00122887420729527,0.00101937295584307,"3688/3655/6288/3958/3929/3673/5025/3690/4323/1265/6364/961/6372/351/140885/6558/1893/301",18
"GO:0007042","GO:0007042","lysosomal lumen acidification","5/248","21/18614",6.89198457930002e-06,0.00128076046765325,0.00106241352930028,"54664/2896/10159/1201/537",5
"GO:0050765","GO:0050765","negative regulation of phagocytosis","5/248","21/18614",6.89198457930002e-06,0.00128076046765325,0.00106241352930028,"1265/961/140885/7097/5359",5
"GO:1901264","GO:1901264","carbohydrate derivative transport","8/248","80/18614",1.12451535057585e-05,0.00197973886719801,0.0016422285119767,"3929/56262/55343/29957/961/1201/55315/60386",8
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","18/248","415/18614",1.23390786818742e-05,0.00206371090954347,0.0017118848108116,"8876/3688/2319/3958/7037/857/3678/4907/3606/6385/961/960/1725/3105/140885/3112/5621/301",18
"GO:0034341","GO:0034341","response to type II interferon","10/248","139/18614",1.74117907582495e-05,0.0027067201682418,0.00224527239823315,"7431/2934/10410/6364/958/961/684/140885/7097/6198",10
"GO:1903829","GO:1903829","positive regulation of protein localization","19/248","468/18614",1.78020459495724e-05,0.0027067201682418,0.00224527239823315,"3688/22885/2040/8878/3958/7037/56262/2182/2037/9531/8754/493/26229/51614/1201/7097/27020/5621/54741",19
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","9/248","112/18614",1.90719232877089e-05,0.00277372101727767,0.00230085079113962,"3685/3688/3655/3673/3678/3693/8754/3690/961",9
"GO:1905475","GO:1905475","regulation of protein localization to membrane","11/248","175/18614",2.36293484604649e-05,0.0032933404416773,0.00273188432200813,"3688/2040/8878/3958/2934/493/4323/8673/2817/1201/5621",11
"GO:0031589","GO:0031589","cell-substrate adhesion","16/248","359/18614",2.72657906480002e-05,0.00364816278870243,0.00302621575360541,"3685/3688/3655/6237/3673/3678/3693/8754/22998/3690/4323/6385/9448/960/91663/3491",16
"GO:0009100","GO:0009100","glycoprotein metabolic process","17/248","401/18614",2.88632218419414e-05,0.00371336450235745,0.00308030173179585,"2590/325/9375/23385/55343/26229/9445/56052/4864/10565/11282/2817/11253/80267/2589/29071/26574",17
"GO:0009101","GO:0009101","glycoprotein biosynthetic process","15/248","324/18614",3.15055720852974e-05,0.00390319031945628,0.00323776561469177,"2590/9375/23385/55343/26229/9445/56052/4864/10565/11282/11253/80267/2589/29071/26574",15
"GO:1904377","GO:1904377","positive regulation of protein localization to cell periphery","7/248","68/18614",3.32309505588946e-05,0.00396991177212508,0.00329311224335512,"3688/8878/3958/2037/493/1201/5621",7
"GO:0035751","GO:0035751","regulation of lysosomal lumen pH","5/248","29/18614",3.68675247832236e-05,0.00425247828965114,0.0035275061825255,"54664/2896/10159/1201/537",5
"GO:0006953","GO:0006953","acute-phase response","6/248","48/18614",4.04395976015642e-05,0.00450901513257441,0.00374030804483239,"325/6288/3929/7037/6289/5359",6
"GO:0007044","GO:0007044","cell-substrate junction assembly","8/248","96/18614",4.28418215544379e-05,0.00462277074514822,0.00383467034354833,"3655/3673/3678/22998/3690/4323/6385/9448",8
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","16/248","377/18614",4.90304887231972e-05,0.00512521827434671,0.00425145948270881,"8876/2319/3929/7037/857/4323/958/3606/961/26258/8673/1725/3105/140885/3112/301",16
"GO:1904375","GO:1904375","regulation of protein localization to cell periphery","9/248","128/18614",5.5028485019163e-05,0.00548930625480298,0.00455347692161456,"3688/8878/3958/2037/493/4323/8673/1201/5621",9
"GO:0002685","GO:0002685","regulation of leukocyte migration","12/248","227/18614",5.57956390622725e-05,0.00548930625480298,0.00455347692161456,"3958/3929/3673/5025/3690/4323/1265/6364/961/351/1893/301",12
"GO:0098657","GO:0098657","import into cell","13/248","265/18614",5.92374474941647e-05,0.00566140748194231,0.00469623794269528,"3688/56262/10211/493/3690/54407/113235/6509/6513/4891/6558/5621/6198",13
"GO:0002697","GO:0002697","regulation of immune effector process","16/248","384/18614",6.09584869041548e-05,0.00566405940817772,0.00469843776255416,"3958/966/3929/7037/3098/958/2896/3606/961/8673/6372/684/9516/3105/7009/301",16
"GO:0033631","GO:0033631","cell-cell adhesion mediated by integrin","4/248","17/18614",6.38587160700539e-05,0.00566890614116753,0.00470245821355286,"3688/3678/8754/9780",4
"GO:1990778","GO:1990778","protein localization to cell periphery","15/248","345/18614",6.44001295558643e-05,0.00566890614116753,0.00470245821355286,"3688/8878/2319/3958/857/10211/2037/493/51125/4323/8673/91663/1201/537/5621",15
"GO:0007035","GO:0007035","vacuolar acidification","5/248","33/18614",7.05478570576698e-05,0.00578594588312339,0.00479954475585343,"54664/2896/10159/1201/537",5
"GO:0150115","GO:0150115","cell-substrate junction organization","8/248","103/18614",7.09189181488965e-05,0.00578594588312339,0.00479954475585343,"3655/3673/3678/22998/3690/4323/6385/9448",8
"GO:1903076","GO:1903076","regulation of protein localization to plasma membrane","8/248","103/18614",7.09189181488965e-05,0.00578594588312339,0.00479954475585343,"3688/8878/3958/493/4323/8673/1201/5621",8
"GO:0015711","GO:0015711","organic anion transport","17/248","433/18614",7.48567776194099e-05,0.00596180764611729,0.00494542520813946,"3688/56262/5025/11182/29957/54407/961/113235/6509/6513/1201/10227/6558/6198/2171/60386/301",17
"GO:0050867","GO:0050867","positive regulation of cell activation","16/248","394/18614",8.24123695030347e-05,0.00641091572064305,0.0053179683233782,"8876/2319/3929/7037/857/4323/958/3606/961/26258/8673/1725/3105/140885/3112/301",16
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","14/248","321/18614",0.000109212027590114,0.00817229893122223,0.00677906694444239,"8876/2319/7037/857/10211/9780/3606/961/960/1725/3105/140885/3112/301",14
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","18/248","491/18614",0.000109941241227205,0.00817229893122223,0.00677906694444239,"8876/2319/3958/7037/857/10211/9780/3606/6385/961/960/91663/1725/3105/140885/3112/5621/301",18
"GO:0044319","GO:0044319","wound healing, spreading of cells","5/248","37/18614",0.000124066447572956,0.00882983547088375,0.0073245051691447,"3688/977/3678/960/3491",5
