"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
3.48840975761415,16.7950521707535,12.5698162959483,2.67858154130182e-06,0.0165054194575018,4.4778374928985,"P0C6L3;P29996",2,13.3277713311301,3.13480341328418e-07,0.00193166586326571,-3.48840975761415,"Up in D",2.71406799504783,"P0C6L3;P29996","Small delta antigen","P0C6L3;P29996"
2.92256593704222,16.3661749362946,9.62106121594303,1.78152227647766e-05,0.0548887013382768,3.17879475652401,"P02489;A0A140G945;E7EWH7;A0A096LPJ9",2,10.2568395479701,2.89617941022278e-06,0.00892312876289638,-2.92256593704222,"Up in D",2.04948283999485,"CRYAA;CRYAA2","Alpha-crystallin A2 chain","P02489;A0A140G945;E7EWH7;A0A096LPJ9"
0.247951030731219,18.1254665851593,8.02975851003861,6.18844528507718e-05,0.0635553330777426,2.19717478649456,"P00736;A0A3B3ISR2;F5H2D0;B4DPQ0",18,8.90167744740893,9.33999386169713e-06,0.0143882605439444,-0.247951030731222,"Non-significant",1.84199170653793,"C1R","Complement C1r subcomponent","P00736;A0A3B3ISR2;F5H2D0;B4DPQ0"
-0.246957778930671,17.9380302429199,-8.78420462059008,3.34889234509391e-05,0.0635553330777426,2.69281660817637,"Q5VYS8;Q5VYS9",12,-8.9611356200356,8.84561061182778e-06,0.0143882605439444,0.246957778930675,"Non-significant",1.84199170653793,"TUT7","Terminal uridylyltransferase 7","Q5VYS8;Q5VYS9"
0.23424673080445,19.4625747203827,7.44856936666813,0.00010264900900836,0.0743176002447679,1.7731436907517,"P09871;H0Y5D1;A0A087X232;F8WCZ6;F5H7T4",23,8.50503011921521,1.35291451128843e-05,0.0147758356886418,-0.23424673080445,"Non-significant",1.83044794701509,"C1S","Complement C1s subcomponent","P09871;H0Y5D1;A0A087X232;F8WCZ6;F5H7T4"
2.84063196182252,19.2058398723602,7.69108817369602,8.28003047631692e-05,0.0728879254215212,1.9548377537212,"P20591;F8W8T1",44,8.44059102546307,1.43873765225334e-05,0.0147758356886418,-2.84063196182252,"Up in D",1.83044794701509,"MX1","Interferon-induced GTP-binding protein Mx1","P20591;F8W8T1"
0.311614990234396,23.2415132522583,7.21488441718431,0.000126933238025278,0.0743176002447679,1.59131998676657,"P00738;H0Y300;H3BS21;J3QR68;J3QLC9;A0A087WU08;A0A0C4DGL8",41,8.27119876033002,1.69426186104076e-05,0.0149143451253331,-0.311614990234403,"Non-significant",1.82639581133968,"HP","Haptoglobin","P00738;H0Y300;H3BS21;J3QR68;J3QLC9;A0A087WU08;A0A0C4DGL8"
-0.358575820922852,18.1066026687622,-6.99810506952917,0.000155318981645323,0.0743176002447679,1.41649309178307,"Q14517;A0A087WVP1",39,-7.90981290971533,2.4230590725958e-05,0.0178515789951612,0.358575820922852,"Non-significant",1.74832336394636,"FAT1","Protocadherin Fat 1","Q14517;A0A087WVP1"
-0.167662620544426,17.4907827377319,-6.86156358960966,0.000176809549460591,0.0743176002447679,1.30323369174656,"Q8IYB7",20,-7.83731669099532,2.60733870425918e-05,0.0178515789951612,0.167662620544426,"Non-significant",1.74832336394636,"DIS3L2","DIS3-like exonuclease 2","Q8IYB7"
0.232046604156476,17.3659374713898,8.04200299483631,6.12479288765721e-05,0.0635553330777426,2.20569606084214,"P30838;I3L3I9;C9JMC5;E9PNN6",9,7.57980230427456,3.39727352545039e-05,0.0209339994638253,-0.232046604156476,"Non-significant",1.67914779129167,"ALDH3A1","Aldehyde dehydrogenase, dimeric NADP-preferring","P30838;I3L3I9;C9JMC5;E9PNN6"
0.137353420257554,22.8210408687592,5.56327543366561,0.000673539733532985,0.0944919591928548,0.0938840234440832,"P28838",43,7.1219885193546,5.53253436715477e-05,0.0309922516094616,-0.137353420257551,"Non-significant",1.50874687080678,"LAP3","Cytosol aminopeptidase","P28838"
-0.631635189056375,17.8292753696442,-6.27457309595745,0.000315830120511094,0.0883762087699,0.787226792822718,"P02786;G3V0E5;H7C3V5",21,-6.90152436087965,7.05495594413357e-05,0.0337186576758858,0.631635189056375,"Up in C",1.47212972276495,"TFRC","Transferrin receptor protein 1","P02786;G3V0E5;H7C3V5"
1.16166019439699,19.7518630027771,6.22634955511663,0.000331822574344422,0.0883762087699,0.742649633211236,"P05161;A0A096LNZ9;A0A096LPJ4",12,6.81694659071935,7.75598408063986e-05,0.0337186576758858,-1.161660194397,"Up in D",1.47212972276495,"ISG15","Ubiquitin-like protein ISG15","P05161;A0A096LNZ9;A0A096LPJ4"
0.519736289978024,16.6996712684631,6.54682029603206,0.000240175998131803,0.0870567353228336,1.03256456657529,"P35052;H7C410;H7C024;H7BZL4",6,6.7885716220519,8.00794278837545e-05,0.0337186576758858,-0.519736289978024,"Up in D",1.47212972276495,"GPC1","Glypican-1","P35052;H7C410;H7C024;H7BZL4"
-0.258065223693848,18.2188205718994,-5.92423186332051,0.000455041154577849,0.0883762087699,0.455468175592465,"Q03001;A0A494C1D7;F8W9J4;F6QMI7;E9PHM6;Q5T0V7;E7ETB9;Q6P0N6",37,-6.76672250336725,8.20804714602867e-05,0.0337186576758858,0.258065223693848,"Non-significant",1.47212972276495,"DST","Dystonin","Q03001;A0A494C1D7;F8W9J4;F6QMI7;E9PHM6;Q5T0V7;E7ETB9;Q6P0N6"
1.22198915481568,18.2116839885712,6.01782642328742,0.000412145124620887,0.0883762087699,0.545911487961576,"P29728;A0A087X0V5",19,6.60303348865095,9.89294957494773e-05,0.0358590325181341,-1.22198915481567,"Up in D",1.44540143194349,"OAS2","2'-5'-oligoadenylate synthase 2","P29728;A0A087X0V5"
0.407926082611084,20.2786185741425,6.05212917453784,0.000397563878792783,0.0883762087699,0.578724830280161,"Q6Q788;A0A669KB69",18,6.65271344381476,9.34478151718293e-05,0.0358590325181341,-0.407926082611077,"Non-significant",1.44540143194349,"APOA5","Apolipoprotein A-V","Q6Q788;A0A669KB69"
