,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Negative Regulation Of Blood Coagulation (GO:0030195),0.6254343803906155,2.9629511546874463,0.0,0.0011555311163390283,0.001,11/16,8.42%,VTN;FGB;APOE;FGA;F2;PLG;TFPI;APOH;KRT1;FGG;SERPINF2
1,prerank,Positive Regulation Of Response To External Stimulus (GO:0032103),0.5343311346452211,2.8859326599135096,0.0,0.0005777655581695141,0.001,16/22,21.51%,VTN;F2;POLR3B;PLG;APOH;TGFB1;THBS1;SERPINF2;MDK;DHX9;RARRES2;APP;AGT;PLA2G2A;SERPINE1;EMILIN1
2,prerank,Protein Activation Cascade (GO:0072376),0.8914319248826292,2.8805223004201848,0.0,0.0005777655581695141,0.002,7/7,11.22%,FGB;FGA;FBLN1;F13A1;FLNA;FGG;F13B
3,prerank,"Blood Coagulation, Fibrin Clot Formation (GO:0072378)",0.8914319248826292,2.8805223004201848,0.0,0.0005777655581695141,0.002,7/7,11.22%,FGB;FGA;FBLN1;F13A1;FLNA;FGG;F13B
4,prerank,Positive Regulation Of Blood Coagulation (GO:0030194),0.7890716803760284,2.8617792329262857,0.0,0.0004622124465356114,0.002,9/9,21.51%,VTN;F2;PLG;APOH;THBS1;SERPINF2;CNTN1;SERPINE1;EMILIN1
5,prerank,Fibrinolysis (GO:0042730),0.7999916647939033,2.709454961510998,0.0,0.0015407081551187048,0.008,7/8,8.42%,FGB;FGA;F2;PLG;KRT1;FGG;SERPINF2
6,prerank,Antibacterial Humoral Response (GO:0019731),0.7968291250733999,2.705961056242364,0.0,0.0018158346113899017,0.01,8/8,20.69%,FGB;FGA;LTF;H2BC11;H2BC12;DMBT1;JCHAIN;HLA-A
7,prerank,Defense Response To Bacterium (GO:0042742),0.5369811865046168,2.6450752981624763,0.0,0.002744386401305192,0.017,13/18,20.69%,LTF;H2BC11;H2BC12;LYZ;ANG;DMBT1;JCHAIN;RARRES2;ANKRD17;RPL30;PLA2G2A;SERPINE1;HLA-A
8,prerank,Defense Response To Gram-negative Bacterium (GO:0050829),0.632131567665208,2.5093809578013864,0.0,0.0066764020055143855,0.047,9/11,20.46%,LTF;F2;H2BC11;H2BC12;LYZ;DMBT1;RARRES2;RPL30;SERPINE1
9,prerank,Antimicrobial Humoral Response (GO:0019730),0.590117999665612,2.5030580627391723,0.0,0.006702080474766365,0.05,11/13,27.24%,GAPDH;LTF;F2;H2BC11;H2BC12;LYZ;JCHAIN;RARRES2;RPL30;HLA-A;REG3A
10,prerank,Retina Homeostasis (GO:0001895),0.6534422580095357,2.500431986400533,0.0,0.0060928004316057865,0.05,8/10,16.54%,ALB;LTF;KRT1;LYZ;JCHAIN;PRDX1;ZG16B;PIGR
11,prerank,Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),0.5016377445040066,2.489834670312732,0.0,0.0060665383607799,0.055,14/18,29.34%,FGB;FGA;APOA1;FBLN1;FLNA;FGG;MDK;CORO1C;RAC1;P4HB;C1QBP;LIMS1;ACTN4;ILK
12,prerank,Positive Regulation Of Cell-Substrate Adhesion (GO:0010811),0.5041447269991459,2.482135941635936,0.0,0.006399864644339235,0.06,14/18,29.34%,FN1;FGB;FGA;APOA1;FLNA;FGG;MDK;NPNT;RAC1;P4HB;C1QBP;RSU1;LIMS1;ILK
13,prerank,Chaperone-Mediated Protein Complex Assembly (GO:0051131),0.7251908396946566,2.4701614230598143,0.0,0.006685572887390092,0.067,8/8,27.82%,CLU;HSPA1A;HSP90AB1;HSP90AA1;CCT2;HSPD1;HSPA4;PTGES3
14,prerank,Platelet Aggregation (GO:0070527),0.4950645017413675,2.4610673891194157,0.0,0.0062109797503222776,0.071,12/18,19.23%,HBB;FGB;FGA;TLN1;PPIA;CLIC1;FLNA;FGG;FGL1;MYH9;ACTN1;FERMT3
15,prerank,Homotypic Cell-Cell Adhesion (GO:0034109),0.4950645017413675,2.4610673891194157,0.0,0.0062109797503222776,0.071,12/18,19.23%,HBB;FGB;FGA;TLN1;PPIA;CLIC1;FLNA;FGG;FGL1;MYH9;ACTN1;FERMT3
16,prerank,Regulation Of Blood Coagulation (GO:0030193),0.6845335082373417,2.4560177998934547,0.0,0.006049545256127855,0.073,8/9,21.51%,VTN;APOE;F2;TFPI;APOH;THBS1;SERPINE1;EMILIN1
17,prerank,Positive Regulation Of Cell Differentiation (GO:0045597),0.3206206759572626,2.419287344123779,0.0,0.008088717814373198,0.102,21/42,20.86%,APOB;ACTB;LTF;HSP90AB1;LAMB1;TGFB1;MACROH2A1;LAMC1;SERPINF2;MDK;CCN2;NID1;KCTD11;RARRES2;PA2G4;NPNT;AGT;LAMB2;TNXB;PLA2G2A;COL1A1
18,prerank,Negative Regulation Of Fibrinolysis (GO:0051918),0.7982404692082112,2.380417826303009,0.0,0.010703867182929948,0.136,6/6,20.46%,VTN;F2;PLG;THBS1;SERPINF2;SERPINE1
