Term,NES,FDR q-val,minus_log10_q,NOM p-val,minus_log10_p
Endopeptidase Inhibitor Activity (GO:0004866),2.989292605583273,0.0,inf,0.0,inf
Serine-Type Endopeptidase Inhibitor Activity (GO:0004867),2.7598444715241652,0.0,inf,0.0,inf
Peptidase Inhibitor Activity (GO:0030414),2.6518235778619075,0.0014623566668148784,2.8349466906214653,0.0,inf
Endopeptidase Regulator Activity (GO:0061135),2.4703034015412815,0.003838686250389056,2.41581738287949,0.0,inf
Chromatin DNA Binding (GO:0031490),2.3555533010168106,0.007677372500778112,2.1147873872155087,0.0,inf
Protease Binding (GO:0002020),2.156210826876301,0.033451408753390345,1.4755855878829796,0.0017513134851138354,2.756636108245848
Amyloid-Beta Binding (GO:0001540),1.9844105839299162,0.07701745111891692,1.1134108583867053,0.0,inf
Nucleosomal DNA Binding (GO:0031492),1.990132128470377,0.08321723407093418,1.0797867231464515,0.005494505494505495,2.2600713879850747
Lipoprotein Particle Receptor Binding (GO:0070325),1.9981744747023393,0.08946489179478166,1.0483473589981742,0.0035971223021582736,2.444044795918076
Phosphatidylinositol Phosphate Binding (GO:1901981),-2.0223536679455045,0.12939903537567166,0.8880689611679706,0.004454342984409799,2.351216345339342
Histone Deacetylase Binding (GO:0042826),1.8263026631752288,0.15692914980757164,0.8042963781164738,0.0071301247771836,2.146902869928199
Ubiquitin-Protein Transferase Activity (GO:0004842),-1.8997981641863508,0.16108859505950962,0.7929352061857172,0.011337868480725623,1.9454685851318196
GTPase Activator Activity (GO:0005096),-1.9382292024474956,0.16152872783289626,0.7917502273280386,0.00646551724137931,2.1893967258352185
MHC Class II Protein Complex Binding (GO:0023026),1.8362039321972246,0.1623215900164515,0.7896237118348081,0.011406844106463879,1.9428344937700954
Nucleosome Binding (GO:0031491),1.8055919675615497,0.16434639155511827,0.7842398269940054,0.008880994671403197,2.0515383905153275
rRNA Binding (GO:0019843),1.8393422644629447,0.17592150701782988,0.7546810632816208,0.012345679012345678,1.9084850188786497
Protein Serine/Threonine Kinase Activity (GO:0004674),-1.8383165524309233,0.18646958499147243,0.7293919957457822,0.006741573033707865,2.171238756261269
mRNA 3'-UTR AU-rich Region Binding (GO:0035925),-2.024693360143983,0.19145775642318769,0.7179270346254906,0.0020833333333333333,2.681241237375587
Ubiquitin Binding (GO:0043130),-1.7171212870768158,0.20574206552309948,0.6866769044315111,0.023148148148148147,1.6354837468149122
Pyridoxal Phosphate Binding (GO:0030170),1.7418838319970127,0.20721593968766827,0.6835768403740051,0.022968197879858657,1.6388730788814347
