Null_1,Null_2,Null_3,Null_4,Null_5,HBV_1,HBV_2,HBV_3,HBV_4,HBV_5,HBVM_1,HBVM_2,HBVM_3,HBVM_4,HBVM_5,M_1,M_2,M_3,M_4,M_5,Protein.Names,Peptides,Genes,Protein.Ids,First.Protein.Description
16.44305846898362,15.788488943069757,16.666251746671815,15.96508530995505,16.431117227424714,16.472803466078748,16.289215605709014,16.408208648560446,16.24485993640631,16.21566570581197,16.29747696278547,15.925918312879,15.501314735214168,16.405345923539198,16.03991289960934,15.802672864003426,16.2502188335495,16.320712422226006,16.388659760627256,16.28794138921003,X5CMH5_HUMAN,1,TAP2,X5CMH5,Antigen peptide transporter 2
19.050712227875067,19.34236119179093,18.95162622166543,19.126041465540997,19.149360121173093,19.150287751027292,19.1723420453418,19.09389205708781,19.016672288817578,18.976782256375586,19.211175361991465,18.839256081891296,18.77130891498758,18.998111082385687,18.88203399729777,19.013488975972475,19.26549830256422,19.317255817449674,18.89959884675073,19.02324538784918,A0A384N5Y3_HUMAN;F5H2F4_HUMAN;V9GY75_HUMAN;V9GYY3_HUMAN;V9GZ78_HUMAN,1,MTHFD1,V9GY75,"C-1-tetrahydrofolate synthase, cytoplasmic"
20.437459499054132,20.416995396494414,20.342994815050638,20.5731145984117,20.447583716327838,20.487384724385812,20.467621469564385,20.506880900011613,20.457637380991763,20.526117118874527,20.609640474436812,20.849954803770522,20.705564894435348,20.526117118874527,20.59149312772655,20.4971657451784,20.526117118874527,20.516531070045332,20.5451002222421,20.457637380991763,UBC9_HUMAN,7,UBE2I,UBE2I_HUMAN,SUMO-conjugating enzyme UBC9
18.428032964193015,18.223610526878456,18.424318038127826,18.45375692781196,18.277818613131874,18.359891084893153,18.469951777695385,18.406387722816206,18.407819591800894,18.5007990971403,18.414515953621347,18.19146410579421,17.915768530868778,18.172539824145677,18.51089549020345,18.14558392469473,18.417559998059893,18.38316004084047,18.13001243206351,18.188825450852537,UB2E1_HUMAN,3,UBE2E1,UB2E1_HUMAN,Ubiquitin-conjugating enzyme E2 E1
22.3211353810869,22.70345414783954,22.39100018796147,22.019031410574513,22.203591758385222,22.669255330734035,22.282065816408306,22.383109402342004,22.05258397028554,21.902422223664658,22.20955331662394,21.76749264357855,21.956597363815696,22.747143998186747,22.535639892993036,22.315618376119335,22.809312819273178,22.72650423212771,23.15344565040121,23.253496664211536,TRFL_HUMAN,6,LTF,TRFL_HUMAN,Lactotransferrin
23.632008287465265,23.643063475974262,23.72858154716032,23.718164931214982,23.69710331568715,23.686456071487644,23.609640474436812,23.7695118112152,23.686456071487644,23.72858154716032,23.718164931214982,22.315618376119335,22.31837951579639,23.58692039793673,23.664922909938003,23.789549564451747,23.707672557397338,23.654034593795267,23.609640474436812,23.69710331568715,TRFE_HUMAN,59,TF,TRFE_HUMAN,Serotransferrin
24.733761786266,24.675729664894583,25.001957897215572,24.626448762123367,24.648559463729114,24.94055735255143,24.754298717268693,24.867028317129463,24.522529810666775,24.7745474011125,24.84804521376189,24.540377811999697,24.654034593795267,24.72858154716032,24.72858154716032,24.744066794657737,24.814211618686016,24.754298717268693,24.504458237744757,24.712928282848832,THIO_HUMAN,9,TXN,THIO_HUMAN,Thioredoxin
18.547572372080673,18.591781637884676,18.729302091968997,18.61174527306712,18.475551372945134,18.63305552583595,18.635781877247215,18.707557979694013,18.705102482979257,18.609196777489835,18.62583010881284,18.90743936812168,18.90882357749459,18.711650171058917,18.755145121911173,18.520718420958055,18.45978779764044,18.56447701318876,18.564153212258013,18.570444993761022,TAU_HUMAN,4,MAPT,TAU_HUMAN,Microtubule-associated protein tau
20.467621469564385,20.506880900011613,20.427263731948244,20.477536938429466,20.516531070045332,20.4971657451784,20.457637380991763,20.447583716327838,20.535639892993036,20.4971657451784,20.427263731948244,20.535639892993036,20.563836784823685,20.467621469564385,20.385744462509976,20.37517522079979,20.457637380991763,20.437459499054132,20.427263731948244,20.427263731948244,HARS1_HUMAN,21,HARS1,SYH_HUMAN,"Histidine--tRNA ligase, cytoplasmic"
20.68002980232821,20.396236836327617,20.37517522079979,20.3321064989079,20.36452797660028,20.467621469564385,20.437459499054132,20.467621469564385,20.609640474436812,20.506880900011613,20.787558266632654,20.427263731948244,20.437459499054132,20.600595334833805,20.447583716327838,20.276397066321614,20.795507019748147,20.28771237954945,20.298939634972704,20.416995396494414,SUMO1_HUMAN;SUMO5_HUMAN,3,SUMO1;SUMO1P1,SUMO1_HUMAN,Small ubiquitin-related modifier 5
