"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","42/517","183/9521",0.229508196721311,4.22659098836288,10.5605984398678,5.32228131824397e-16,1.68184089656509e-13,1.3109619247043e-13,"6772/4938/23586/64135/4939/4940/5371/6890/6891/3105/10379/5610/6672/6773/3106/684/3134/3107/7098/3678/972/6892/841/56829/3716/567/3459/3133/4615/5819/148022/355/6714/581/6732/9451/578/3665/3717/3125/3455/7097",42,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","41/517","205/9521",0.2,3.68317214700193,9.30586462005214,1.77727772742888e-13,2.80809880933762e-11,2.1888578327282e-11,"6772/4938/23586/9636/4939/4940/7431/6890/6891/3105/10379/5610/6773/3106/3134/3107/7128/6892/841/958/3716/567/3133/4615/8737/3383/355/3066/4067/581/960/578/965/3665/4193/3125/3516/3455/7097/1026/5600",41,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","34/517","173/9521",0.196531791907514,3.61930210977069,8.33096471440708,3.69872568128863e-11,3.89599105095735e-09,3.03684845411066e-09,"4599/6772/4938/23586/64135/4939/4940/5371/10379/5610/6773/834/7098/103/3606/841/8743/3716/3459/10241/4615/3383/148022/355/7706/581/7113/578/3838/3665/3717/3125/3455/8797",34,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","49/517","333/9521",0.147147147147147,2.70984136941584,7.61050449224935,1.11918909035032e-10,8.84159381376751e-09,6.89184860899933e-09,"4599/6772/7057/9636/3105/10379/5610/2335/3655/6773/3106/8638/3134/3107/7098/3675/3911/1311/3678/3915/3673/10312/841/3716/3371/5520/3133/148022/355/3066/581/578/23545/527/3996/5526/1291/6908/4854/7060/4193/245972/3516/5649/3455/3265/4851/1292/1026",49,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","39/517","238/9521",0.163865546218487,3.01772507842595,7.55357068782243,4.11201943611644e-10,2.59879628362559e-08,2.02571062747631e-08,"4599/6772/4938/23586/9636/64135/4939/4940/2244/2266/10379/5610/2243/6773/834/7098/100293534/103/715/3716/4615/8829/2162/7113/6143/6124/6868/5648/6194/6129/6137/732/6193/6167/720/1636/3455/7097/5600",39,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","28/517","159/9521",0.176100628930818,3.24304465773755,6.83436495754688,2.61829972571192e-08,1.37897118887494e-06,1.0748809400291e-06,"7057/6890/6891/3105/3106/3134/3107/1311/3678/3673/715/10312/4353/83547/3133/1520/23673/11151/23545/527/78989/9902/10381/7060/3125/245972/7097/3684",28,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","27/517","168/9521",0.160714285714286,2.95969190384084,6.14063063142802,3.25284024726269e-07,1.29792407022599e-05,1.011706303907e-05,"6772/10379/5610/6773/834/10616/197259/7098/2512/2495/7128/841/8743/3716/8878/3459/8737/55072/148022/355/581/9555/51510/55506/3717/3455/8797",27,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","29/517","189/9521",0.153439153439153,2.82571408103323,6.07466460638305,3.28588372209112e-07,1.29792407022599e-05,1.011706303907e-05,"6772/4938/4939/4940/115361/10379/6773/834/2633/10616/7128/3606/841/8767/2634/3716/837/4615/8737/55072/148022/2635/5580/3665/114769/728358/3710/3455/5600",29,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","26/517","159/9521",0.163522012578616,3.0113986107563,6.12855929265219,3.80376417612418e-07,1.3355438662836e-05,1.04103019557083e-05,"4599/3434/6772/4938/23586/4939/4940/10379/5610/6773/7098/841/3716/5520/8737/148022/355/10197/581/9451/578/3665/3455/9069/3265/1026",26,"Upres_DEq_MS_CTRL_vs_HBVHDV"
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","29/517","196/9521",0.147959183673469,2.72479572099633,5.84638328605083,7.18089892578637e-07,2.26916406054849e-05,1.7687687880358e-05,"6772/3105/10379/5610/6773/3106/3134/3107/7098/841/3716/3459/3133/3383/148022/355/4067/6714/581/578/5533/3665/59345/3717/3710/3455/3265/1026/5600",29,"Upres_DEq_MS_CTRL_vs_HBVHDV"
