"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","20/175","67/9521",0.298507462686567,16.2405117270789,17.129857967095,1.77318877851e-19,3.47545000587959e-17,2.57579001509873e-17,"230/3939/2821/126/5313/127/2203/5105/7167/5230/229/5236/130/125/5211/2597/2023/2027/5232/2645",20,"Upres_DEq_MS_BDM_vs_DM"
"hsa01230","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","18/175","75/9521",0.24,13.0573714285714,14.3444503251071,9.15729270539219e-16,8.97414685128435e-14,6.65108628075854e-14,"48/230/875/5313/26227/6470/7167/5230/383/229/5211/1491/2597/2875/2023/2027/162417/5232",18,"Upres_DEq_MS_BDM_vs_DM"
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","21/175","117/9521",0.179487179487179,9.7651282051282,13.0532754811547,1.82003856166646e-15,1.18909186028875e-13,8.81281829859548e-14,"48/230/2821/26007/5313/26227/2203/6470/7167/5230/229/39/9104/5211/2597/2875/2023/2027/5232/414328/2645",21,"Upres_DEq_MS_BDM_vs_DM"
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","15/175","73/9521",0.205479452054795,11.1792563600783,11.9462651551126,2.90841406160633e-12,1.4251228901871e-10,1.05621352763598e-10,"1558/126/1571/127/1548/316/1559/2326/1555/130/125/2944/2938/1557/1549",15,"Upres_DEq_MS_BDM_vs_DM"
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","12/175","68/9521",0.176470588235294,9.60100840336134,9.73965580943731,3.03495023563309e-09,1.18970049236817e-07,8.81732910562878e-08,"1558/126/127/1548/316/1559/1555/130/125/8630/157506/1549",12,"Upres_DEq_MS_BDM_vs_DM"
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","9/175","35/9521",0.257142857142857,13.9900408163265,10.5348313602944,9.12569837305114e-09,2.56529286914017e-07,1.90123746477628e-07,"230/26007/2203/3795/7167/229/6652/5211/51171",9,"Upres_DEq_MS_BDM_vs_DM"
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","10/175","47/9521",0.212765957446809,11.5756838905775,9.94524096406948,9.78969948477851e-09,2.56529286914017e-07,1.90123746477628e-07,"3939/126/5313/127/134526/5105/32/130/125/39",10,"Upres_DEq_MS_BDM_vs_DM"
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","7/175","17/9521",0.411764705882353,22.4023529411765,12.0852984161927,1.04705831393476e-08,2.56529286914017e-07,1.90123746477628e-07,"6718/1109/80270/1582/570/10998/51302",7,"Upres_DEq_MS_BDM_vs_DM"
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","9/175","39/9521",0.230769230769231,12.5551648351648,9.89425464163797,2.57117000103863e-08,5.41508452610487e-07,4.01332795167816e-07,"10840/10841/875/4522/6470/635/27232/23743/1491",9,"Upres_DEq_MS_BDM_vs_DM"
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","10/175","52/9521",0.192307692307692,10.4626373626374,9.36238337080161,2.76279822760453e-08,5.41508452610487e-07,4.01332795167816e-07,"3939/875/26227/635/27232/23743/6898/1491/883/1036",10,"Upres_DEq_MS_BDM_vs_DM"
