HBV	HBV_pure_new	HDV	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
16.2615	16.6212	17.3709	A0A075B6H7;A0A0C4DH55;P01624	A0A0C4DH55;P01624;A0A075B6H7;A0A0C4DH90	KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN	IGKV3-15;IGKV3-7;IGKV3D-7	Probable non-functional immunoglobulin kappa variable 3-7
16.181	16.3299	15.3738	A0A087WWU8;D6R904	D6R904;A0A087WWU8;Q5VU61	A0A087WWU8_HUMAN;D6R904_HUMAN	TPM3	Tropomyosin alpha-3 chain
NaN	NaN	17.6944	A0A0A0MQS9;A0A0A0MTC7;E5RFQ2;H0Y351;H0YAQ5	A0A0A0MTC7;H0Y351;A0A0A0MQS9;H0YAQ5;E5RFQ2	A0A0A0MQS9_HUMAN;A0A0A0MTC7_HUMAN;E5RFQ2_HUMAN;H0Y351_HUMAN;H0YAQ5_HUMAN	LAMA4	Laminin subunit alpha-4
16.3374	16.9387	NaN	A0A0G2JH50;A0A0G2JIF0;A0A0G2JKJ1;A0A140T912;A0A140T930;A0A140T937;A0A140T9M0;A0A140T9M5;A0A140T9Q4;A0A140T9S7;A0A140T9T1;A0A140T9U0;A0A140T9W2;A0A140T9Z4;A0A140TA03;A0A140TA19;A0A1W2PRZ0;A2BF26;O78179;Q53YP1;Q5RIP0	A0A140T9U0;A0A140T912;A0A140TA03;A0A140T9M5;A0A140T9M0;A0A140T9T1;A0A140T930;A0A140T9Q4;A0A1W2PRZ0;Q53YP1;A0A140T9Z4;O78179;A0A140TA19;A0A140T9W2;A0A140T937;A0A140T9S7;A2BF26;A0A0G2JIF0;Q5RIP0;A0A0G2JKJ1;A0A0G2JH50	A0A0G2JH50_HUMAN;A0A0G2JIF0_HUMAN;A0A0G2JKJ1_HUMAN;A0A140T912_HUMAN;A0A140T930_HUMAN;A0A140T937_HUMAN;A0A140T9M0_HUMAN;A0A140T9M5_HUMAN;A0A140T9Q4_HUMAN;A0A140T9S7_HUMAN;A0A140T9T1_HUMAN;A0A140T9U0_HUMAN;A0A140T9W2_HUMAN;A0A140T9Z4_HUMAN;A0A140TA03_HUMAN;A0A140TA19_HUMAN;A0A1W2PRZ0_HUMAN;A2BF26_HUMAN;O78179_HUMAN;Q53YP1_HUMAN;Q5RIP0_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain
21.2966	21.0184	19.5799	A0A0U1RQC7	A0A0U1RQC7	A0A0U1RQC7_HUMAN	CFAP99	Cilia- and flagella-associated protein 99
20.9155	20.8715	16.2082	A0A140TA44	P0C0L5;A0A3B3ISA6;A0A140TA44;F5GXS0;A0A0G2JL54	A0A140TA44_HUMAN	C4A	C4a anaphylatoxin
19.3394	19.6156	19.7804	A0A2R8Y6Z8	A0A2R8Y6Z8	A0A2R8Y6Z8_HUMAN	SGCE	Epsilon-sarcoglycan (Fragment)
26.2222	25.8634	25.8818	A0A2R8Y7C0	P69905;A0A2R8Y7C0	A0A2R8Y7C0_HUMAN	HBA2	Hemoglobin subunit alpha (Fragment)
26.009	25.7918	25.759	A0A2R8Y7C0;G3V1N2	P02008;P69905;A0A2R8Y7C0;G3V1N2	A0A2R8Y7C0_HUMAN;G3V1N2_HUMAN	HBA2	Hemoglobin subunit alpha (Fragment)
20.316	20.805	NaN	A0A3B3ITY6	A0A3B3ITY6	A0A3B3ITY6_HUMAN	CLSTN1	Calsyntenin-1 (Fragment)
20.5455	20.338	19.2743	A0A494C0G5	A0A494C0G5	A0A494C0G5_HUMAN	AGRN	Agrin
13.3105	15.5632	NaN	A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6
14.1854	14.6267	NaN	A5D8T8;Q6UXF7;Q8NCF0	A5D8T8;Q8NCF0;Q6UXF7;F5H550;F8W692;A0A087X0Q5	CL18A_HUMAN;CL18B_HUMAN;CL18C_HUMAN	CLEC18A;CLEC18B;CLEC18C	C-type lectin domain family 18 member A
16.1921	16.8676	NaN	A6NGU5;P19440;P36268	A6NGU5;P19440;P36268;E7ET76;E7ETR7;B5MCK8	GGT1_HUMAN;GGT2_HUMAN;GGT3_HUMAN	GGT1;GGT2;GGT3P	Putative glutathione hydrolase 3 proenzyme
15.7723	15.5818	17.4986	A6NI56	A6NI56;A0A590PWR5;B7ZBA8	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154
16.0247	16.1627	17.0418	A6NIR3;Q5VTM2;Q5VUJ5;Q5VW22;Q8TF27;Q96P64	Q5VUJ5;Q8TF27;Q96P64;Q5VTM2;Q5VW22;A6NIR3;A0A087X0Z1;A0A0D9SFU9;A0A087WSV4;J3KQL4;A0A087WTP8	AGA11_HUMAN;AGAP4_HUMAN;AGAP5_HUMAN;AGAP6_HUMAN;AGAP7_HUMAN;AGAP9_HUMAN	AGAP11;AGAP4;AGAP5;AGAP6;AGAP7P;AGAP9	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5
NaN	15.8606	NaN	A8K8P3	A8K8P3;D3YTJ2;E5RJU6	SFI1_HUMAN	SFI1	Protein SFI1 homolog
16.1944	17.4737	NaN	A8MWD9;P62308	A8MWD9;P62308;C9JVQ0;Q49AN9;F5H013	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15
20.859	20.9062	22.0914	B1AHL2	B1AHL2	B1AHL2_HUMAN	FBLN1	Fibulin-1
16.2191	16.5567	16.9584	B1ALD9	B1ALD9	B1ALD9_HUMAN	POSTN	Periostin
NaN	15.8558	NaN	B7ZW38;O60812;P0DMR1	O60812;B7ZW38;P0DMR1;A0A0G2JPF8	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3
21.3504	21.5339	21.2801	B9A064	B9A064;A0A0B4J231	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5
22.6493	20.2938	22.497	C9J202;Q6GMV1;Q9BT22	Q6GMV1;C9J202;Q9BT22;A0A087WZJ8	AG1L2_HUMAN;ALG1L_HUMAN;ALG1_HUMAN	ALG1;ALG1L;ALG1L2	Putative glycosyltransferase ALG1L2
16.4919	16.8872	18.465	C9JJK3	C9JJK3	C9JJK3_HUMAN	ADD2	Beta-adducin (Fragment)
15.324	16.4454	16.3286	C9JPQ9;C9JU00	C9JPQ9;C9JU00	C9JPQ9_HUMAN;C9JU00_HUMAN	FGG	Fibrinogen gamma chain (Fragment)
15.4164	12.8028	NaN	C9JX79	C9JX79	C9JX79_HUMAN	ST7	Suppressor of tumorigenicity 7 protein (Fragment)
18.8796	19.286	15.8648	D6R9P3;D6RBZ0;D6RD18	D6RD18;D6RBZ0;D6R9P3	D6R9P3_HUMAN;D6RBZ0_HUMAN;D6RD18_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B
NaN	15.4735	NaN	D6RC59	D6RC59	D6RC59_HUMAN	HAPLN1	Hyaluronan and proteoglycan link protein 1 (Fragment)
17.419	NaN	18.4228	D6RGJ5	D6RGJ5	D6RGJ5_HUMAN	SEC24D	Protein transport protein Sec24D (Fragment)
NaN	15.6397	13.9236	E7EQK6	E7EQK6	E7EQK6_HUMAN	CAST	Calpain inhibitor (Fragment)
19.0508	18.6466	NaN	E9PAV3;Q13765	E9PAV3;Q13765;F8VZJ2;F8VNW4;F8W0W4;F8W1N5;H0YHX9	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form
15.3603	17.5338	NaN	E9PK54	E9PK54	E9PK54_HUMAN	HSPA8	Heat shock cognate 71 kDa protein (Fragment)
13.979	14.7503	14.6111	E9PL71;E9PN91	E9PL71;E9PN91	E9PL71_HUMAN;E9PN91_HUMAN	EEF1D	Elongation factor 1-delta (Fragment)
20.4018	18.0678	21.5054	F8VWZ5	F8VWZ5	F8VWZ5_HUMAN	HLX	H2.0-like homeobox protein (Fragment)
14.3549	15.0538	NaN	F8W1D0	F8W1D0	F8W1D0_HUMAN	TWF1	Twinfilin-1
23.095	19.4009	24.0337	F8W732	F8W732	F8W732_HUMAN	ZNF366	Zinc finger protein 366 (Fragment)
21.0623	21.7703	20.1809	G3V1N2	P69905;G3V1N2	G3V1N2_HUMAN	HBA2	HCG1745306, isoform CRA_a
17.1769	13.3522	17.8832	G3V491	G3V491	G3V491_HUMAN	SPATA7	Spermatogenesis-associated protein 7
15.8831	16.5806	NaN	G5EA09	G5EA09	G5EA09_HUMAN	SDCBP	Syndecan binding protein (Syntenin), isoform CRA_a
13.7023	16.7378	16.674	H0YMV4	H0YMV4	H0YMV4_HUMAN	PIGH	Phosphatidylinositol N-acetylglucosaminyltransferase (Fragment)
18.7947	19.7074	NaN	H7BZJ3	H7BZJ3	H7BZJ3_HUMAN	PDIA3	Protein disulfide-isomerase A3 (Fragment)
