"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BF_vs_CF","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.33356438038179,15.5587263911341,-7.27550030855935,9.24939678622536e-05,0.0802847641044361,0.610731107510714,"MOGS_HUMAN",3,-6.87831389618345,8.53253698241712e-05,0.0740624210073806,1.33356438038179,"Non-significant",1.13040209551422,"MOGS","Mannosyl-oligosaccharide glucosidase","MOGS_HUMAN"
0.273689164192557,19.1297507792028,3.42428907201411,0.00923291257418741,0.331211551901997,-2.36195015014807,"AGRIN_HUMAN",47,5.78390078025211,0.000301114071481249,0.0871223380152413,-0.273689164192554,"Non-significant",1.05987047836829,"AGRN","Agrin","AGRIN_HUMAN"
0.693477187357693,21.334601434234,5.3388885108847,0.00072963859499453,0.316663150227626,-0.569635451617593,"PLMN_HUMAN",9,5.89198277681958,0.000264070479737939,0.0871223380152413,-0.69347718735769,"Non-significant",1.05987047836829,"PLG","Plasminogen","PLMN_HUMAN"
0.330889037079636,22.1310245376808,3.70761606365522,0.00613373720204808,0.325386095275855,-2.05262369226764,"CO4A_HUMAN",62,5.40906531158039,0.000480562373489938,0.104282035047316,-0.330889037079633,"Non-significant",0.981790502233319,"C4A","Complement C4-A","CO4A_HUMAN"
-0.472863261891995,17.641856210744,-4.24235671058794,0.00292406413203739,0.325386095275855,-1.51015964283943,"NPM_HUMAN",9,-4.77119380132114,0.00111404270606938,0.16116484481137,0.472863261892002,"Non-significant",0.792729685666769,"NPM1","Nucleophosmin","NPM_HUMAN"
-0.705416946279282,19.5716532231296,-4.46789880472893,0.0021665165527693,0.325386095275855,-1.29806190341505,"TTHY_HUMAN",8,-4.78735267277475,0.00108977652397228,0.16116484481137,0.705416946279275,"Non-significant",0.792729685666769,"TTR","Transthyretin","TTHY_HUMAN"
0.896693596724752,20.2867677036567,4.16078071946019,0.00326507555086827,0.325386095275855,-1.58932043706277,"CALM1_HUMAN",8,4.41716975272197,0.00182222867221475,0.195610893375215,-0.896693596724752,"Non-significant",0.708606963449173,"CALM1;CALM2;CALM3","Calmodulin-1","CALM1_HUMAN"
-0.211632815419733,22.7562884046637,-2.61929934548359,0.0310674147996643,0.578793701903104,-3.30882859210434,"FIBG_HUMAN",36,-4.34181427265614,0.00202822354882135,0.195610893375215,0.211632815419726,"Non-significant",0.708606963449173,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-0.437644746674259,17.4156328289862,-3.8877868725465,0.00475669686210922,0.325386095275855,-1.86367801179859,"PCYOX_HUMAN",9,-4.36618641429031,0.00195899311634975,0.195610893375215,0.437644746674259,"Non-significant",0.708606963449173,"PCYOX1","Prenylcysteine oxidase 1","PCYOX_HUMAN"
-0.317632060971256,20.2718870383394,-3.21871942034263,0.0125043476911638,0.401991622071487,-2.59513801378519,"PROS_HUMAN",17,-4.17459013549516,0.0025799551303563,0.223940105314927,0.31763206097126,"Non-significant",0.649868121886679,"XII.01","Vitamin K-dependent protein S","PROS_HUMAN"
-0.265266758821525,19.3020902361713,-2.99368619246134,0.0175275265538929,0.487372744149321,-2.85792342609597,"BTD_HUMAN",12,-3.87487137414603,0.00401087029664455,0.253851279812324,0.265266758821522,"Non-significant",0.595420642722133,"BTD","Biotinidase","BTD_HUMAN"
-0.267050404473189,17.5754358534952,-2.91825059034197,0.0196515500831754,0.501692513888125,-2.94756384836933,"G6PI_HUMAN",13,-3.78341991256013,0.0046003097512917,0.253851279812324,0.267050404473189,"Non-significant",0.595420642722133,"GPI","Glucose-6-phosphate isomerase","G6PI_HUMAN"
-1.08577468164197,20.4488459347904,-3.64111026916408,0.00674509847879588,0.325386095275855,-2.12391670089642,"H2A1B_HUMAN",4,-3.7379808520921,0.00492670488444551,0.253851279812324,1.08577468164197,"Non-significant",0.595420642722133,"H2AC12;H2AC14;H2AC17;H2AC25;H2AC6;H2AC7;H2AC8;H2AJ","Histone H2A type 1-B/E","H2A1B_HUMAN"
-0.988835893276381,16.8861445688252,-3.99751122557461,0.00408371569355146,0.325386095275855,-1.75166296552402,"LGUL_HUMAN",2,-3.75980175006933,0.00476700524435285,0.253851279812324,0.988835893276381,"Non-significant",0.595420642722133,"GLO1","Lactoylglutathione lyase","LGUL_HUMAN"
0.202292486518818,20.0404118199495,2.45440512126006,0.0400895008297488,0.611016525129481,-3.51092661839799,"MA1A1_HUMAN",20,3.73196230431919,0.0049717416553105,0.253851279812324,-0.202292486518818,"Non-significant",0.595420642722133,"MAN1A1","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","MA1A1_HUMAN"
0.255709412840979,17.4849941123089,2.88180864231064,0.0207719751434113,0.515144983556599,-2.99111624314495,"MRC2_HUMAN",14,3.85881302610117,0.00410827231940108,0.253851279812324,-0.255709412840975,"Non-significant",0.595420642722133,"MRC2","C-type mannose receptor 2","MRC2_HUMAN"
